ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Landaluce M.,Draper J.,67,143,922,410,6,3,7,5,,,,,,,2,0,Completed,3.2,1.36,,,3.25,1.36,3.14,1.34,3.4,1.4
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Norrie C.,Prizmic D.,35,101,1345,652,3,6,6,1,6,4,,,,,2,1,Completed,1.44,2.75,,,1.5,2.75,1.46,2.64,1.53,2.84
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Struff J.L.,Burruchaga R.,43,61,1069,962,7,6,2,6,6,3,,,,,2,1,Completed,1.8,2,,,1.8,2.1,1.73,2.04,1.81,2.2
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Tirante T.A.,Choinski J.,50,77,1011,770,7,6,6,7,7,6,,,,,2,1,Completed,1.44,2.75,,,1.48,2.75,1.44,2.68,1.51,2.92
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Shapovalov D.,Mannarino A.,48,52,1045,1005,6,1,6,4,,,,,,,2,0,Completed,1.73,2.1,,,1.75,2.1,1.73,2.05,1.8,2.22
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Kecmanovic M.,Ugo Carabelli C.,66,76,930,790,6,3,6,3,,,,,,,2,0,Completed,1.3,3.5,,,1.3,3.5,1.3,3.39,1.32,4
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Navone M.,Collignon R.,44,38,1066,1222,6,3,7,6,,,,,,,2,0,Completed,2.2,1.67,,,2.2,1.68,2.17,1.65,2.32,1.72
44,Cincinnati,Western & Southern Financial Group Masters,13/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Atmane T.,Fucsovics M.,45,82,1057,750,3,1,,,,,,,,,0,0,Retired,1.44,2.75,,,1.45,2.75,1.43,2.7,1.48,3.05
44,Cincinnati,Western & Southern Financial Group Masters,14/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Hijikata R.,Monfils G.,95,305,673,180,2,6,7,6,6,3,,,,,2,1,Completed,2.2,1.67,,,2.2,1.73,2.13,1.68,2.22,1.77
44,Cincinnati,Western & Southern Financial Group Masters,14/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Bellucci M.,Svajda Z.,81,84,751,749,7,6,7,6,,,,,,,2,0,Completed,2.5,1.53,,,2.54,1.55,2.48,1.52,2.7,1.58
