ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
43,Montreal,Canadian Open,02/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Munar J.,Hijikata R.,45,93,1020,677,7,6,6,3,,,,,,,2,0,Completed,1.73,2.1,,,1.74,2.2,1.7,2.1,1.78,2.24
43,Montreal,Canadian Open,02/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Shang J.,Vallejo D.,281,66,195,918,6,3,6,3,,,,,,,2,0,Completed,1.62,2.3,,,1.67,2.3,1.65,2.21,1.71,2.32
43,Montreal,Canadian Open,03/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Navone M.,Berrettini M.,44,40,1030,1088,6,3,6,7,6,3,,,,,2,1,Completed,2.75,1.44,,,2.9,1.5,2.71,1.44,3,1.48
43,Montreal,Canadian Open,03/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Kopriva V.,Galarneau A.,71,175,868,320,6,4,6,4,,,,,,,2,0,Completed,2,1.8,,,2,1.83,1.98,1.8,2.1,1.89
43,Montreal,Canadian Open,03/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Mejia N.,Landaluce M.,129,64,485,920,4,6,6,4,6,3,,,,,2,1,Completed,3,1.4,,,3.1,1.4,2.98,1.37,3.3,1.42
43,Montreal,Canadian Open,03/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Droguet T.,Van Assche L.,119,49,532,998,6,4,2,6,7,6,,,,,2,1,Completed,2,1.8,,,2.14,1.85,1.99,1.79,2.08,1.89
43,Montreal,Canadian Open,03/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Duckworth J.,O Connell C.,86,133,721,461,6,3,6,1,,,,,,,2,0,Completed,2.2,1.67,,,2.3,1.67,2.22,1.63,2.38,1.71
43,Montreal,Canadian Open,03/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Hanfmann Y.,Bonzi B.,57,103,961,639,6,1,4,6,6,2,,,,,2,1,Completed,1.8,2,,,1.8,2.08,1.78,2.01,1.87,2.12
43,Montreal,Canadian Open,03/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Borges N.,Kovacevic A.,55,95,970,676,6,7,6,2,6,4,,,,,2,1,Completed,1.4,3,,,1.42,3.1,1.39,2.9,1.48,3
43,Montreal,Canadian Open,04/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Diallo G.,Jacquet K.,108,121,595,521,6,7,6,3,6,2,,,,,2,1,Completed,1.8,2,,,1.84,2,1.8,1.97,1.88,2.1
43,Montreal,Canadian Open,04/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Cilic M.,Shimabukuro S.,85,94,721,677,7,6,6,1,,,,,,,2,0,Completed,1.73,2.1,,,1.8,2.12,1.73,2.06,1.84,2.14
43,Montreal,Canadian Open,04/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Kecmanovic M.,Zheng M.,62,113,925,565,6,4,4,6,7,6,,,,,2,1,Completed,2.2,1.67,,,2.2,1.7,2.15,1.67,2.22,1.8
43,Montreal,Canadian Open,04/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Altmaier D.,Vukic A.,60,101,939,649,6,7,7,6,6,4,,,,,2,1,Completed,2.63,1.5,,,2.63,1.62,2.34,1.58,2.44,1.68
43,Montreal,Canadian Open,04/08/2026,Masters 1000,Outdoor,Hard,1st Round,3,Michelsen A.,Struff J.L.,42,41,1065,1066,6,1,3,6,6,1,,,,,2,1,Completed,1.33,3.4,,,1.33,3.75,1.29,3.53,1.34,3.9
