ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
32,Queens Club,Queen's Club Championships,15/06/2026,ATP500,Outdoor,Grass,1st Round,3,Van De Zandschulp B.,Wendelken H.,56,224,935,258,6,4,7,6,,,,,,,2,0,Completed,1.44,2.75,,,1.5,2.9,1.45,2.68,1.55,2.76
32,Queens Club,Queen's Club Championships,15/06/2026,ATP500,Outdoor,Grass,1st Round,3,Paul T.,Svajda Z.,28,69,1645,835,7,5,6,3,,,,,,,2,0,Completed,1.4,3,,,1.4,3.25,1.37,2.99,1.41,3.35
32,Queens Club,Queen's Club Championships,15/06/2026,ATP500,Outdoor,Grass,1st Round,3,Shapovalov D.,Pinnington Jones J.,41,147,1130,409,6,4,4,6,7,6,,,,,2,1,Completed,1.62,2.3,,,1.67,2.3,1.63,2.21,1.69,2.42
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Mannarino A.,Mensik J.,44,16,1099,2300,5,7,7,6,7,6,,,,,2,1,Completed,2.63,1.5,,,2.63,1.5,2.6,1.48,2.8,1.54
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Nakashima B.,Fucsovics M.,32,76,1385,781,6,3,6,3,,,,,,,2,0,Completed,1.53,2.5,,,1.56,2.6,1.51,2.5,1.57,2.72
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Buse I.,Giron M.,35,86,1316,705,3,6,7,5,7,6,,,,,2,1,Completed,3.2,1.36,,,3.3,1.37,3.11,1.35,3.25,1.43
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Fery A.,Samuel T.,140,144,441,414,6,0,6,2,,,,,,,2,0,Completed,1.67,2.2,,,1.73,2.23,1.67,2.15,1.83,2.2
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Cerundolo F.,Kovacevic A.,27,68,1660,837,6,4,6,7,6,2,,,,,2,1,Completed,1.53,2.5,,,1.57,2.5,1.53,2.44,1.58,2.68
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Moutet C.,Mpetshi G.,36,87,1283,695,6,7,6,4,7,6,,,,,2,1,Completed,2.5,1.53,,,2.63,1.83,2.41,1.56,2.74,1.57
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Brooksby J.,Damm M.,73,108,817,586,6,4,3,6,6,3,,,,,2,1,Completed,2.2,1.67,,,2.31,1.67,2.2,1.64,2.24,1.79
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,De Minaur A.,Diallo G.,6,84,4060,710,7,6,6,3,,,,,,,2,0,Completed,1.2,4.5,,,1.2,5.5,1.17,4.74,1.2,5.9
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Medjedovic H.,Rinderknech A.,67,24,844,1776,7,6,7,6,,,,,,,2,0,Completed,2.1,1.73,,,2.1,1.91,2.04,1.74,2.24,1.8
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Humbert U.,Cilic M.,33,46,1360,1036,7,5,6,3,,,,,,,2,0,Completed,1.73,2.1,,,1.73,2.3,1.65,2.18,1.68,2.44
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Hijikata R.,Tabilo A.,104,31,605,1428,6,2,6,4,,,,,,,2,0,Completed,1.91,1.91,,,1.95,2.25,1.8,1.92,1.99,1.99
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Davidovich Fokina A.,Norrie C.,22,29,1860,1595,7,6,6,2,,,,,,,2,0,Completed,1.73,2.1,,,1.73,2.2,1.68,2.15,1.72,2.36
32,Queens Club,Queen's Club Championships,16/06/2026,ATP500,Outdoor,Grass,1st Round,3,Lehecka J.,Majchrzak K.,12,47,2640,1032,7,5,7,6,,,,,,,2,0,Completed,1.5,2.63,,,1.5,2.88,1.43,2.74,1.49,3
32,Queens Club,Queen's Club Championships,17/06/2026,ATP500,Outdoor,Grass,2nd Round,3,Nakashima B.,Buse I.,32,35,1385,1316,6,2,6,2,,,,,,,2,0,Completed,1.29,3.75,,,1.3,3.75,1.28,3.58,1.32,4
32,Queens Club,Queen's Club Championships,17/06/2026,ATP500,Outdoor,Grass,2nd Round,3,De Minaur A.,Shapovalov D.,6,41,4060,1130,6,4,6,1,,,,,,,2,0,Completed,1.25,4,,,1.26,4,1.24,3.88,1.29,4.3
32,Queens Club,Queen's Club Championships,17/06/2026,ATP500,Outdoor,Grass,2nd Round,3,Fery A.,Mannarino A.,140,44,441,1099,7,6,6,4,,,,,,,2,0,Completed,2.1,1.73,,,2.1,1.85,2.03,1.75,2.06,1.92
32,Queens Club,Queen's Club Championships,17/06/2026,ATP500,Outdoor,Grass,2nd Round,3,Cerundolo F.,Brooksby J.,27,73,1660,817,6,0,6,4,,,,,,,2,0,Completed,1.53,2.5,,,1.57,2.63,1.51,2.51,1.61,2.6
32,Queens Club,Queen's Club Championships,18/06/2026,ATP500,Outdoor,Grass,2nd Round,3,Davidovich Fokina A.,Moutet C.,22,36,1860,1283,6,4,6,3,,,,,,,2,0,Completed,1.5,2.63,,,1.55,2.63,1.52,2.47,1.54,2.8
