ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
30,Stuttgart,Stuttgart Open,08/06/2026,ATP250,Outdoor,Grass,1st Round,3,Bellucci M.,Davidovich Fokina A.,78,22,777,1860,6,2,6,7,6,1,,,,,2,1,Completed,3,1.4,,,3,1.4,2.96,1.38,3.15,1.45
30,Stuttgart,Stuttgart Open,08/06/2026,ATP250,Outdoor,Grass,1st Round,3,Landaluce M.,Herbert P.,58,232,919,249,5,7,6,3,6,4,,,,,2,1,Completed,1.73,2.1,,,1.77,2.2,1.7,2.09,1.83,2.2
30,Stuttgart,Stuttgart Open,08/06/2026,ATP250,Outdoor,Grass,1st Round,3,Onclin G.,Marozsan F.,186,61,318,895,7,6,6,3,,,,,,,2,0,Completed,2.38,1.57,,,2.4,1.6,2.34,1.57,2.42,1.69
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Hanfmann Y.,Kovacevic A.,59,69,906,837,7,6,7,6,,,,,,,2,0,Completed,1.53,2.5,,,1.57,2.55,1.53,2.44,1.61,2.6
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Giron M.,Bautista Agut R.,88,116,705,542,7,6,7,5,,,,,,,2,0,Completed,1.67,2.2,,,1.68,2.25,1.65,2.17,1.73,2.34
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Shimabukuro S.,Halys Q.,104,92,604,678,6,4,6,2,,,,,,,2,0,Completed,2.38,1.57,,,2.38,1.67,2.26,1.61,2.44,1.68
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Mpetshi G.,Safiullin R.,93,135,670,460,7,5,6,7,7,6,,,,,2,1,Completed,,,,,11,1.07,8.92,1.05,,
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Struff J.L.,Galarneau A.,77,187,779,316,6,2,6,7,6,3,,,,,2,1,Completed,1.44,2.75,,,1.5,2.8,1.46,2.68,1.59,2.68
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Hijikata R.,Gentzsch T.,106,229,593,254,6,7,7,6,6,3,,,,,2,1,Completed,1.22,4.33,,,1.22,4.33,1.22,4.14,1.26,4.7
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Tiafoe F.,Altmaier D.,26,85,1705,740,7,6,4,6,6,4,,,,,2,1,Completed,1.29,3.75,,,1.3,4,1.26,3.7,1.3,4.2
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Duckworth J.,Dedura D.,79,262,762,209,6,4,6,3,,,,,,,2,0,Completed,1.36,3.2,,,1.36,3.5,1.32,3.26,1.36,3.6
30,Stuttgart,Stuttgart Open,09/06/2026,ATP250,Outdoor,Grass,1st Round,3,Kyrgios N.,Moutet C.,N/A,36,N/A,1283,6,3,6,4,,,,,,,2,0,Completed,2.75,1.44,,,2.8,1.5,2.71,1.44,3,1.49
30,Stuttgart,Stuttgart Open,10/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Mpetshi G.,Onclin G.,93,186,670,318,7,6,6,2,,,,,,,2,0,Completed,1.53,2.5,,,1.55,2.5,1.52,2.46,1.59,2.66
30,Stuttgart,Stuttgart Open,10/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Bellucci M.,Hanfmann Y.,78,59,777,906,7,5,6,7,6,2,,,,,2,1,Completed,2.2,1.67,,,2.2,1.87,2.07,1.73,2.18,1.82
30,Stuttgart,Stuttgart Open,10/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Bublik A.,Struff J.L.,11,77,2930,779,7,6,3,6,6,2,,,,,2,1,Completed,1.36,3.2,,,1.42,3.2,1.38,2.94,1.43,3.25
30,Stuttgart,Stuttgart Open,11/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Lehecka J.,Duckworth J.,12,79,2575,762,6,7,6,4,7,6,,,,,2,1,Completed,1.29,3.75,,,1.3,3.75,1.28,3.53,1.35,3.75
30,Stuttgart,Stuttgart Open,11/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Tiafoe F.,Hijikata R.,26,106,1705,593,6,4,6,4,,,,,,,2,0,Completed,1.4,3,,,1.44,3.15,1.39,2.92,1.52,2.84
30,Stuttgart,Stuttgart Open,11/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Shimabukuro S.,Kyrgios N.,104,N/A,604,N/A,4,6,7,6,6,4,,,,,2,1,Completed,2.38,1.57,,,2.38,1.6,2.31,1.58,2.58,1.63
30,Stuttgart,Stuttgart Open,11/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Fritz T.,Landaluce M.,9,58,3720,919,6,7,7,5,7,6,,,,,2,1,Completed,1.36,3.2,,,1.42,3.2,1.39,2.93,1.41,3.35
30,Stuttgart,Stuttgart Open,12/06/2026,ATP250,Outdoor,Grass,2nd Round,3,Shelton B.,Giron M.,5,88,3920,705,6,7,6,4,7,6,,,,,2,1,Completed,1.36,3.2,,,1.38,3.25,1.35,3.11,1.38,3.55
30,Stuttgart,Stuttgart Open,12/06/2026,ATP250,Outdoor,Grass,Quarterfinals,3,Bublik A.,Mpetshi G.,11,93,2930,670,7,6,7,6,,,,,,,2,0,Completed,1.53,2.5,,,1.54,2.63,1.5,2.52,1.54,2.8
30,Stuttgart,Stuttgart Open,12/06/2026,ATP250,Outdoor,Grass,Quarterfinals,3,Fritz T.,Bellucci M.,9,78,3720,777,5,7,7,5,7,5,,,,,2,1,Completed,1.29,3.75,,,1.33,3.8,1.29,3.51,1.3,4.2
30,Stuttgart,Stuttgart Open,12/06/2026,ATP250,Outdoor,Grass,Quarterfinals,3,Lehecka J.,Tiafoe F.,12,26,2575,1705,6,4,7,6,,,,,,,2,0,Completed,1.73,2.1,,,1.85,2.11,1.75,2.02,1.81,2.22
30,Stuttgart,Stuttgart Open,13/06/2026,ATP250,Outdoor,Grass,Quarterfinals,3,Shelton B.,Shimabukuro S.,5,104,3920,604,4,6,6,3,6,4,,,,,2,1,Completed,1.29,3.75,,,1.33,3.9,1.3,3.42,1.35,3.65
30,Stuttgart,Stuttgart Open,13/06/2026,ATP250,Outdoor,Grass,Semifinals,3,Fritz T.,Bublik A.,9,11,3720,2930,6,4,6,4,,,,,,,2,0,Completed,2.1,1.73,,,2.2,1.8,2.09,1.71,2.18,1.84
30,Stuttgart,Stuttgart Open,13/06/2026,ATP250,Outdoor,Grass,Semifinals,3,Shelton B.,Lehecka J.,5,12,3920,2575,6,7,7,6,7,6,,,,,2,1,Completed,1.91,1.91,,,1.95,1.91,1.89,1.87,2,1.96
30,Stuttgart,Stuttgart Open,14/06/2026,ATP250,Outdoor,Grass,The Final,3,Shelton B.,Fritz T.,5,9,3920,3720,6,4,2,6,6,4,,,,,2,1,Completed,2,1.8,,,2.02,1.91,1.96,1.81,2.12,1.88
