ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
42,Washington,Citi Open,27/07/2026,ATP500,Outdoor,Hard,1st Round,3,Tabilo A.,Griekspoor T.,30,67,1558,895,7,6,4,6,6,4,,,,,2,1,Completed,2.38,1.57,,,2.38,1.64,2.29,1.59,2.48,1.66
42,Washington,Citi Open,27/07/2026,ATP500,Outdoor,Hard,1st Round,3,Musetti L.,Arnaldi M.,15,35,2315,1349,6,0,3,1,,"	",,,,,1,0,Retired,1.62,2.3,,,1.62,2.38,1.58,2.3,1.64,2.52
42,Washington,Citi Open,27/07/2026,ATP500,Outdoor,Hard,1st Round,3,Fritz T.,Bergs Z.,10,36,3300,1340,6,3,6,4,"	",,,,,,2,0,Completed,1.22,4.33,,,1.23,4.4,1.22,4.14,1.26,4.6
42,Washington,Citi Open,27/07/2026,ATP500,Outdoor,Hard,1st Round,3,Nishikori K.,Shang J.,721,270,45,205,6,7,6,3,6,4,,,,,2,1,Completed,2.2,1.67,,,2.25,1.67,2.19,1.64,2.36,1.73
42,Washington,Citi Open,27/07/2026,ATP500,Outdoor,Hard,1st Round,3,Vukic A.,Svajda Z.,105,76,624,781,6,3,6,1,"	",,,,,,2,0,Completed,2.38,1.57,,,2.38,1.67,2.3,1.58,2.46,1.67
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Atmane T.,Tiafoe F.,56,19,967,2180,4,6,6,3,6,4,,,,,2,1,Completed,3.75,1.29,,,4,1.32,3.55,1.28,4.3,1.28
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Humbert U.,Martin A.,29,404,1575,118,6,2,7,5,"	",,,,,,2,0,Completed,1.22,4.33,,,1.22,4.4,1.21,4.14,1.23,5
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Majchrzak K.,Paul T.,72,21,857,2025,7,5,7,6,"	",,,,,,2,0,Completed,4,1.25,,,4.1,1.25,3.84,1.24,4.7,1.26
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Michelsen A.,McDonald M.,40,145,1165,422,6,4,7,5,"	",,,,,,2,0,Completed,1.25,4,,,1.3,4,1.25,3.76,1.29,3.75
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Jodar R.,Fils A.,24,22,1927,1990,7,6,6,3,,"	",,,,,2,0,Completed,2.3,1.62,,,2.48,1.62,2.34,1.57,2.52,1.64
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Mannarino A.,Tien L.,47,16,1005,2245,7,5,6,4,"	",,,,,,2,0,Completed,5,1.17,,,5,1.2,4.73,1.17,5.6,1.21
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Hewitt C.,Giron M.,612,85,61,730,6,3,6,4,,"	",,,,,2,0,Completed,6,1.13,,,6,1.17,5.49,1.14,6.2,1.18
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Nakashima B.,Etcheverry T.,33,31,1360,1510,6,3,6,4,"	",,,,,,2,0,Completed,1.36,3.2,,,1.41,3.3,1.36,3.02,1.43,3.25
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Shelton B.,Damm M.,8,104,3580,628,6,4,4,6,6,4,,,,,2,1,Completed,1.33,3.4,,,1.33,3.6,1.31,3.33,1.34,3.85
42,Washington,Citi Open,28/07/2026,ATP500,Outdoor,Hard,1st Round,3,Mensik J.,Svajda T.,17,436,2205,106,6,2,6,7,6,3,,,,,2,1,Completed,1.22,4.33,,,1.3,4.33,1.23,4.01,1.23,5.1
