ATP,Location,Tournament,Date,Series,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,W4,L4,W5,L5,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Rinderknech A.,Shimabukuro S.,29.0,88.0,1683.0,705.0,6,7,6,2.0,7,6,6,2,,,3,1,Completed,1.25,4.0,,,1.29,4.0,1.26,3.8,1.29,4.3
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Etcheverry T.,Kopriva V.,32.0,69.0,1440.0,883.0,6,3,6,4.0,6,0,,,,,3,0,Completed,1.53,2.5,,,1.55,2.54,1.52,2.48,1.57,2.68
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Shapovalov D.,Kecmanovic M.,48.0,64.0,1065.0,925.0,6,4,4,6.0,6,4,6,1,,,3,1,Completed,1.73,2.1,,,1.73,2.2,1.7,2.13,1.75,2.3
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Faria J.,Brooksby J.,72.0,74.0,847.0,803.0,6,3,7,6.0,4,6,1,6,6,2,3,2,Completed,2,1.8,,,2.03,1.85,1.99,1.8,2.12,1.87
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Medvedev D.,Gaston H.,8.0,91.0,3580.0,697.0,6,4,6,2.0,6,4,,,,,3,0,Completed,1.13,6.0,,,1.13,6.5,1.12,6.21,1.15,7.2
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Van Assche L.,Norrie C.,40.0,35.0,1140.0,1365.0,6,7,6,2.0,6,2,6,3,,,3,1,Completed,2.75,1.44,,,2.9,1.45,2.8,1.42,3.0,1.49
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Paul T.,Wong C.,21.0,94.0,2225.0,668.0,6,7,6,1.0,6,3,6,3,,,3,1,Completed,1.14,5.5,,,1.17,5.5,1.15,5.28,1.17,6.4
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Samuel T.,Machac T.,110.0,58.0,567.0,960.0,6,2,6,3.0,6,2,,,,,3,0,Completed,1.62,2.3,,,1.68,2.75,1.58,2.37,1.61,2.6
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Harris L.,Kennedy J.,139.0,394.0,428.0,129.0,6,4,6,2.0,6,2,,,,,3,0,Completed,1.14,5.5,,,1.14,5.75,1.14,5.44,1.16,6.8
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Prizmic D.,Shevchenko A.,102.0,98.0,618.0,655.0,2,6,6,3.0,6,3,5,7,7,5,3,2,Completed,1.36,3.2,,,1.36,3.3,1.35,3.17,1.4,3.45
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Lehecka J.,Carreno Busta P.,19.0,66.0,2420.0,899.0,6,1,7,6.0,4,6,6,2,,,3,1,Completed,1.2,4.5,,,1.22,4.5,1.2,4.42,1.25,4.9
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Merida Aguilar D.,Fucsovics M.,39.0,122.0,1157.0,510.0,6,4,6,4.0,6,2,,,,,3,0,Completed,1.2,4.5,,,1.22,4.5,1.21,4.38,1.23,5.1
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Wu Y.,Walton A.,113.0,93.0,551.0,670.0,7,6,6,2.0,7,5,,,,,3,0,Completed,2.1,1.73,,,2.11,1.75,2.09,1.73,2.3,1.75
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Majchrzak K.,Medjedovic H.,73.0,79.0,827.0,764.0,6,3,6,3.0,6,3,,,,,3,0,Completed,1.73,2.1,,,1.75,2.1,1.73,2.08,1.81,2.2
46,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,5,Munar J.,Atmane T.,55.0,92.0,990.0,687.0,6,7,3,6.0,6,1,7,6,7,5,3,2,Completed,2.5,1.53,,,2.6,1.57,2.49,1.52,2.74,1.56
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Sakamoto R.,Vukic A.,157.0,96.0,357.0,659.0,6,4,6,7.0,6,4,3,6,6,4,3,2,Completed,1.62,2.3,,,1.67,2.38,1.62,2.27,1.74,2.32
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Nakashima B.,Baez S.,17.0,51.0,2485.0,1044.0,6,2,6,1.0,6,0,,,,,3,0,Completed,1.13,6.0,,,1.14,6.0,1.13,5.88,1.14,7.8
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Berrettini M.,Wawrinka S.,43.0,127.0,1115.0,486.0,7,6,7,6.0,6,0,,,,,3,0,Completed,1.22,4.33,,,1.25,4.33,1.24,4.07,1.26,4.5
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Tabilo A.,Hanfmann Y.,28.0,54.0,1688.0,991.0,6,3,6,2.0,6,7,6,3,,,3,1,Completed,1.73,2.1,,,1.78,2.2,1.72,2.1,1.78,2.26
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Halys Q.,Diaz Acosta F.,52.0,82.0,1030.0,732.0,6,4,7,5.0,6,7,6,1,,,3,1,Completed,1.33,3.4,,,1.33,3.5,1.31,3.37,1.34,3.85
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Trungelliti M.,Shang J.,83.0,228.0,731.0,245.0,0,6,7,6.0,1,6,6,3,6,4,3,2,Completed,2.75,1.44,,,2.75,1.5,2.69,1.45,2.88,1.52
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Khachanov K.,Burruchaga R.,50.0,59.0,1050.0,960.0,6,3,6,0.0,6,1,,,,,3,0,Completed,1.25,4.0,,,1.26,4.33,1.25,3.96,1.29,4.3
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Tien L.,Borges N.,15.0,41.0,2565.0,1135.0,6,4,6,1.0,6,2,,,,,3,0,Completed,1.5,2.63,,,1.5,2.7,1.48,2.65,1.49,3.0
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Hurkacz H.,Dzumhur D.,47.0,104.0,1070.0,612.0,6,4,4,6.0,6,1,6,1,,,3,1,Completed,1.07,9.0,,,1.14,9.0,1.08,7.91,1.11,10.0
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Blockx A.,Barrios M.,34.0,144.0,1396.0,395.0,6,3,6,4.0,6,2,,,,,3,0,Completed,1.17,5.0,,,1.2,5.0,1.18,4.76,1.19,6.0
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Svrcina D.,Royer V.,134.0,75.0,445.0,778.0,6,4,6,3.0,5,7,5,7,6,2,3,2,Completed,2,1.8,,,2.0,1.91,1.96,1.84,1.98,2.0
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Darderi L.,Wendelken H.,22.0,196.0,2175.0,285.0,6,2,3,6.0,6,2,7,5,,,3,1,Completed,1.3,3.5,,,1.3,3.6,1.29,3.49,1.35,3.7
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Fearnley J.,Landaluce M.,101.0,65.0,623.0,922.0,4,6,6,2.0,4,6,7,5,6,3,3,2,Completed,2,1.8,,,2.05,1.83,2.0,1.79,2.14,1.85
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Navone M.,Djokovic N.,49.0,5.0,1065.0,3770.0,7,6,5,7.0,4,6,6,2,6,1,3,2,Completed,5.5,1.14,,,6.0,1.17,5.4,1.15,6.0,1.19
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Bublik A.,Wolf J.J.,16.0,253.0,2525.0,225.0,6,4,6,2.0,3,6,6,1,,,3,1,Completed,1.4,3.0,,,1.42,3.0,1.4,2.89,1.41,3.35
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Rublev A.,Virtanen O.,24.0,109.0,2080.0,574.0,6,7,6,7.0,6,0,6,2,7,6,3,2,Completed,1.14,5.5,,,1.17,5.5,1.15,5.2,1.19,6.0
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Tsitsipas S.,Fils A.,53.0,11.0,1015.0,3140.0,4,6,7,6.0,6,1,6,4,,,3,1,Completed,5,1.17,,,5.0,1.2,4.85,1.17,6.2,1.18
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Mannarino A.,Tirante T.A.,67.0,42.0,895.0,1125.0,4,6,3,6.0,6,3,6,3,6,3,3,2,Completed,3.2,1.36,,,3.25,1.4,3.08,1.37,3.7,1.36
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Vacherot V.,Kovacevic A.,23.0,84.0,2168.0,730.0,6,2,6,3.0,7,5,,,,,3,0,Completed,1.8,2.0,,,1.83,2.05,1.79,1.99,1.92,2.06
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Gorzny S.,Collignon R.,731.0,38.0,43.0,1207.0,3,6,6,3.0,3,6,6,3,7,6,3,2,Completed,6,1.13,,,6.5,1.14,5.86,1.13,7.2,1.14
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Rodionov J.,Mpetshi G.,143.0,105.0,395.0,600.0,7,6,6,0.0,7,6,,,,,3,0,Completed,1.8,2.0,,,1.85,2.0,1.8,1.98,1.83,2.16
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Alcaraz C.,Safiullin R.,3.0,99.0,7160.0,634.0,6,4,6,4.0,6,4,,,,,3,0,Completed,1.17,5.0,,,1.2,5.0,1.18,4.62,1.21,5.6
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Duckworth J.,Arnaldi M.,71.0,36.0,853.0,1349.0,5,7,6,3.0,6,2,7,6,,,3,1,Completed,2.38,1.57,,,2.4,1.6,2.34,1.58,2.62,1.59
46,New York,US Open,2026-08-31,Grand Slam,Outdoor,Hard,1st Round,5,Michelsen A.,Cina F.,46.0,181.0,1070.0,312.0,6,4,6,1.0,6,0,,,,,3,0,Completed,1.14,5.5,,,1.2,7.0,1.16,5.2,1.2,5.6
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Musetti L.,Fery A.,14.0,33.0,2605.0,1415.0,6,3,6,3.0,7,5,,,,,3,0,Completed,1.29,3.75,,,1.29,3.75,1.27,3.68,1.32,4.0
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Cerundolo F.,Misolic F.,25.0,537.0,1980.0,80.0,6,4,6,3.0,7,5,,,,,3,0,Completed,1.06,10.0,,,1.06,11.0,1.05,9.66,1.07,13.5
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Gea A.,Cerundolo J.M.,87.0,45.0,709.0,1076.0,6,3,2,6.0,3,6,6,3,6,1,3,2,Completed,1.73,2.1,,,1.83,2.1,1.74,2.06,1.81,2.2
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Struff J.L.,Ugo Carabelli C.,218.0,77.0,362.0,770.0,6,4,6,3.0,6,3,,,,,3,0,Completed,1.44,2.75,,,1.45,2.8,1.44,2.74,1.5,2.92
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Bellucci M.,Piros Z.,95.0,118.0,659.0,530.0,6,4,6,2.0,6,0,,,,,3,0,Completed,1.44,2.75,,,1.5,2.88,1.44,2.71,1.49,2.94
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Sweeny D.,Moutet C.,123.0,62.0,506.0,935.0,7,6,6,4.0,3,0,,,,,2,0,Retired,3,1.4,,,3.5,1.44,3.12,1.36,3.3,1.43
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Schoolkate T.,Basavareddy N.,180.0,163.0,313.0,348.0,7,6,3,6.0,6,3,6,4,,,3,1,Completed,3.5,1.3,,,3.75,1.33,3.5,1.3,3.75,1.35
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Fritz T.,Blanch Dar.,10.0,245.0,3475.0,232.0,6,3,6,2.0,6,4,,,,,3,0,Completed,1.02,19.0,,,1.03,21.0,1.02,15.73,1.04,24.0
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Tiafoe F.,Damm M.,12.0,90.0,2680.0,697.0,6,4,4,6.0,3,6,6,3,6,4,3,2,Completed,1.25,4.0,,,1.27,4.33,1.24,4.01,1.26,4.6
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Mensik J.,Mochizuki S.,18.0,117.0,2445.0,532.0,6,1,6,4.0,7,5,,,,,3,0,Completed,1.08,8.0,,,1.1,8.0,1.09,7.1,1.11,9.2
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Shelton B.,Griekspoor T.,9.0,56.0,3480.0,975.0,1,6,6,1.0,7,6,6,2,,,3,1,Completed,1.1,7.0,,,1.13,7.0,1.12,6.19,1.15,7.6
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Popyrin A.,Dimitrov G.,130.0,137.0,458.0,432.0,3,6,6,3.0,6,2,6,4,,,3,1,Completed,2.63,1.5,,,2.7,1.5,2.61,1.49,2.86,1.52
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Auger-Aliassime F.,Hijikata R.,4.0,85.0,4640.0,724.0,7,5,4,6.0,6,3,7,5,,,3,1,Completed,1.08,8.0,,,1.1,8.0,1.09,7.0,1.11,9.2
46,New York,US Open,2026-09-01,Grand Slam,Outdoor,Hard,1st Round,5,Cobolli F.,Comesana F.,6.0,119.0,3720.0,516.0,3,6,2,6.0,6,3,6,4,6,4,3,2,Completed,1.2,4.5,,,1.22,5.0,1.19,4.49,1.23,5.1
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Medvedev D.,Gorzny S.,8.0,731.0,3580.0,43.0,6,1,6,3.0,7,5,,,,,3,0,Completed,1.04,13.0,,,1.04,13.0,1.03,11.05,1.06,15.0
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Merida Aguilar D.,Rublev A.,39.0,24.0,1157.0,2080.0,6,7,6,2.0,6,4,6,4,,,3,1,Completed,2.2,1.67,,,2.4,1.67,2.29,1.6,2.6,1.61
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Shelton B.,Hurkacz H.,9.0,47.0,3480.0,1070.0,6,3,5,7.0,7,6,7,5,,,3,1,Completed,1.4,3.0,,,1.4,3.0,1.39,2.91,1.45,3.15
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Etcheverry T.,Fearnley J.,32.0,101.0,1440.0,623.0,6,3,6,3.0,3,6,6,3,,,3,1,Completed,1.67,2.2,,,1.72,2.3,1.65,2.19,1.72,2.38
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Lehecka J.,Samuel T.,19.0,110.0,2420.0,567.0,6,4,6,2.0,6,4,,,,,3,0,Completed,1.36,3.2,,,1.36,3.25,1.35,3.14,1.39,3.5
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Tsitsipas S.,Harris L.,53.0,139.0,1015.0,428.0,6,7,6,3.0,7,6,6,4,,,3,1,Completed,1.4,3.0,,,1.4,3.0,1.39,2.91,1.45,3.15
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Wu Y.,Duckworth J.,113.0,71.0,551.0,853.0,7,5,6,3.0,6,1,,,,,3,0,Completed,1.67,2.2,,,1.67,2.25,1.66,2.19,1.73,2.34
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Navone M.,Berrettini M.,49.0,43.0,1065.0,1115.0,3,6,6,3.0,6,4,7,6,,,3,1,Completed,2.3,1.62,,,2.38,1.67,2.26,1.62,2.38,1.7
46,New York,US Open,2026-09-02,Grand Slam,Outdoor,Hard,2nd Round,5,Michelsen A.,Nakashima B.,46.0,17.0,1070.0,2485.0,6,3,6,4.0,6,4,,,,,3,0,Completed,2.75,1.44,,,3.0,1.44,2.82,1.41,3.1,1.46
