WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Vekic D.,Gibson T.,39,63.0,1278,997.0,6.0,2.0,4,6,6,3,2,1,Completed,2,1.8,,,2.01,1.83,1.98,1.81,2.12,1.87
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Boulter K.,Lee C.Y.,62,143.0,1002,527.0,6.0,4.0,3,6,6,0,2,1,Completed,1.67,2.2,,,1.67,2.3,1.66,2.18,1.79,2.24
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Alexandrova E.,Kessler M.,19,66.0,2186,985.0,6.0,2.0,6,2,,,2,0,Completed,1.67,2.2,,,1.67,2.3,1.62,2.23,1.67,2.46
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Pliskova Ka.,Vandewinkel H.,57,81.0,1051,919.0,2.0,6.0,7,5,6,3,2,1,Completed,1.91,1.91,,,1.95,1.91,1.89,1.86,2.02,1.96
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Wang Xin.,Arango E.,43,88.0,1195,868.0,6.0,4.0,6,2,,,2,0,Completed,1.33,3.4,,,1.33,3.5,1.31,3.36,1.37,3.65
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Stefanini L.,Yastremska D.,119,113.0,620,692.0,6.0,3.0,4,6,6,1,2,1,Completed,2.1,1.73,,,2.1,1.78,2.08,1.74,2.14,1.86
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Kostyuk M.,Hunter S.,11,169.0,3980,450.0,6.0,4.0,6,1,,,2,0,Completed,1.08,8.0,,,1.1,8.0,1.08,7.44,1.09,10.5
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Preston T.,Parks A.,100,79.0,762,927.0,6.0,3.0,6,3,,,2,0,Completed,2,1.8,,,2.2,1.88,1.94,1.82,2.08,1.9
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Fernandez L.A.,Zhang S.,33,54.0,1454,1085.0,6.0,3.0,6,2,,,2,0,Completed,1.4,3.0,,,1.4,3.0,1.39,2.92,1.46,3.15
41,New York,US Open,2026-08-30,Grand Slam,Outdoor,Hard,1st Round,3,Pegula J.,Ruse E.G.,3,64.0,7265,991.0,6.0,3.0,6,2,,,2,0,Completed,1.07,9.0,,,1.08,9.0,1.07,8.23,1.09,11.0
