WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Putintseva Y.,Haddad Maia B.,94,61,799,1052,3,6,7,5,6,3,2,1,Completed,1.73,2.1,,,1.73,2.15,1.72,2.1,1.79,2.24
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Ruse E.G.,Yastremska D.,79,28,872,1610,6,4,7,5,,,2,0,Completed,2.1,1.73,,,2.15,1.75,2.09,1.72,2.3,1.75
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Gibson T.,Blinkova A.,119,64,634,1016,6,1,6,3,,,2,0,Completed,1.8,2,,,1.83,2.1,1.78,2.02,1.87,2.12
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Paolini J.,Sasnovich A.,8,104,4267,755,6,1,6,2,,,2,0,Completed,1.33,3.4,,,1.4,3.4,1.35,3.11,1.4,3.4
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Sakkari M.,Jeanjean L.,53,103,1133,760,6,4,6,2,,,2,0,Completed,1.17,5,,,1.24,5.25,1.21,4.34,1.24,5
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,McNally C.,Sakatsume H.,85,140,836,514,6,3,6,1,,,2,0,Completed,1.4,3,,,1.55,3,1.45,2.67,1.51,2.94
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Jacquemot E.,Kostyuk M.,60,20,1070,1983,6,7,7,6,7,6,2,1,Completed,8,1.08,,,9,1.09,7.83,1.07,10,1.1
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Svitolina E.,Bucsa C.,12,52,2856,1134,6,4,6,1,,,2,0,Completed,1.17,5,,,1.21,5.25,1.18,4.63,1.2,5.8
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Baptiste H.,Townsend T.,70,116,979,652,6,3,6,7,6,3,2,1,Completed,2.38,1.57,,,3.25,1.58,2.76,1.45,3.25,1.37
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Sonmez Z.,Alexandrova E.,112,11,694,3375,7,5,4,6,6,4,2,1,Completed,4,1.25,,,4,1.33,3.67,1.28,4.7,1.26
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Kudermetova P.,Maristany G.,150,185,490,386,6,2,6,3,,,2,0,Completed,,,,,1.33,4.2,1.25,3.82,1.29,4.3
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Sabalenka A.,Rakotomanga Rajaonah T.,1,118,10990,640,6,4,6,1,,,2,0,Completed,-,34,,,1.01,51,1.01,27.5,1.01,120
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Potapova A.,Lamens S.,55,97,1106,780,3,6,7,5,6,2,2,1,Completed,1.4,3,,,1.43,3,1.41,2.83,1.42,3.3
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Bai Z.,Pavlyuchenkova A.,702,47,55,1185,6,4,2,6,7,6,2,1,Completed,2.3,1.62,,,2.5,1.67,2.3,1.6,2.46,1.67
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Danilovic O.,Williams V.,69,578,981,82,6,7,6,3,6,4,2,1,Completed,1.14,5.5,,,1.17,5.75,1.15,5.28,1.15,7.2
5,Melbourne,Australian Open,18/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Raducanu E.,Sawangkaew M.,29,197,1607,366,6,4,6,1,,,2,0,Completed,1.2,4.5,,,1.25,4.6,1.21,4.28,1.25,4.7
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Stearns P.,Kenin S.,68,30,987,1567,6,3,6,2,,,2,0,Completed,2.2,1.67,,,2.21,1.7,2.17,1.67,2.3,1.75
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Frech M.,Erjavec V.,57,102,1093,765,6,1,6,1,,,2,0,Completed,1.22,4.33,,,1.27,4.33,1.24,3.96,1.28,4.4
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Kessler M.,Arango E.,37,51,1335,1149,6,3,6,2,,,2,0,Completed,1.17,5,,,1.19,5.25,1.17,4.83,1.19,6
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Linette M.,Navarro E.,50,15,1157,2515,3,6,6,3,6,3,2,1,Completed,3.2,1.36,,,3.25,1.36,3.19,1.34,3.25,1.43
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Hunter S.,Bouzas Maneiro J.,367,40,169,1262,6,4,6,4,,,2,0,Completed,2.75,1.44,,,2.8,1.47,2.74,1.43,2.82,1.53
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Marcinko P.,Maria T.,81,42,854,1232,6,3,7,5,,,2,0,Completed,1.4,3,,,1.43,3.5,1.4,2.92,1.47,3.1
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Li A.,Osorio M.,38,84,1316,840,6,4,6,7,7,5,2,1,Completed,1.62,2.3,,,1.68,2.3,1.63,2.25,1.68,2.42
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Bondar A.,Mandlik E.,74,182,913,387,6,0,6,4,,,2,0,Completed,1.29,3.75,,,1.3,3.8,1.29,3.53,1.34,3.85
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Gauff C.,Rakhimova K.,3,93,6423,802,6,2,6,3,,,2,0,Completed,1.04,13,,,1.06,13,1.04,10.41,1.06,16.5
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Hon P.,Stakusic M.,121,127,620,565,1,6,6,4,5,3,1,1,Retired,2.38,1.57,,,2.75,1.62,2.38,1.56,2.38,1.7
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Klimovicova L.,Jones F.,134,71,538,951,6,2,3,2,,,1,0,Retired,1.62,2.3,,,1.73,2.3,1.65,2.21,1.68,2.44
5,Melbourne,Australian Open,19/01/2026,Grand Slam,Outdoor,Hard,1st Round,3,Pegula J.,Zakharova A.,6,105,5453,742,6,2,6,1,,,2,0,Completed,1.07,9,,,1.08,9.5,1.06,8.53,1.07,13.5
