WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
38,Toronto,Canadian Open,2026-08-02,WTA1000,Outdoor,Hard,1st Round,3,Rakhimova K.,Williams V.,82,664.0,894,64.0,6.0,4.0,6,1,,,2,0,Completed,1.22,4.33,,,1.23,4.33,1.22,4.09,1.24,4.9
38,Toronto,Canadian Open,2026-08-02,WTA1000,Outdoor,Hard,1st Round,3,Golubic V.,Birrell K.,51,66.0,1088,999.0,7.0,6.0,6,4,,,2,0,Completed,1.91,1.91,,,2.1,1.91,1.92,1.84,2.0,1.95
38,Toronto,Canadian Open,2026-08-02,WTA1000,Outdoor,Hard,1st Round,3,Bouzas Maneiro J.,Arseneault A.,59,407.0,1014,154.0,6.0,2.0,6,4,,,2,0,Completed,1.11,6.5,,,1.12,7.0,1.11,6.39,1.13,8.0
38,Toronto,Canadian Open,2026-08-02,WTA1000,Outdoor,Hard,1st Round,3,Bejlek S.,Wang Xiy.,38,94.0,1269,808.0,6.0,3.0,4,6,7,5,2,1,Completed,1.62,2.3,,,1.62,2.32,1.6,2.26,1.68,2.42
38,Toronto,Canadian Open,2026-08-02,WTA1000,Outdoor,Hard,1st Round,3,Sebov K.,Ito A.,231,235.0,331,313.0,6.0,3.0,6,4,,,2,0,Completed,2.3,1.62,,,2.31,1.62,2.27,1.61,2.48,1.65
38,Toronto,Canadian Open,2026-08-02,WTA1000,Outdoor,Hard,1st Round,3,Uchijima M.,Bucsa C.,107,40.0,713,1244.0,6.0,3.0,6,4,,,2,0,Completed,2,1.8,,,2.38,1.8,2.13,1.69,2.28,1.77
38,Toronto,Canadian Open,2026-08-02,WTA1000,Outdoor,Hard,1st Round,3,Osorio M.,Stefanini L.,56,144.0,1048,539.0,7.0,6.0,6,3,,,2,0,Completed,1.36,3.2,,,1.38,3.25,1.36,3.04,1.4,3.45
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Tararudee L.,Jones E.,78,139.0,916,557.0,7.0,6.0,6,2,,,2,0,Completed,1.4,3.0,,,1.56,3.0,1.42,2.77,1.57,2.74
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Samsonova L.,Tjen J.,70,37.0,970,1282.0,7.0,6.0,7,5,,,2,0,Completed,1.53,2.5,,,1.55,2.6,1.53,2.46,1.58,2.68
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Ruzic A.,Boisson L.,55,292.0,1062,238.0,4.0,6.0,6,1,6,3,2,1,Completed,1.91,1.91,,,1.95,1.92,1.88,1.88,1.97,2.0
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Linette M.,Zhao C.,65,620.0,1001,74.0,4.0,6.0,6,1,6,4,2,1,Completed,1.07,9.0,,,1.08,11.0,1.06,8.48,1.07,13.0
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Udvardy P.,Lys E.,74,85.0,953,871.0,2.0,6.0,7,6,2,0,1,1,Retired,2.63,1.5,,,2.88,1.55,2.56,1.49,2.72,1.56
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Joint M.,Starodubtseva Y.,76,62.0,936,1008.0,4.0,6.0,6,1,6,3,2,1,Completed,2.2,1.67,,,2.21,1.67,2.18,1.66,2.36,1.72
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Bartunkova N.,Andreescu B.,41,174.0,1231,446.0,7.0,5.0,6,4,,,2,0,Completed,1.67,2.2,,,1.67,2.38,1.62,2.26,1.69,2.4
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Zarazua R.,Korpatsch T.,83,46.0,894,1134.0,6.0,4.0,0,6,6,1,2,1,Completed,1.62,2.3,,,1.64,2.5,1.59,2.32,1.66,2.48
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Parks A.,Jimenez Kasintseva V.,68,120.0,989,645.0,6.0,4.0,6,4,,,2,0,Completed,1.62,2.3,,,1.65,2.3,1.62,2.25,1.69,2.42
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Frech M.,Jeanjean L.,48,117.0,1120,677.0,7.0,5.0,6,3,,,2,0,Completed,1.53,2.5,,,1.56,2.6,1.52,2.48,1.57,2.68
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Townsend T.,Valentova T.,105,64.0,748,1003.0,6.0,4.0,7,5,,,2,0,Completed,2.75,1.44,,,2.75,1.5,2.65,1.46,2.72,1.56
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Ruse E.G.,Stearns P.,75,58.0,941,1017.0,6.0,0.0,7,5,,,2,0,Completed,2.1,1.73,,,2.1,1.78,2.07,1.73,2.22,1.79
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Bondar A.,Kalinina A.,77,54.0,936,1072.0,6.0,4.0,7,5,,,2,0,Completed,2.63,1.5,,,2.63,1.53,2.49,1.51,2.6,1.62
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Zhang S.,Putintseva Y.,57,81.0,1020,904.0,6.0,4.0,6,1,,,2,0,Completed,2.75,1.44,,,2.8,1.5,2.69,1.45,2.92,1.51
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Pliskova Ka.,Oliynykova O.,63,44.0,1006,1171.0,6.0,4.0,6,4,,,2,0,Completed,1.29,3.75,,,1.3,3.75,1.28,3.63,1.3,4.2
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Day K.,Parry D.,127,60.0,591,1011.0,3.0,6.0,6,3,7,5,2,1,Completed,1.73,2.1,,,1.73,2.33,1.65,2.2,1.75,2.3
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Korneeva A.,Kudermetova P.,89,108.0,849,708.0,6.0,0.0,3,0,,,1,0,Retired,1.44,2.75,,,1.46,2.8,1.44,2.7,1.53,2.84
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Gibson T.,Cocciaretto E.,72,71.0,958,967.0,6.0,2.0,3,2,,,1,0,Retired,2.3,1.62,,,2.5,1.67,2.27,1.61,2.24,1.8
38,Toronto,Canadian Open,2026-08-03,WTA1000,Outdoor,Hard,1st Round,3,Kessler M.,Brace C.,47,254.0,1125,286.0,6.0,3.0,6,3,,,2,0,Completed,1.17,5.0,,,1.17,5.5,1.15,5.22,1.19,6.0
