WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Sonmez Z.,Kasatkina D.,50,68,1082,1003,2,6,7,6,6,3,2,1,Completed,2.2,1.67,,,2.2,1.68,2.15,1.67,2.26,1.77
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Kalinina A.,Vidmanova D.,51,88,1081,842,4,6,6,4,6,2,2,1,Completed,1.8,2,,,2,2.1,1.81,1.95,1.92,2.04
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Rakhimova K.,Birrell K.,83,69,894,999,6,2,6,2,,,2,0,Completed,1.91,1.91,,,2,2,1.91,1.85,2.08,1.92
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Townsend T.,Osorio M.,94,55,813,1048,3,6,6,3,6,3,2,1,Completed,1.57,2.38,,,1.6,2.5,1.56,2.36,1.63,2.56
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Waltert S.,Marcinko P.,87,72,846,974,5,7,6,4,6,2,2,1,Completed,2,1.8,,,2.02,1.83,1.99,1.79,2.08,1.9
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Boisson L.,Krueger A.,281,56,258,1047,6,3,6,2,,,2,0,Completed,3.4,1.33,,,3.4,1.4,3.11,1.35,3.45,1.39
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Frech M.,Ruzic A.,41,61,1185,1032,6,2,7,5,,,2,0,Completed,1.57,2.38,,,1.62,2.4,1.56,2.37,1.59,2.64
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Ruse E.G.,Linette M.,74,62,966,1026,6,0,6,3,,,2,0,Completed,1.62,2.3,,,1.62,2.38,1.6,2.27,1.67,2.46
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Parry D.,Dolehide C.,66,246,1006,302,6,4,7,6,,,2,0,Completed,2,1.8,,,2,1.85,1.95,1.81,2.04,1.93
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Maria T.,Yastremska D.,80,107,923,747,6,1,6,2,,,2,0,Completed,1.73,2.1,,,1.76,2.1,1.73,2.06,1.81,2.22
39,Cincinnati,Western & Southern Financial Group Women's Open,13/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Bucsa C.,Udvardy P.,38,77,1224,961,6,2,1,6,7,5,2,1,Completed,1.62,2.3,,,1.73,2.3,1.65,2.16,1.75,2.32
39,Cincinnati,Western & Southern Financial Group Women's Open,14/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Boulter K.,Volynets K.,71,89,987,838,7,5,0,6,6,4,2,1,Completed,2,1.8,,,2.1,1.83,2.02,1.76,2.24,1.8
39,Cincinnati,Western & Southern Financial Group Women's Open,14/08/2026,WTA1000,Outdoor,Hard,1st Round,3,McNally C.,Kessler M.,70,58,990,1040,6,3,6,4,,,2,0,Completed,1.67,2.2,,,1.75,2.2,1.72,2.09,1.81,2.2
39,Cincinnati,Western & Southern Financial Group Women's Open,14/08/2026,WTA1000,Outdoor,Hard,1st Round,3,Stefanini L.,Cocciaretto E.,142,60,557,1035,5,3,,,,,0,0,Retired,2.75,1.44,,,2.75,1.45,2.72,1.43,2.92,1.5
