WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Frech M.,Samsonova L.,59,17,1033,2116,6,3,4,6,7,6,2,1,Completed,3,1.4,,,3,1.4,2.94,1.37,3.2,1.44
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Zvonareva V.,Stearns P.,580,55,83,1078,2,6,6,2,6,3,2,1,Completed,2.5,1.53,,,2.65,1.57,2.45,1.52,2.6,1.61
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Gracheva V.,Siegemund L.,73,51,887,1111,7,6,6,4,,,2,0,Completed,1.44,2.75,,,1.47,2.8,1.43,2.73,1.5,2.9
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Mertens E.,Pavlyuchenkova A.,22,110,1936,706,6,2,6,1,,,2,0,Completed,1.2,4.5,,,1.23,4.5,1.21,4.16,1.24,4.9
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Parks A.,Shnaider D.,77,21,872,1953,1,6,6,4,7,6,2,1,Completed,3.5,1.3,,,3.5,1.33,3.39,1.3,3.8,1.34
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Cocciaretto E.,Jacquemot E.,57,60,1063,1031,7,6,6,2,,,2,0,Completed,1.5,2.63,,,1.53,2.75,1.48,2.64,1.51,2.68
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Li A.,Fernandez L.A.,41,27,1243,1653,6,4,6,3,,,2,0,Completed,2.3,1.62,,,2.3,1.67,2.21,1.64,2.34,1.72
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Linette M.,Kartal S.,47,50,1179,1112,6,4,3,6,6,3,2,1,Completed,2.75,1.44,,,3,1.45,2.78,1.42,3,1.49
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Mboko V.,Bouzkova M.,13,37,2606,1285,7,5,6,2,,,2,0,Completed,1.44,2.75,,,1.5,2.75,1.45,2.66,1.51,2.92
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Pliskova Ka.,Sierra S.,418,62,147,987,6,1,6,2,,,2,0,Completed,1.8,2,,,1.82,2.15,1.76,2.03,1.84,2.14
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Kasatkina D.,Uchijima M.,61,88,997,810,4,6,6,3,6,0,2,1,Completed,1.5,2.63,,,1.53,3.8,1.46,2.73,1.57,2.68
9,Doha,Qatar Open,08/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Muchova K.,Cristian J.,19,36,2058,1307,6,2,6,3,,,2,0,Completed,1.17,5,,,1.19,5.25,1.17,4.68,1.21,5.4
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Noskova L.,Joint M.,12,30,2626,1549,6,4,6,0,,,2,0,Completed,1.44,2.75,,,1.5,3.1,1.41,2.8,1.49,3
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Yastremska D.,Bucsa C.,42,56,1225,1069,6,4,4,6,7,6,2,1,Completed,1.67,2.2,,,1.67,2.63,1.63,2.24,1.72,2.36
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Wang Xin.,Arango E.,33,49,1383,1142,6,1,7,5,,,2,0,Completed,1.17,5,,,1.18,5.6,1.15,5.21,1.22,5.5
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Siniakova K.,Tauson C.,44,14,1207,2530,6,4,6,1,,,2,0,Completed,2.1,1.73,,,2.25,1.8,2.14,1.68,2.24,1.79
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Valentova T.,Eala A.,48,40,1175,1244,7,6,6,1,,,2,0,Completed,1.44,2.75,,,1.54,2.75,1.47,2.61,1.51,2.92
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Navarro E.,Maria T.,18,54,2095,1089,7,5,6,1,,,2,0,Completed,1.1,7,,,1.13,7.5,1.11,6.33,1.12,8.6
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Zheng Q.,Kenin S.,26,29,1658,1567,4,6,6,1,6,2,2,1,Completed,1.44,2.75,,,1.45,2.88,1.43,2.75,1.5,2.96
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Ostapenko J.,Zakharova A.,24,105,1860,737,6,7,6,3,6,4,2,1,Completed,1.8,2,,,1.8,2.35,1.7,2.12,1.87,2.12
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Sakkari M.,Sonmez Z.,52,85,1110,843,6,1,6,3,,,2,0,Completed,1.67,2.2,,,1.73,2.23,1.68,2.14,1.76,2.26
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Kalinskaya A.,Bouzas Maneiro J.,28,45,1575,1202,6,2,6,1,,,2,0,Completed,1.3,3.5,,,1.33,3.66,1.3,3.41,1.33,3.9
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Osorio M.,Raducanu E.,80,25,851,1700,2,6,6,4,2,0,1,1,Retired,1.91,1.91,,,1.91,1.95,1.87,1.9,1.95,2.02
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Tjen J.,Haddad Maia B.,46,67,1185,932,6,0,6,1,,,2,0,Completed,1.8,2,,,1.81,4,1.69,2.31,1.86,2.12
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,2nd Round,3,Pliskova Ka.,Anisimova A.,418,4,147,6680,5,7,7,6,4,1,1,1,Retired,6,1.13,,,6.5,1.14,5.75,1.13,6.8,1.16
9,Doha,Qatar Open,09/02/2026,WTA1000,Outdoor,Hard,2nd Round,3,Andreeva M.,Linette M.,7,47,4731,1179,7,6,6,1,,,2,0,Completed,1.13,6,,,1.14,7.5,1.12,5.83,1.16,6.8
