WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Tjen J.,Yastremska D.,46,44,1236,1265,6,4,6,1,,,2,0,Completed,2,1.8,,,2,1.87,1.95,1.82,2.06,1.91
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Noskova L.,Li A.,14,36,2571,1333,6,3,5,7,6,4,2,1,Completed,1.44,2.75,,,1.45,3.25,1.42,2.8,1.47,3.1
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Stearns P.,Frech M.,58,55,1023,1053,6,4,6,2,,,2,0,Completed,2,1.8,,,2.1,16,1.81,3.5,2.06,1.6
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Birrell K.,Maria T.,94,54,789,1079,6,4,3,6,7,5,2,1,Completed,1.25,4,,,1.3,4,1.27,3.66,1.28,4.3
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Mertens E.,Bouzkova M.,22,38,1881,1317,6,2,6,2,,,2,0,Completed,1.62,2.3,,,1.73,2.38,1.66,2.18,1.78,2.28
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Krejcikova B.,Pavlyuchenkova A.,53,110,1091,716,6,4,6,4,,,2,0,Completed,1.33,3.4,,,1.4,3.5,1.34,3.23,1.33,3.9
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Fernandez L.A.,Samsonova L.,29,18,1543,2105,5,7,7,5,6,3,2,1,Completed,2.1,1.73,,,2.3,1.78,2.11,1.71,2.2,1.81
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Seidel E.,Bucsa C.,95,63,785,984,6,1,6,4,,,2,0,Completed,2.2,1.67,,,2.3,1.68,2.18,1.66,2.34,1.72
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Shnaider D.,Joint M.,21,28,1953,1549,6,4,6,1,,,2,0,Completed,1.4,3,,,1.4,3.15,1.37,3,1.45,3.2
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Linette M.,Sun L.,50,98,1124,780,4,6,6,4,6,1,2,1,Completed,1.57,2.38,,,1.67,2.45,1.57,2.36,1.63,2.58
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Eala A.,Baptiste H.,47,45,1227,1264,6,4,0,1,,,1,0,Retired,1.8,2,,,1.81,2.1,1.77,2.02,1.81,2.2
10,Dubai,Dubai Duty Free Tennis Championships,15/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Bejlek S.,Sonmez Z.,41,84,1277,843,6,2,6,2,,,2,0,Completed,1.44,2.75,,,1.5,3.25,1.45,2.67,1.54,2.8
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Jovic I.,Rakhimova K.,20,91,2008,802,6,1,1,6,6,1,2,1,Completed,1.22,4.33,,,1.25,4.33,1.22,4.18,1.22,5.3
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Navarro E.,Ruse E.G.,19,80,2100,864,6,4,7,5,,,2,0,Completed,1.5,2.63,,,1.55,3,1.47,2.61,1.53,2.84
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Gracheva V.,Sramkova R.,60,103,1007,758,7,5,1,6,6,4,2,1,Completed,1.73,2.1,,,1.73,2.2,1.7,2.1,1.78,2.26
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Cirstea S.,Sasnovich A.,32,113,1439,673,6,3,7,6,,,2,0,Completed,1.33,3.4,,,1.36,3.4,1.34,3.19,1.38,3.5
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Tauson C.,Kenin S.,15,30,2530,1472,7,6,6,2,,,2,0,Completed,1.25,4,,,1.3,4.33,1.27,3.66,1.31,4.1
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Kasatkina D.,Siegemund L.,61,52,997,1101,6,2,6,3,,,2,0,Completed,1.4,3,,,1.41,3.2,1.39,2.96,1.44,3.15
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Bencic B.,Bouzas Maneiro J.,13,48,2843,1202,2,6,6,1,6,2,2,1,Completed,1.17,5,,,1.2,5.5,1.16,5.01,1.18,6.2
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Zakharova A.,Uchijima M.,104,90,754,810,6,2,6,4,,,2,0,Completed,2,1.8,,,2,2.5,1.86,1.94,2.06,1.91
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Kalinskaya A.,Ostapenko J.,23,27,1780,1600,2,6,6,1,6,4,2,1,Completed,1.44,2.75,,,1.48,2.88,1.44,2.71,1.48,3
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Ruzic A.,Raducanu E.,67,25,933,1700,6,1,5,7,6,2,2,1,Completed,4,1.25,,,4,1.29,3.72,1.26,4.2,1.3
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Badosa P.,Siniakova K.,70,42,901,1272,6,3,7,5,,,2,0,Completed,2,1.8,,,2.05,1.83,1.99,1.78,2.12,1.88
10,Dubai,Dubai Duty Free Tennis Championships,16/02/2026,WTA1000,Outdoor,Hard,1st Round,3,Cristian J.,Marcinko P.,39,69,1307,912,6,1,6,1,,,2,0,Completed,1.62,2.3,,,1.75,2.3,1.71,2.11,1.76,2.28
