WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,McNally C.,Tomljanovic A.,63,100,1018,784,3,6,7,6,6,3,2,1,Completed,1.3,3.5,,,1.4,3.5,1.35,3.13,1.39,3.5
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Kostyuk M.,Selekhmeteva O.,15,88,2387,865,6,2,6,3,"	",,2,0,Completed,1.06,10,,,1.07,10,1.06,8.77,1.08,12.5
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Bouzkova M.,Bronzetti L.,28,172,1631,448,6,3,6,1,,"	",2,0,Completed,1.22,4.33,,,1.25,4.4,1.22,4.17,1.24,4.8
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Wang Xin.,Tagger L.,34,90,1371,857,6,3,3,6,6,4,2,1,Completed,2.3,1.62,,,2.5,1.62,2.33,1.58,2.5,1.65
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Bencic B.,Kraus S.,11,98,3145,795,6,2,6,3,,"	",2,0,Completed,1.22,4.33,,,1.29,4.33,1.25,3.9,1.28,4.5
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Volynets K.,Burel C.,108,1486,705,3,6,3,6,1,"	",,2,0,Completed,1.2,4.5,,,1.2,4.8,1.19,4.51,1.23,5.1
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Starodubtseva Y.,Blinkova A.,55,103,1093,733,6,3,6,1,,"	",2,0,Completed,1.29,3.75,,,1.36,3.75,1.32,3.33,1.38,3.55
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Wang Xiy.,Kovinic D.,148,N/A,516,N/A,6,3,6,1,,"	",2,0,Completed,1.04,13,,,1.04,15,1.03,11.75,1.04,17.5
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Linette M.,Valentova T.,73,42,931,1265,5,7,6,4,7,6,2,1,Completed,3.75,1.29,,,4.1,1.3,3.75,1.26,4.1,1.32
24,Paris,French Open,24/05/2026,Grand Slam,Outdoor,Clay,1st Round,3,Baptiste H.,Krejcikova B.,26,41,1683,1271,6,7,7,6,6,2,2,1,Completed,1.73,2.1,,,1.8,2.12,1.73,2.07,1.83,2.16
