WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Cirstea S.,Maria T.,38,59,1344,1069,6,4,4,6,6,3,2,1,Completed,1.1,7,,,1.12,7,1.1,6.5,1.11,9.4
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Putintseva Y.,Badosa P.,76,106,871,738,6,4,6,2,0,0,2,0,Completed,2.75,1.44,,,2.8,1.48,2.71,1.44,2.86,1.52
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Birrell K.,Selekhmeteva O.,69,71,925,917,6,1,6,4,,,2,0,Completed,2.1,1.73,,,2.15,1.75,2.1,1.71,2.32,1.74
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Potapova A.,Stakusic M.,91,130,810,601,4,6,6,1,7,5,2,1,Completed,2,1.8,,,2,1.88,1.92,1.83,2.04,1.94
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Tomljanovic A.,Ruse E.G.,85,74,837,892,7,5,6,2,,,2,0,Completed,2,1.8,,,2.05,1.8,2.02,1.76,2.1,1.87
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Gibson T.,Li A.,112,41,721,1333,6,3,7,5,,,2,0,Completed,2.38,1.57,,,2.42,1.6,2.34,1.57,2.56,1.62
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Sonmez Z.,Kessler M.,80,51,851,1193,7,6,6,0,,,2,0,Completed,2.2,1.67,,,2.3,1.68,2.23,1.63,2.46,1.67
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Bouzas Maneiro J.,Haddad Maia B.,50,67,1202,942,6,1,6,7,6,1,2,1,Completed,1.62,2.3,,,1.68,2.3,1.64,2.21,1.69,2.4
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Zakharova A.,Seidel E.,86,83,831,847,6,2,6,2,,,2,0,Completed,1.67,2.2,,,1.67,2.25,1.63,2.23,1.67,2.48
13,Indian Wells,BNP Paribas Open,04/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Sakatsume H.,Parks A.,136,96,556,789,6,4,6,3,,,2,0,Completed,2,1.8,,,2.08,1.81,2.01,1.76,2.2,1.81
