WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Marcinko P.,Jimenez Kasintseva V.,74,115,919,711,6,0,7,5,,,2,0,Completed,1.4,3,,,1.4,3.2,1.36,3.07,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Samson L.,Maria T.,171,54,428,1106,6,4,6,2,,,2,0,Completed,1.8,2,,,1.8,2.2,1.73,2.06,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Siegemund L.,Begu I.,47,182,1217,399,6,4,6,0,,,2,0,Completed,1.44,2.75,,,1.45,2.88,1.43,2.73,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Bouzas Maneiro J.,Haddad Maia B.,50,69,1186,947,6,1,6,1,,,2,0,Completed,1.4,3,,,1.44,3,1.43,2.77,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Grabher J.,Badosa P.,107,103,746,771,7,6,4,6,6,0,2,1,Completed,5.5,1.14,,,5.5,1.17,5.18,1.15,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Bondar A.,Golubic V.,63,81,1023,881,6,2,6,3,,,2,0,Completed,1.2,4.5,,,1.22,4.6,1.2,4.39,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Linette M.,Montgomery R.,57,339,1059,188,6,4,6,3,,,2,0,Completed,1.57,2.38,,,1.65,2.38,1.59,2.3,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Quevedo K.,Williams V.,140,479,541,113,6,2,6,4,,,2,0,Completed,1.2,4.5,,,1.22,4.5,1.2,4.31,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Osorio M.,Zakharova A.,83,79,876,894,6,0,6,3,,,2,0,Completed,1.36,3.2,,,1.4,3.25,1.36,3.06,,
20,Madrid,Mutua Madrid Open,21/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Stearns P.,Boisson L.,43,46,1296,1259,6,1,6,3,,,2,0,Completed,1.4,3,,,1.4,3.1,1.37,3,,
20,Madrid,Mutua Madrid Open,22/04/2026,WTA1000,Outdoor,Clay,1st Round,3,Ruse E.G.,Ruzic A.,71,59,937,1046,6,3,4,6,6,0,2,1,Completed,1.36,3.2,,,1.4,3.25,1.35,3.08,,
