WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Jacquemot E.,Vidmanova D.,62,118,1021,697,6,7,7,5,7,5,2,1,Completed,2.75,1.44,,,2.9,1.46,2.75,1.43,3.1,1.46
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Tomljanovic A.,Waltert S.,81,88,872,842,6,3,6,4,,,2,0,Completed,1.33,3.4,,,1.36,3.5,1.33,3.25,1.36,3.7
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Linette M.,Gracheva V.,50,60,1209,1047,2,6,6,2,6,0,2,1,Completed,1.8,2,,,1.8,2.07,1.76,2.02,1.84,2.16
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Kessler M.,Frech M.,51,37,1168,1348,2,6,6,4,6,2,2,1,Completed,1.62,2.3,,,1.62,2.33,1.6,2.27,1.65,2.48
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Siegemund L.,Marcinko P.,53,76,1143,896,6,4,6,4,,,2,0,Completed,1.73,2.1,,,1.75,2.12,1.72,2.07,1.81,2.22
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Boulter K.,Bouzas Maneiro J.,67,48,957,1227,7,6,6,4,,,2,0,Completed,1.67,2.2,,,2.1,2.35,1.73,2.11,1.78,2.26
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Cirstea S.,Zhang S.,35,61,1374,1036,6,3,6,4,,,2,0,Completed,1.29,3.75,,,1.32,3.75,1.29,3.52,1.31,4
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Sonmez Z.,Haddad Maia B.,83,69,866,942,6,3,6,2,,,2,0,Completed,1.4,3,,,1.46,3,1.42,2.76,1.5,2.9
14,Miami,Miami Open,17/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Blinkova A.,Kenin S.,92,46,820,1242,3,6,6,1,6,3,2,1,Completed,2.38,1.57,,,2.4,1.6,2.34,1.57,2.6,1.61
14,Miami,Miami Open,18/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Osorio M.,Siniakova K.,58,42,1071,1324,6,1,6,4,,,2,0,Completed,2,1.8,,,2.03,1.83,1.97,1.79,2.04,1.93
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Gibson T.,Bejlek S.,68,41,950,1326,6,1,6,0,,,2,0,Completed,1.8,2,,,1.8,2.1,1.74,2.04,1.72,2.34
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Badosa P.,Sasnovich A.,100,116,797,701,7,5,6,3,,,2,0,Completed,1.5,2.63,,,1.5,2.65,1.5,2.54,1.59,2.64
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Parks A.,Kraus S.,105,120,764,690,7,5,7,6,,,2,0,Completed,1.67,2.2,,,1.73,2.2,1.68,2.14,1.8,2.2
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Valentova T.,Volynets K.,49,95,1217,811,6,2,6,4,,,2,0,Completed,1.57,2.38,,,1.58,2.43,1.55,2.36,1.66,2.48
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Kalieva E.,Galfi D.,154,87,484,842,6,3,6,7,7,6,2,1,Completed,2.2,1.67,,,2.2,1.75,2.15,1.68,2.32,1.73
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Zakharova A.,Bondar A.,74,65,899,986,5,7,6,3,6,1,2,1,Completed,1.44,2.75,,,1.5,2.75,1.45,2.68,1.48,3
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Starodubtseva Y.,Lys E.,108,77,751,893,6,1,6,4,,,2,0,Completed,2.2,1.67,,,2.25,1.67,2.19,1.66,2.38,1.7
14,Miami,Miami Open,19/03/2026,WTA1000,Outdoor,Hard,1st Round,3,Cocciaretto E.,Semenistaja D.,44,103,1255,786,6,4,6,1,,,2,0,Completed,1.36,3.2,,,1.36,3.25,1.34,3.16,1.38,3.55
