WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
19,Stuttgart,Porsche Tennis Grand Prix,13/04/2026,WTA500,Indoor,Clay,1st Round,3,Siegemund L.,Tomova V.,51,155,1158,480,4,6,7,6,6,1,2,1,Completed,1.57,2.38,,,1.67,2.43,1.58,2.31,1.62,2.58
19,Stuttgart,Porsche Tennis Grand Prix,13/04/2026,WTA500,Indoor,Clay,1st Round,3,Samsonova L.,Ruzic A.,21,57,1845,1046,6,0,6,4,,,2,0,Completed,1.4,3,,,1.44,3.25,1.4,2.86,1.42,3.35
19,Stuttgart,Porsche Tennis Grand Prix,14/04/2026,WTA500,Indoor,Clay,1st Round,3,Muchova K.,Sasnovich A.,12,115,2993,716,6,2,6,4,,,2,0,Completed,1.25,4,,,1.27,4,1.24,3.87,1.29,4.2
19,Stuttgart,Porsche Tennis Grand Prix,14/04/2026,WTA500,Indoor,Clay,1st Round,3,Mertens E.,Seidel E.,20,85,1906,850,6,3,6,4,,,2,0,Completed,1.14,5.5,,,1.17,6.25,1.14,5.52,1.16,6.8
19,Stuttgart,Porsche Tennis Grand Prix,14/04/2026,WTA500,Indoor,Clay,1st Round,3,Alexandrova E.,Knutson G.,13,223,2886,311,6,2,6,2,,,2,0,Completed,1.11,6.5,,,1.12,7,1.11,6.25,1.13,8
19,Stuttgart,Porsche Tennis Grand Prix,14/04/2026,WTA500,Indoor,Clay,1st Round,3,Fernandez L.A.,Eala A.,25,46,1598,1255,6,1,6,4,,,2,0,Completed,1.57,2.38,,,1.6,2.42,1.57,2.34,1.68,2.42
19,Stuttgart,Porsche Tennis Grand Prix,14/04/2026,WTA500,Indoor,Clay,1st Round,3,Lys E.,Badosa P.,75,102,891,771,2,6,7,5,6,4,2,1,Completed,3.4,1.33,,,3.45,1.35,3.24,1.33,3.5,1.39
19,Stuttgart,Porsche Tennis Grand Prix,14/04/2026,WTA500,Indoor,Clay,1st Round,3,Shnaider D.,Korpatsch T.,19,109,2001,737,6,3,6,1,,,2,0,Completed,1.2,4.5,,,1.2,4.9,1.18,4.55,1.25,4.9
19,Stuttgart,Porsche Tennis Grand Prix,15/04/2026,WTA500,Indoor,Clay,1st Round,3,Sonmez Z.,Paolini J.,76,8,891,3907,6,2,6,2,,,2,0,Completed,4,1.25,,,4.33,1.25,4.05,1.23,4.8,1.24
19,Stuttgart,Porsche Tennis Grand Prix,15/04/2026,WTA500,Indoor,Clay,1st Round,3,Parks A.,Noha Akugue N.,93,192,814,378,6,4,6,2,,,2,0,Completed,1.5,2.63,,,1.64,2.63,1.52,2.48,1.66,2.5
