WTA,Location,Tournament,Date,Tier,Court,Surface,Round,Best of,Winner,Loser,WRank,LRank,WPts,LPts,W1,L1,W2,L2,W3,L3,Wsets,Lsets,Comment,B365W,B365L,PSW,PSL,MaxW,MaxL,AvgW,AvgL,BFEW,BFEL
37,Washington,Citi Open,27/07/2026,WTA500,Outdoor,Hard,1st Round,3,Cocciaretto E.,Tauson C.,71,30,967,1564,4,6,7,6,7,6,2,1,Completed,3,1.4,,,3.15,1.4,2.99,1.37,3.4,1.41
37,Washington,Citi Open,27/07/2026,WTA500,Outdoor,Hard,1st Round,3,Fernandez L.A.,Linette M.,34,65,1344,1001,6,1,6,4,"	",,2,0,Completed,1.53,2.5,,,1.53,2.63,1.51,2.52,1.55,2.76
37,Washington,Citi Open,27/07/2026,WTA500,Outdoor,Hard,1st Round,3,Navarro E.,Kenin S.,26,116,1674,684,6,0,7,5,"	",,2,0,Completed,1.36,3.2,,,1.37,3.2,1.35,3.07,1.41,3.35
37,Washington,Citi Open,27/07/2026,WTA500,Outdoor,Hard,1st Round,3,Samsonova L.,Keys M.,70,22,970,1964,3,6,6,4,6,4,2,1,Completed,3.75,1.29,,,3.75,1.3,3.5,1.29,4,1.32
37,Washington,Citi Open,28/07/2026,WTA500,Outdoor,Hard,1st Round,3,Tjen J.,Sramkova R.,37,141,1282,549,6,4,6,2,"	",,2,0,Completed,1.53,2.5,,,1.62,2.5,1.56,2.36,1.62,2.56
37,Washington,Citi Open,28/07/2026,WTA500,Outdoor,Hard,1st Round,3,Krueger A.,Boulter K.,67,69,997,987,3,6,6,2,6,2,2,1,Completed,1.57,2.38,,,1.58,2.5,1.55,2.41,1.6,2.62
37,Washington,Citi Open,28/07/2026,WTA500,Outdoor,Hard,1st Round,3,Kudermetova P.,Bucsa C.,108,40,708,1244,5,7,7,6,6,0,2,1,Completed,1.67,2.2,,,1.75,2.2,1.68,2.14,1.71,2.38
37,Washington,Citi Open,28/07/2026,WTA500,Outdoor,Hard,1st Round,3,Wang Xin.,Pareja J.,42,308,1193,224,7,6,6,3,,"	",2,0,Completed,1.67,2.2,,,1.74,2.33,1.65,2.19,1.68,2.44
37,Washington,Citi Open,28/07/2026,WTA500,Outdoor,Hard,1st Round,3,Eala A.,Zheng Q.,28,123,1666,610,4,6,6,4,6,1,2,1,Completed,2.1,1.73,,,2.23,1.75,2.13,1.68,2.18,1.82
37,Washington,Citi Open,28/07/2026,WTA500,Outdoor,Hard,1st Round,3,Kalinskaya A.,Kasatkina D.,20,61,2007,1009,6,4,6,1,,"	",2,0,Completed,1.5,2.63,,,1.52,3.2,1.44,2.7,1.51,2.88
37,Washington,Citi Open,28/07/2026,WTA500,Outdoor,Hard,1st Round,3,Frech M.,Li A.,48,31,1120,1541,6,4,6,3,"	",,2,0,Completed,2.75,1.44,,,3.5,1.47,2.8,1.4,3.05,1.47
37,Washington,Citi Open,29/07/2026,WTA500,Outdoor,Hard,1st Round,3,Potapova A.,Williams V.,27,664,1667,64,6,3,6,3,"	",,2,0,Completed,1.13,6,,,1.15,6.5,1.13,5.7,1.12,8.6
37,Washington,Citi Open,29/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Eala A.,Fernandez L.A.,28,34,1666,1344,6,2,7,6,,"	",2,0,Completed,1.8,2,,,1.8,2.02,1.77,2,1.87,2.12
37,Washington,Citi Open,29/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Samsonova L.,Wang Xin.,70,42,970,1193,6,2,6,2,,"	",2,0,Completed,1.53,2.5,,,1.55,2.63,1.51,2.5,1.58,2.68
37,Washington,Citi Open,29/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Cocciaretto E.,Navarro E.,71,26,967,1674,6,3,4,6,6,3,2,1,Completed,2.75,1.44,,,2.8,1.53,2.64,1.46,2.98,1.49
37,Washington,Citi Open,29/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Osaka N.,Krueger A.,13,67,3086,997,6,3,3,1,,"	",1,0,Retired,1.3,3.5,,,1.41,3.5,1.37,3.02,1.43,3.25
37,Washington,Citi Open,30/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Kalinskaya A.,Tjen J.,20,37,2007,1282,1,6,6,3,7,6,2,1,Completed,1.36,3.2,,,1.37,3.25,1.35,3.08,1.38,3.55
37,Washington,Citi Open,30/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Pegula J.,Frech M.,3,48,6300,1120,3,6,6,3,6,0,2,1,Completed,1.07,9,,,1.09,9,1.08,7.38,1.1,10
37,Washington,Citi Open,31/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Shnaider D.,Potapova A.,18,27,2458,1667,6,1,6,2,"	",,2,0,Completed,1.8,2,,,1.83,2.01,1.79,1.97,1.89,2.08
37,Washington,Citi Open,31/07/2026,WTA500,Outdoor,Hard,2nd Round,3,Svitolina E.,Kudermetova P.,10,108,4351,708,7,6,6,4,,"	",2,0,Completed,1.17,5,,,1.29,5,1.22,4.14,1.26,4.7
37,Washington,Citi Open,31/07/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Pegula J.,Kalinskaya A.,3,20,6300,2007,6,3,7,5,"	",,2,0,Completed,1.33,3.4,,,1.36,3.4,1.33,3.23,1.36,3.75
37,Washington,Citi Open,31/07/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Osaka N.,Cocciaretto E.,13,71,3086,967,4,6,6,4,6,3,2,1,Completed,1.14,5.5,,,1.19,5.75,1.15,5.22,1.18,6.2
37,Washington,Citi Open,31/07/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Shnaider D.,Samsonova L.,18,70,2458,970,6,3,6,4,"	",,2,0,Completed,1.8,2,,,1.8,2.03,1.77,2,1.91,2.06
37,Washington,Citi Open,01/08/2026,WTA500,Outdoor,Hard,Quarterfinals,3,Eala A.,Svitolina E.,28,10,1666,4351,6,3,6,4,"	",,2,0,Completed,2.3,1.62,,,2.3,1.67,2.23,1.62,2.38,1.7
37,Washington,Citi Open,01/08/2026,WTA500,Outdoor,Hard,Semifinals,3,Pegula J.,Shnaider D.,3,18,6300,2458,7,5,6,4,"	",,2,0,Completed,1.25,4,,,1.25,4,1.24,3.84,1.3,4.2
37,Washington,Citi Open,01/08/2026,WTA500,Outdoor,Hard,Semifinals,3,Eala A.,Osaka N.,28,13,1666,3086,6,4,6,2,,"	",2,0,Completed,2.3,1.62,,,2.4,1.62,2.32,1.57,2.5,1.66
37,Washington,Citi Open,03/08/2026,WTA500,Outdoor,Hard,The Final,3,Eala A.,Pegula J.,28,3,1666,6300,4,6,6,4,6,0,2,1,Completed,2.3,1.62,,,2.6,1.62,2.36,1.56,2.64,1.6
