Tournament,Date,Court,Surface,Round,Best of,Player_1,Player_2,Winner,Rank_1
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Benesova I.,Bremond S.,Bremond S.,58
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Camerin M.E.,Vesnina E.,Vesnina E.,50
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Ferguson S.,Sugiyama A.,Ferguson S.,184
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Golds S.,Castano C.,Castano C.,599
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Hingis M.,Bammer S.,Hingis M.,7
Mondial Australian Women's Hardcourts,2006-12-31,Outdoor,Hard,1st Round,3,Sequera M.,Ivanova E.,Sequera M.,103
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Bartoli M.,Morita A.,Bartoli M.,18
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Daniilidou E.,Kostanic J.,Daniilidou E.,36
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Johansson M.,Laine E.,Laine E.,140
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Loit E.,Birnerova E.,Loit E.,56
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Myskina A.,Dulko G.,Dulko G.,16
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Nakamura A.,Craybas J.,Craybas J.,57
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Perry S.,Pin C.,Pin C.,44
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Razzano V.,Kanepi K.,Razzano V.,88
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Sun T.T.,Baker L.,Sun T.T.,81
ASB Classic,2007-01-01,Outdoor,Hard,1st Round,3,Tu M.,Erakovic M.,Erakovic M.,90
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Bovina E.,Pratt N.,Pratt N.,1431
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Groenefeld A.L.,Garbin T.,Garbin T.,19
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Ivanovic A.,Vinci R.,Ivanovic A.,14
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,King V.,Srebotnik K.,Srebotnik K.,60
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Kirilenko M.,Pennetta F.,Kirilenko M.,30
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Li N.,Zahlavova S.,Li N.,21
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Peng S.,Stosur S.,Stosur S.,55
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Poutchkova O.,Fedak Y.,Poutchkova O.,39
Mondial Australian Women's Hardcourts,2007-01-01,Outdoor,Hard,1st Round,3,Shaughnessy M.,Peer S.,Peer S.,37
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Hantuchova D.,Cibulkova D.,Hantuchova D.,17
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Meusburger Y.,Bychkova E.,Meusburger Y.,135
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Muller M.,Suarez P.,Suarez P.,34
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Oprandi R.,Granville L.,Granville L.,53
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Schruff J.,Jankovic J.,Jankovic J.,82
ASB Classic,2007-01-02,Outdoor,Hard,1st Round,3,Zvonareva V.,Osterloh L.,Zvonareva V.,24
ASB Classic,2007-01-02,Outdoor,Hard,2nd Round,3,Bartoli M.,Loit E.,Loit E.,18
ASB Classic,2007-01-02,Outdoor,Hard,2nd Round,3,Craybas J.,Dulko G.,Craybas J.,70
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,1st Round,3,Safina D.,Likhovtseva E.,Safina D.,11
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Garbin T.,Bremond S.,Garbin T.,38
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Hingis M.,Pratt N.,Hingis M.,7
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Li N.,Castano C.,Castano C.,21
Mondial Australian Women's Hardcourts,2007-01-02,Outdoor,Hard,2nd Round,3,Srebotnik K.,Vesnina E.,Vesnina E.,23
ASB Classic,2007-01-03,Outdoor,Hard,2nd Round,3,Erakovic M.,Daniilidou E.,Daniilidou E.,162
ASB Classic,2007-01-03,Outdoor,Hard,2nd Round,3,Granville L.,Zvonareva V.,Zvonareva V.,68
ASB Classic,2007-01-03,Outdoor,Hard,2nd Round,3,Laine E.,Jankovic J.,Jankovic J.,74
ASB Classic,2007-01-03,Outdoor,Hard,2nd Round,3,Pin C.,Meusburger Y.,Pin C.,75
ASB Classic,2007-01-03,Outdoor,Hard,2nd Round,3,Razzano V.,Hantuchova D.,Razzano V.,88
ASB Classic,2007-01-03,Outdoor,Hard,2nd Round,3,Suarez P.,Sun T.T.,Suarez P.,178
ASB Classic,2007-01-03,Outdoor,Hard,Quarterfinals,3,Pin C.,Loit E.,Pin C.,75
Mondial Australian Women's Hardcourts,2007-01-03,Outdoor,Hard,2nd Round,3,Ivanovic A.,Sequera M.,Ivanovic A.,14
Mondial Australian Women's Hardcourts,2007-01-03,Outdoor,Hard,2nd Round,3,Kirilenko M.,Safina D.,Safina D.,30
Mondial Australian Women's Hardcourts,2007-01-03,Outdoor,Hard,2nd Round,3,Poutchkova O.,Peer S.,Peer S.,39
Mondial Australian Women's Hardcourts,2007-01-03,Outdoor,Hard,2nd Round,3,Stosur S.,Ferguson S.,Stosur S.,29
ASB Classic,2007-01-04,Outdoor,Hard,Quarterfinals,3,Jankovic J.,Daniilidou E.,Jankovic J.,12
ASB Classic,2007-01-04,Outdoor,Hard,Quarterfinals,3,Suarez P.,Craybas J.,Craybas J.,178
Mondial Australian Women's Hardcourts,2007-01-04,Outdoor,Hard,Quarterfinals,3,Hingis M.,Castano C.,Hingis M.,7
Mondial Australian Women's Hardcourts,2007-01-04,Outdoor,Hard,Quarterfinals,3,Peer S.,Ivanovic A.,Peer S.,20
Mondial Australian Women's Hardcourts,2007-01-04,Outdoor,Hard,Quarterfinals,3,Stosur S.,Safina D.,Safina D.,29
Mondial Australian Women's Hardcourts,2007-01-04,Outdoor,Hard,Quarterfinals,3,Vesnina E.,Garbin T.,Garbin T.,47
ASB Classic,2007-01-05,Outdoor,Hard,Semifinals,3,Craybas J.,Zvonareva V.,Zvonareva V.,70
Mondial Australian Women's Hardcourts,2007-01-05,Outdoor,Hard,Semifinals,3,Peer S.,Safina D.,Safina D.,20
ASB Classic,2007-01-06,Outdoor,Hard,The Final,3,Jankovic J.,Zvonareva V.,Jankovic J.,12
Mondial Australian Women's Hardcourts,2007-01-06,Outdoor,Hard,The Final,3,Safina D.,Hingis M.,Safina D.,11
Medibank International,2007-01-07,Outdoor,Hard,1st Round,3,Hantuchova D.,Vaidisova N.,Vaidisova N.,17
Medibank International,2007-01-07,Outdoor,Hard,1st Round,3,Ivanovic A.,Dellacqua C.,Ivanovic A.,14
Medibank International,2007-01-07,Outdoor,Hard,1st Round,3,Peer S.,Groenefeld A.L.,Peer S.,18
Medibank International,2007-01-07,Outdoor,Hard,1st Round,3,Schiavone F.,Li N.,Li N.,15
Moorilla Hobart International,2007-01-07,Outdoor,Hard,1st Round,3,Dominguez Lino L.,Chakvetadze A.,Chakvetadze A.,51
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Dementieva E.,Sugiyama A.,Dementieva E.,8
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Dushevina V.,Schnyder P.,Schnyder P.,101
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Fedak Y.,Bartoli M.,Fedak Y.,82
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Hingis M.,Jankovic J.,Jankovic J.,7
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Peng S.,Golovin T.,Golovin T.,54
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Safina D.,Pratt N.,Pratt N.,10
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Srebotnik K.,Bovina E.,Srebotnik K.,23
Medibank International,2007-01-08,Outdoor,Hard,1st Round,3,Stosur S.,Zvonareva V.,Stosur S.,27
Moorilla Hobart International,2007-01-08,Outdoor,Hard,1st Round,3,Arvidsson S.,Williams S.,Williams S.,60
Moorilla Hobart International,2007-01-08,Outdoor,Hard,1st Round,3,Bammer S.,Harkleroad A.,Bammer S.,56
Moorilla Hobart International,2007-01-08,Outdoor,Hard,1st Round,3,Bremond S.,Krajicek M.,Bremond S.,38
Moorilla Hobart International,2007-01-08,Outdoor,Hard,1st Round,3,Camerin M.E.,Santangelo M.,Santangelo M.,50
Moorilla Hobart International,2007-01-08,Outdoor,Hard,1st Round,3,Dulko G.,Bardina V.,Bardina V.,55
Moorilla Hobart International,2007-01-08,Outdoor,Hard,1st Round,3,Mirza S.,Kirilenko M.,Mirza S.,66
Moorilla Hobart International,2007-01-08,Outdoor,Hard,1st Round,3,Molik A.,Kostanic J.,Molik A.,165
