player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Abduraimova N.,1490.7126710230073,1480.4724101704874,1490.7126710230073,1481.4253420460147,,,,181.0,1132.0,-0.15352643656107245
Adkar V.,1485.9454831844573,1493.1299753705198,1493.1299753705198,1486.2599507410398,,,,697.0,305.0,
Ahn A.,1492.2019192896582,1496.8300908670012,1496.8300908670012,1493.6601817340027,,,,714.0,370.0,
Aiava D.,1483.0328094421984,1481.570597886447,1490.2525624583236,1480.505124916647,,,,166.0,370.0,-0.0536426797639552
Aksu A.,1501.432855273954,1501.1139318489481,1501.1139318489481,1502.2278636978965,,,,216.0,39.0,
Alexandrova E.,1627.4791731609675,1589.7046245599913,1628.6460639775214,1632.5641189783232,,,,19.0,3.0,0.10292996640456376
Alves C.,1463.1076320680027,1450.2060211904216,1471.1076320680027,1442.215264136005,,,,237.0,356.0,
Amariei I.D.,1490.6983323474583,1481.070504717812,1490.6983323474583,1481.3966646949166,,,,586.0,47.0,
Anderson R.,1476.025493042026,1476.7264754160797,1484.7434294811642,1469.4868589623284,,,,178.0,1608.0,
Andreescu B.,1469.4064901452912,1532.7683009535722,1506.7290873554493,1498.4103643398585,,,,174.0,27.0,-0.2991547475647344
Andreeva E.,1420.284225107644,1411.9259665534396,1456.6217624315796,1409.0886556137089,,,,102.0,460.0,-0.2780409076878949
Andreeva M.,1796.2125904284517,1844.1662133724526,1686.007189642483,1847.3666840735225,,,,6.0,11.0,-0.14468515917376068
Andrianjafitrimo T.,1476.95892058162,1454.2733600524039,1476.95892058162,1453.91784116324,,,,388.0,1140.0,
Anisimova A.,1837.7802144654092,1707.472162688552,1753.6461071363588,1847.941051191817,,,,10.0,10.0,-0.06425783520899675
Anshba A.,1503.4166574324745,1503.0060418061655,1503.0060418061655,1506.012083612331,,,,424.0,1047.0,
Appleton E.,1483.3789976314924,1483.3789976314924,1468.7552330303897,1466.7579952629849,,,,356.0,811.0,
Arango E.,1463.7374169824398,1461.018833152314,1460.0149181816018,1457.921215091768,,,,95.0,14.0,-0.12828707348914697
Arconada U.M.,1484.0337777435634,1492.0168888717817,1492.0168888717817,1484.0337777435634,,,,189.0,1787.0,
Argyrokastriti M.,1485.185306256581,1492.2114118505801,1492.2114118505801,1484.42282370116,,,,725.0,48.0,
Arseneault A.,1476.289620411819,1488.9986495575022,1488.9986495575022,1477.9972991150041,,,,407.0,28.0,
Avanesyan E.,1530.4327435175292,1545.4291410322467,1511.4995952986765,1528.8123245079653,,,,208.0,36.0,-0.09727127458170304
Avdeeva J.,1498.041473811918,1493.5241791486935,1498.041473811918,1496.082947623836,,,,208.0,825.0,
Azarenka V.,1665.610667444129,1607.608473868713,1582.187392104403,1649.2068724063033,,,,132.0,366.0,-0.07946500085677966
Babos T.,1456.5525159572553,1444.8104940121525,1467.3850806814282,1434.7701613628565,,,,259.0,775.0,-0.17870116399044964
Back D.,1463.3914698308704,1482.3219137297042,1482.3219137297042,1464.6438274594082,,,,306.0,347.0,
Badosa P.,1679.8503398017629,1649.6945621447464,1617.7688449098005,1668.2573147671828,,,,93.0,37.0,0.09234066998064161
Bai Z.,1450.2848793779094,1442.8875795090516,1453.4769966511803,1429.5496457291008,,,,702.0,221.0,-0.1298279636193127
Baindl K.,1411.632196600261,1464.8778774023183,1422.7550058536776,1406.4953373606813,,,,329.0,733.0,-0.29789382263608855
Bandecchi S.,1491.8892391245847,1488.119634006513,1483.8892391245847,1483.7784782491694,,,,215.0,94.0,
Baptiste H.,1671.0937149504598,1666.1539250318087,1617.3674499764434,1720.8629625280778,,,,26.0,98.0,0.21678280989409981
Bara I.,1433.0273978510486,1448.7115870565901,1463.2777265414734,1427.2271141120243,,,,242.0,516.0,-0.07430218027412744
Barros V.L.,1481.8722895765673,1491.02705376561,1491.02705376561,1482.0541075312199,,,,566.0,356.0,
Barry M.,1470.0741525324206,1486.1037350052989,1486.1037350052989,1472.2074700105977,,,,726.0,236.0,
Barthel M.,1448.3685456330443,1445.5648420954944,1465.1932186711208,1430.3864373422416,,,,223.0,40.0,-0.23783936398467734
Bartunkova N.,1612.6466042906168,1571.5159758966547,1587.1403632550146,1638.8488741236094,,,,38.0,1.0,0.048871629929142846
Barty A.,1680.3488954304141,1590.3373872498498,1590.3373872498498,1680.6747744996997,,,,1.0,1674.0,0.13992020456136134
Basiletti N.,1507.355728272189,1511.6797531239308,1507.355728272189,1514.7114565443778,,,,427.0,114.0,
Bassols M.,1375.9871662921585,1411.1441530934494,1434.4486392046515,1368.8972784093028,,,,130.0,33.0,-0.07793883247906458
Bechri C.,1485.0602940701501,1492.9497936045905,1492.9497936045905,1485.8995872091812,,,,1206.0,720.0,
Begu I.,1483.922409098116,1571.0502295309461,1508.7906638652894,1538.0321312322092,,,,173.0,61.0,0.0524371675405072
Bejlek S.,1679.7586628837498,1594.1912570592804,1577.3800616364947,1681.795253066625,,,,35.0,7.0,0.34696192475185783
Bektas E.,1411.915902148429,1454.2838160162942,1456.6956325498177,1415.640538421099,,,,301.0,387.0,-0.10874237519737079
