player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Abanda F.,1492.8725082754668,1495.533036673915,1495.5184511837244,1494.2463273354538,24,2,2,361.0,1832.0,0.11594653595446941
Abdala N.,1499.7012120132354,1499.7012713902532,1499.7012120132354,1499.7012120132354,0,1,0,542.0,5296.0,
Abduraimova N.,1484.0982320258536,1473.0193562750667,1470.3017334603705,1470.3017334603705,21,3,0,181.0,1132.0,-0.15352643656107245
Abramovic I.,1499.9478228503735,1499.9478228503735,1499.9478228503735,1499.9478228503735,0,1,0,166.0,7131.0,
Abramovic M.,1499.998299062275,1499.9984293836628,1499.9984293836628,1499.9984293836628,2,0,0,361.0,5302.0,
Adamczak M.,1499.434161015278,1499.5311370547429,1499.3972010723487,1499.3972010723487,10,2,0,141.0,5982.0,-0.20537384448894241
Adkar V.,1486.4888266400837,1486.594095505125,1486.594095505125,1486.594095505125,1,0,0,697.0,305.0,
Afinogenova K.,1499.999842825884,1499.999859722068,1499.999842825884,1499.999842825884,0,2,0,302.0,7039.0,
Ahn A.,1493.5252284771295,1493.8998534500702,1493.8998534500702,1493.8998534500702,1,0,0,714.0,370.0,
Ahn K.,1489.2417903463158,1482.270254570155,1493.6047694077479,1483.2210954458194,26,7,8,117.0,1887.0,-0.1775623735457612
Ahn K.H.,1497.5172404528641,1497.5430298534638,1497.5430298534638,1497.5430298534638,2,0,0,160.0,2953.0,
Aiava D.,1475.825881378503,1475.0215338615044,1479.5436780477196,1473.668516388629,17,2,2,166.0,370.0,-0.0536426797639552
Aksu A.,1499.3226939005597,1497.9286261542143,1498.9079155958605,1498.9079155958605,2,4,0,216.0,39.0,
Al Nabhani F.,1486.8095089887452,1487.081381704155,1487.081381704155,1487.081381704155,10,0,0,406.0,2751.0,-0.26923539414432257
Albanese L.,1498.219815769414,1498.360922416112,1498.1477618494298,1498.1477618494298,5,1,0,277.0,3694.0,
Albano S.,1499.7593113998885,1499.7595294924558,1499.7593113998885,1499.7593113998885,0,1,0,1014.0,5529.0,
Albie A.,1496.1705270653883,1496.1791607799303,1496.1705270653883,1496.1705270653883,0,1,0,289.0,2652.0,
Alexandrova E.,1625.882218485668,1589.531030795503,1622.8960208452208,1639.531030795503,259,100,64,19.0,3.0,0.10292996640456376
Allertova D.,1491.8499355334884,1491.1355741613538,1489.55458120954,1483.870354017083,62,15,10,247.0,2510.0,-0.1988488735452903
Allgurin E.,1499.1199902230746,1499.119437463314,1499.1199902230746,1499.1199902230746,0,3,0,447.0,4793.0,
Altick F.,1498.7417722009461,1498.7433972326764,1498.7417722009461,1498.7417722009461,0,1,0,924.0,3800.0,
Alves C.,1454.9042980300162,1456.9703288301544,1450.7477691771614,1450.7477691771614,1,5,0,237.0,356.0,
Alves C.M.,1499.0053763142203,1499.003543002184,1499.003543002184,1499.003543002184,1,0,0,525.0,4051.0,
Alves M.F.,1497.2219790760134,1497.218044938285,1497.218044938285,1497.218044938285,3,0,0,969.0,3682.0,
Amanmuradova A.,1490.560434134285,1496.3572548394156,1493.3693248674167,1487.0126097620218,89,41,9,447.0,2532.0,-0.041313441132829976
Amariei I.D.,1481.6598491156233,1481.5341493121716,1481.6598491156233,1481.6598491156233,0,1,0,586.0,47.0,
Ancic S.,1499.9463664052794,1499.9463664052792,1499.9463664052792,1499.9463664052792,1,0,0,169.0,7102.0,
Anderson R.,1482.8429893315563,1483.1058090992653,1481.9247817300995,1481.9247817300995,1,1,0,178.0,1608.0,
Andreescu B.,1458.8173142141334,1556.9142676067813,1508.801029172573,1506.9142676067813,101,37,36,174.0,27.0,-0.2991547475647344
Andreeva E.,1431.9105384426166,1420.8278976801364,1436.2875677705174,1416.8256258431688,32,13,2,102.0,460.0,-0.2780409076878949
Andreeva M.,1804.565607695151,1847.1278461250881,1715.2275967180558,1854.565607695151,93,67,16,6.0,11.0,-0.14468515917376068
Andrianjafitrimo T.,1468.3999348371076,1463.883474059773,1464.0371161964028,1464.0371161964028,1,5,0,388.0,1140.0,
Ani M.,1499.355761772491,1499.5262706935284,1499.2437815206042,1499.1476123480002,7,19,1,156.0,6185.0,-0.049752623640121785
Anisimova A.,1832.3558912551193,1683.4113521787403,1772.7838465942702,1855.0051262798768,165,64,38,10.0,10.0,-0.06425783520899675
Anshba A.,1505.1510131284413,1504.8329296516272,1506.2057567420247,1506.2057567420247,2,2,0,424.0,1047.0,
Antonitsch M.,1498.6997993769953,1498.6996265514608,1498.6997993769953,1498.6997993769953,0,1,0,980.0,3759.0,
Antoniychuk K.,1499.9355986974483,1499.9498573309488,1499.9355683545978,1499.9355683545978,1,2,0,198.0,6037.0,
Aoyama S.,1497.4926981203494,1497.4073707619214,1497.7026003584087,1497.4073707619214,4,0,1,335.0,3247.0,
Appleton E.,1468.8704419263802,1468.8704419263802,1469.5540884846498,1468.8704419263802,0,0,2,356.0,811.0,
Arango E.,1471.3241033053723,1464.4416995491656,1463.0365848685315,1463.6813404612674,40,26,5,95.0,14.0,-0.12828707348914697
Arcangioli M.,1499.0709625165173,1499.0722411241793,1499.0709625165173,1499.0709625165173,0,1,0,276.0,4114.0,
Arconada U.M.,1474.0908072678967,1473.6250137322313,1469.4854962112518,1469.4854962112518,6,2,0,189.0,1787.0,
