player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Abanda F.,1484.0,1492.0,1492.0,1484.0,,,,361.0,1832.0,0.11594653595446941
Abduraimova N.,1490.7167059176854,1480.4764450651655,1490.7167059176854,1481.433411835371,,,,181.0,1132.0,-0.15352643656107245
Adkar V.,1485.9588251043674,1493.1368065952588,1493.1368065952588,1486.2736131905174,,,,697.0,305.0,
Ahn A.,1492.2125169743972,1496.8352612486838,1496.8352612486838,1493.6705224973678,,,,714.0,370.0,
Aiava D.,1483.1587811257004,1481.6342932882962,1490.3162578601728,1480.6325157203453,,,,166.0,370.0,-0.0536426797639552
Aksu A.,1501.4449889337716,1501.120288968259,1501.120288968259,1502.2405779365183,,,,216.0,39.0,
Alexandrova E.,1644.6670268657108,1598.5279472642221,1637.4693866817522,1650.2107643867846,,,,18.0,12.0,0.1372071978136083
Alves C.,1463.12950718822,1450.2278963106392,1471.12950718822,1442.2590143764403,,,,237.0,356.0,
Amariei I.D.,1490.703234886796,1481.07540725715,1490.703234886796,1481.4064697735923,,,,586.0,47.0,
Anderson R.,1476.135728655444,1476.773190260993,1484.7901443260778,1469.5802886521556,,,,178.0,1608.0,
Andreescu B.,1469.8016014244004,1532.9176834136874,1506.8784698155646,1498.709129260089,,,,174.0,27.0,-0.2991547475647344
Andreeva E.,1420.4229388784188,1411.994788867572,1456.6905847457124,1409.226300241974,,,,102.0,460.0,-0.2780409076878949
Andreeva M.,1796.5322939793646,1844.291939533116,1686.1329158031465,1847.6181363948494,,,,6.0,11.0,-0.14468515917376068
Andrianjafitrimo T.,1476.9733579312308,1454.2877974020146,1476.9733579312308,1453.9467158624616,,,,388.0,1140.0,
Anisimova A.,1838.1444314797864,1707.6218470601657,1753.7957915079724,1848.2404199350442,,,,10.0,10.0,-0.06425783520899675
Anshba A.,1503.444838583448,1503.017093457353,1503.017093457353,1506.0341869147062,,,,424.0,1047.0,
Appleton E.,1483.375783960351,1483.375783960351,1468.7520193592486,1466.7515679207022,,,,356.0,811.0,
Arango E.,1463.7528157789345,1461.0436720520743,1460.039757081362,1457.970892891289,,,,95.0,14.0,-0.12828707348914697
Arconada U.M.,1484.007984460468,1492.003992230234,1492.003992230234,1484.007984460468,,,,189.0,1787.0,
Argyrokastriti M.,1485.1893535771155,1492.2140110206346,1492.2140110206346,1484.4280220412695,,,,725.0,48.0,
Arseneault A.,1476.3112386719104,1489.0070187801648,1489.0070187801648,1478.0140375603298,,,,407.0,28.0,
Avanesyan E.,1530.7438906065395,1545.5582261578788,1511.6286804243086,1529.0704947592296,,,,208.0,36.0,-0.09727127458170304
Avdeeva J.,1498.0465961163789,1493.5293014531544,1498.0465961163789,1496.0931922327577,,,,208.0,825.0,
Azarenka V.,1666.0004304883917,1607.7818189926402,1582.3607372283302,1649.553562654158,,,,132.0,366.0,-0.07946500085677966
Babos T.,1456.6182249997778,1444.8438888457467,1467.4184755150222,1434.8369510300445,,,,259.0,775.0,-0.17870116399044964
Back D.,1463.394503503726,1482.3261346370073,1482.3261346370073,1464.6522692740145,,,,306.0,347.0,
Badosa P.,1680.1751385407474,1649.8375421196401,1617.9118248846942,1668.5432747169705,,,,93.0,37.0,0.09234066998064161
Bai Z.,1450.4173286064547,1442.9735477888817,1453.5629649310104,1429.7215822887608,,,,702.0,221.0,-0.1298279636193127
Baindl K.,1411.6032718130004,1464.9249516563002,1422.8020801076595,1406.5894858686452,,,,329.0,733.0,-0.29789382263608855
Bandecchi S.,1491.9506292138492,1488.1810240957775,1483.9506292138492,1483.9012584276984,,,,215.0,94.0,
Baptiste H.,1671.3555733207113,1666.2820716317797,1617.495596576414,1721.1192557280194,,,,26.0,98.0,0.21678280989409981
Bara I.,1434.154475588253,1449.2122162855826,1463.7783557704659,1428.2283725700095,,,,242.0,516.0,-0.07430218027412744
Barros V.L.,1481.8736257526934,1491.0278676856547,1491.0278676856547,1482.0557353713093,,,,566.0,356.0,
Barry M.,1470.0891459252107,1486.1100052799088,1486.1100052799088,1472.2200105598179,,,,726.0,236.0,
Barthel M.,1448.3417564254082,1445.569567370164,1465.19794394579,1430.3958878915803,,,,223.0,40.0,-0.23783936398467734
