tour,round,date,bet_on,opponent,model_prob,market_prob,ev_per_unit,edge_pp,decimal_odds,real_decimal_odds,won,player_hard_matches,opponent_hard_matches,min_hard_matches,event,filtered
ATP,1st Round,2026-08-30,Shimabukuro S.,Rinderknech A.,0.32600554031071793,0.24901185770750986,0.30919685235891503,7.699368260320807,4.015873015873016,4.0,False,18,120,18,US Open,False
ATP,1st Round,2026-08-30,Kopriva V.,Etcheverry T.,0.41138912286484863,0.38,0.08260295490749647,3.138912286484863,2.6315789473684212,2.54,False,19,88,19,US Open,False
ATP,1st Round,2026-08-30,Shapovalov D.,Kecmanovic M.,0.6442415599193704,0.556135770234987,0.15842496454985366,8.810578968438342,1.7981220657276995,1.73,True,148,158,148,US Open,False
ATP,1st Round,2026-08-30,Faria J.,Brooksby J.,0.500729601010482,0.47493403693931396,0.05431399323873731,2.5795564071168062,2.1055555555555556,2.03,True,10,87,10,US Open,False
ATP,1st Round,2026-08-30,Medvedev D.,Gaston H.,0.9197632684229646,0.8472032742155525,0.08564649879876507,7.25599942074121,1.180354267310789,1.13,True,233,49,49,US Open,False
ATP,1st Round,2026-08-30,Norrie C.,Van Assche L.,0.7292200135074185,0.6635071090047394,0.09903873464332347,6.571290450267908,1.507142857142857,1.45,False,165,31,31,US Open,False
ATP,1st Round,2026-08-30,Wong C.,Paul T.,0.26264826081531556,0.17884914463452564,0.4685463626456341,8.379911618078992,5.591304347826088,5.5,False,27,189,27,US Open,False
ATP,1st Round,2026-08-30,Machac T.,Samuel T.,0.723606992080856,0.39999999999999997,0.8090174802021401,32.360699208085606,2.5,2.75,False,86,0,0,US Open,False
ATP,1st Round,2026-08-30,Kennedy J.,Harris L.,0.5965277916191604,0.17325227963525833,2.443116551626382,42.3275511983902,5.771929824561404,5.75,False,0,39,0,US Open,False
ATP,1st Round,2026-08-30,Shevchenko A.,Prizmic D.,0.49072985114206347,0.2986725663716814,0.6430362423423164,19.205728477038207,3.3481481481481485,3.3,False,73,10,10,US Open,False
ATP,1st Round,2026-08-30,Carreno Busta P.,Lehecka J.,0.26801443249932944,0.21352313167259787,0.25520092553852614,5.449130082673157,4.683333333333334,4.5,False,77,136,77,US Open,False
ATP,1st Round,2026-08-30,Fucsovics M.,Merida Aguilar D.,0.3580811294010471,0.21645796064400716,0.6542756308693001,14.162316875703992,4.619834710743802,4.5,False,95,9,9,US Open,False
ATP,1st Round,2026-08-30,Wu Y.,Walton A.,0.6371029698646282,0.4528795811518324,0.40678228027912144,18.42233887127958,2.208092485549133,2.11,True,38,53,38,US Open,True
ATP,1st Round,2026-08-30,Majchrzak K.,Medjedovic H.,0.5723334339687731,0.5459317585301837,0.048360761260108465,2.64016754385894,1.8317307692307692,1.75,True,50,38,38,US Open,False
ATP,1st Round,2026-08-30,Munar J.,Atmane T.,0.4868088758847387,0.3790523690773067,0.28427867914329097,10.775650680743198,2.638157894736842,2.6,True,88,41,41,US Open,True
ATP,1st Round,2026-08-31,Vukic A.,Sakamoto R.,0.5382496319794071,0.41645244215938304,0.2924636224690702,12.179718982002408,2.4012345679012346,2.38,False,99,6,6,US Open,False
ATP,1st Round,2026-08-31,Baez S.,Nakashima B.,0.22438351807429424,0.16119828815977175,0.3919720900007104,6.31852299145225,6.20353982300885,6.0,False,80,166,80,US Open,False
ATP,1st Round,2026-08-31,Wawrinka S.,Berrettini M.,0.32091087458158185,0.2335216572504708,0.37422318066790305,8.738921733111106,4.282258064516129,4.33,False,66,88,66,US Open,False
ATP,1st Round,2026-08-31,Hanfmann Y.,Tabilo A.,0.4771963438762479,0.450261780104712,0.059819786980969125,2.693456377153586,2.2209302325581395,2.2,False,49,73,49,US Open,False
ATP,1st Round,2026-08-31,Diaz Acosta F.,Halys Q.,0.30616708653296953,0.2799145299145299,0.0937877595223644,2.6252556618439615,3.5725190839694654,3.5,False,15,83,15,US Open,False
ATP,1st Round,2026-08-31,Trungelliti M.,Shang J.,0.4287378214164944,0.3502415458937198,0.22412040045812898,7.849627552277461,2.8551724137931034,2.75,True,7,69,7,US Open,False
ATP,1st Round,2026-08-31,Burruchaga R.,Khachanov K.,0.44630512382680565,0.2399232245681382,0.860199756110126,20.638189925866747,4.168,4.33,False,2,175,2,US Open,False
