match_key,source,tour,tournament,year,round_label,round_num,date,player_a,player_b,favorite,favorite_prob,winner,favorite_won,logged_at,market_prob_a,status_detail,ended_by_retirement
ATP|Cincinnati Open|2026|R1|Andaluce M.::Draper J.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 15:10:00+00:00,Andaluce M.,Draper J.,Draper J.,0.8349,Andaluce M.,False,2026-08-20 17:59:11.238222+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Baez S.::Dimitrov G.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:35:00+00:00,Baez S.,Dimitrov G.,Dimitrov G.,0.7279,Baez S.,False,2026-08-19 17:00:40.585296+00:00,,,
ATP|Cincinnati Open|2026|R1|Borges N.::Kokkinakis T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 19:05:00+00:00,Borges N.,Kokkinakis T.,Kokkinakis T.,0.5666,Borges N.,False,2026-08-19 17:00:40.593296+00:00,,,
ATP|Cincinnati Open|2026|R1|Burruchaga R.::Struff J.L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 19:30:00+00:00,Burruchaga R.,Struff J.L.,Burruchaga R.,0.5946,Struff J.L.,False,2026-08-19 17:00:40.574296+00:00,,,
ATP|Cincinnati Open|2026|R1|Berrettini M.::Droguet T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:45:00+00:00,Droguet T.,Berrettini M.,Berrettini M.,0.6091,Berrettini M.,True,2026-08-19 17:00:40.587295+00:00,,,
ATP|Cincinnati Open|2026|R1|Brooksby J.::Faria J.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 23:15:00+00:00,Faria J.,Brooksby J.,Brooksby J.,0.567,Faria J.,False,2026-08-19 17:00:40.599295+00:00,,,
ATP|Cincinnati Open|2026|R1|Atmane T.::Fucsovics M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 22:55:00+00:00,Fucsovics M.,Atmane T.,Atmane T.,0.5547,Atmane T.,True,2026-08-19 17:00:40.579295+00:00,,,
ATP|Cincinnati Open|2026|R1|Hanfmann Y.::Van Assche L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:40:00+00:00,Hanfmann Y.,Van Assche L.,Hanfmann Y.,0.6202,Hanfmann Y.,True,2026-08-19 17:00:40.586296+00:00,,,
ATP|Cincinnati Open|2026|R1|Hanfmann Y.::Vanassche L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 16:40:00+00:00,Hanfmann Y.,Vanassche L.,Hanfmann Y.,0.6076,Hanfmann Y.,True,2026-08-20 17:59:11.245221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Hijikata R.::Monfils G.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 23:10:00+00:00,Hijikata R.,Monfils G.,Monfils G.,0.6173,Hijikata R.,False,2026-08-19 17:00:40.579295+00:00,,,
ATP|Cincinnati Open|2026|R1|Jacquet K.::Vallejo D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:05:00+00:00,Jacquet K.,Vallejo D.,Vallejo D.,0.5878,Vallejo D.,True,2026-08-19 17:00:40.581295+00:00,,,
ATP|Cincinnati Open|2026|R1|Halys Q.::Kopriva V.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:15:00+00:00,Kopriva V.,Halys Q.,Halys Q.,0.5228,Halys Q.,True,2026-08-19 17:00:40.585296+00:00,,,
ATP|Cincinnati Open|2026|R1|Khachanov K.::Kovacevic A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-15 01:20:00+00:00,Kovacevic A.,Khachanov K.,Khachanov K.,0.6476,Kovacevic A.,False,2026-08-19 17:00:40.600295+00:00,,,
ATP|Cincinnati Open|2026|R1|Cerundolo J.M.::Lajal M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:45:00+00:00,Lajal M.,Cerundolo J.M.,Cerundolo J.M.,0.6637,Cerundolo J.M.,True,2026-08-19 17:00:40.592295+00:00,,,
ATP|Cincinnati Open|2026|R1|Draper J.::Landaluce M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 15:10:00+00:00,Landaluce M.,Draper J.,Draper J.,0.8079,Landaluce M.,False,2026-08-19 17:00:40.572295+00:00,,,
ATP|Cincinnati Open|2026|R1|Carreno Busta P.::Machac T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 17:20:00+00:00,Machac T.,Carreno Busta P.,Machac T.,0.6942,Carreno Busta P.,False,2026-08-19 17:00:40.588296+00:00,,,
ATP|Cincinnati Open|2026|R1|Carrenobusta P.::Machac T.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 17:20:00+00:00,Machac T.,Carrenobusta P.,Machac T.,0.7423,Carrenobusta P.,False,2026-08-20 17:59:11.246222+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Marozsan F.::Zheng M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:50:00+00:00,Marozsan F.,Zheng M.,Marozsan F.,0.5659,Zheng M.,False,2026-08-19 17:00:40.597296+00:00,,,
ATP|Cincinnati Open|2026|R1|Medjedovic H.::Trungelliti M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:50:00+00:00,Medjedovic H.,Trungelliti M.,Medjedovic H.,0.5537,Trungelliti M.,False,2026-08-19 17:00:40.596295+00:00,,,
ATP|Cincinnati Open|2026|R1|Cilic M.::Merida Aguilar D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 22:20:00+00:00,Merida Aguilar D.,Cilic M.,Cilic M.,0.5052,Merida Aguilar D.,False,2026-08-19 17:00:40.598295+00:00,,,
ATP|Cincinnati Open|2026|R1|De Jong J.::Michelsen A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:40:00+00:00,Michelsen A.,De Jong J.,Michelsen A.,0.7235,Michelsen A.,True,2026-08-19 17:00:40.591295+00:00,,,
ATP|Cincinnati Open|2026|R1|Collignon R.::Navone M.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:55:00+00:00,Navone M.,Collignon R.,Collignon R.,0.7062,Navone M.,False,2026-08-19 17:00:40.578296+00:00,,,
ATP|Cincinnati Open|2026|R1|Norrie C.::Prizmic D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 17:40:00+00:00,Norrie C.,Prizmic D.,Norrie C.,0.6551,Norrie C.,True,2026-08-19 17:00:40.573295+00:00,,,
ATP|Cincinnati Open|2026|R1|Majchrzak K.::O Connell C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:35:00+00:00,O Connell C.,Majchrzak K.,Majchrzak K.,0.6837,O Connell C.,False,2026-08-19 17:00:40.589295+00:00,,,
ATP|Cincinnati Open|2026|R1|Royer V.::Tsitsipas S.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:15:00+00:00,Royer V.,Tsitsipas S.,Tsitsipas S.,0.7279,Tsitsipas S.,True,2026-08-19 17:00:40.583296+00:00,,,
ATP|Cincinnati Open|2026|R1|Shang J.::Sonego L.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:30:00+00:00,Shang J.,Sonego L.,Sonego L.,0.6337,Sonego L.,True,2026-08-19 17:00:40.596295+00:00,,,
ATP|Cincinnati Open|2026|R1|Mannarino A.::Shapovalov D.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:00:00+00:00,Shapovalov D.,Mannarino A.,Shapovalov D.,0.6795,Shapovalov D.,True,2026-08-19 17:00:40.576295+00:00,,,
ATP|Cincinnati Open|2026|R1|Hurkacz H.::Shimabukuro S.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:15:00+00:00,Shimabukuro S.,Hurkacz H.,Hurkacz H.,0.6384,Hurkacz H.,True,2026-08-19 17:00:40.584295+00:00,,,
ATP|Cincinnati Open|2026|R1|Bellucci M.::Svajda Z.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 02:40:00+00:00,Svajda Z.,Bellucci M.,Bellucci M.,0.5121,Bellucci M.,True,2026-08-19 17:00:40.580295+00:00,,,
ATP|Cincinnati Open|2026|R1|Choinski J.::Tirante T.A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 19:35:00+00:00,Tirante T.A.,Choinski J.,Tirante T.A.,0.6363,Tirante T.A.,True,2026-08-19 17:00:40.575295+00:00,,,
ATP|Cincinnati Open|2026|R1|Kecmanovic M.::Ugo Carabelli C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:25:00+00:00,Ugo Carabelli C.,Kecmanovic M.,Kecmanovic M.,0.5618,Kecmanovic M.,True,2026-08-19 17:00:40.577295+00:00,,,
ATP|Cincinnati Open|2026|R1|Kecmanovic M.::Ugocarabelli C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-13 20:25:00+00:00,Ugocarabelli C.,Kecmanovic M.,Kecmanovic M.,0.5331,Kecmanovic M.,True,2026-08-20 17:59:11.241221+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Shevchenko A.::Van De Zandschulp B.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:40:00+00:00,Van De Zandschulp B.,Shevchenko A.,Van De Zandschulp B.,0.5389,Van De Zandschulp B.,True,2026-08-19 17:00:40.590295+00:00,,,
ATP|Cincinnati Open|2026|R1|Shevchenko A.::Vandezandschulp B.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:40:00+00:00,Vandezandschulp B.,Shevchenko A.,Shevchenko A.,0.5422,Vandezandschulp B.,False,2026-08-20 17:59:11.248220+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R1|Mejia N.::Walton A.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 20:30:00+00:00,Walton A.,Mejia N.,Walton A.,0.5778,Walton A.,True,2026-08-19 17:00:40.594295+00:00,,,
ATP|Cincinnati Open|2026|R1|Duckworth J.::Wolf J.J.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 18:20:00+00:00,Wolf J.J.,Duckworth J.,Duckworth J.,0.5888,Duckworth J.,True,2026-08-19 17:00:40.589295+00:00,,,
ATP|Cincinnati Open|2026|R1|Altmaier D.::Wong C.,live_espn,ATP,Cincinnati Open,2026,Round 1,1,2026-08-14 15:05:00+00:00,Wong C.,Altmaier D.,Wong C.,0.5972,Altmaier D.,False,2026-08-19 17:00:40.582296+00:00,,,
ATP|Cincinnati Open|2026|R2|Altmaier D.::Musetti L.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 17:35:00+00:00,Altmaier D.,Musetti L.,Musetti L.,0.7726,Musetti L.,True,2026-08-19 17:00:40.620141+00:00,,,
ATP|Cincinnati Open|2026|R2|Andaluce M.::Arnaldi M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 15:05:00+00:00,Andaluce M.,Arnaldi M.,Arnaldi M.,0.5095,Andaluce M.,False,2026-08-20 17:59:11.252220+00:00,,STATUS_FINAL,False
ATP|Cincinnati Open|2026|R2|Atmane T.::Etcheverry T.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 21:00:00+00:00,Atmane T.,Etcheverry T.,Etcheverry T.,0.5458,Atmane T.,False,2026-08-19 17:00:40.608295+00:00,,,
ATP|Cincinnati Open|2026|R2|Bellucci M.::Mensik J.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 18:20:00+00:00,Bellucci M.,Mensik J.,Mensik J.,0.82,Mensik J.,True,2026-08-19 17:00:40.605295+00:00,,,
ATP|Cincinnati Open|2026|R2|Blockx A.::Navone M.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-15 15:10:00+00:00,Blockx A.,Navone M.,Blockx A.,0.6327,Blockx A.,True,2026-08-19 17:00:40.602295+00:00,,,
ATP|Cincinnati Open|2026|R2|Borges N.::Cerundolo F.,live_espn,ATP,Cincinnati Open,2026,Round 2,2,2026-08-16 19:15:00+00:00,Borges N.,Cerundolo F.,Cerundolo F.,0.6528,Borges N.,False,2026-08-19 17:00:40.623140+00:00,,,
