tour,round,date,bet_on,opponent,model_prob,market_prob,edge_pp,real_decimal_odds,won,stake_flat,pnl_flat,stake_kelly_0.25,pnl_kelly_0.25
WTA,3rd Round,2026-08-07,Rybakina E.,Li A.,0.9369982135145645,0.8272727272727273,10.97254862418372,1.15,True,1.0,0.1499999999999999,15.881320377108016,2.382198056566201
WTA,4th Round,2026-08-09,Rybakina E.,Samsonova L.,0.8933081963176799,0.7195652173913043,17.374297892637557,1.33,True,1.0,0.33000000000000007,15.488715175607123,5.111276007950352
WTA,4th Round,2026-08-09,Sabalenka A.,Alexandrova E.,0.9300447298085569,0.8217054263565892,10.833930345196773,1.17,False,1.0,-1.0,15.191054505765042,-15.191054505765042
ATP,2nd Round,05/08/2026,Fils A.,Svajda Z.,0.8647219239175873,0.7230443974630022,14.16775264545851,1.33,True,1.0,0.33000000000000007,12.788830155156253,4.220313951201565
WTA,Quarterfinals,2026-08-12,Rybakina E.,Osaka N.,0.7057063489075502,0.49336870026525204,21.23376486422982,2.25,True,1.0,1.25,10.477918002375187,13.097397502968985
WTA,1st Round,2026-08-02,Bucsa C.,Uchijima M.,0.7427175603933286,0.5575916230366492,18.512593735667938,1.8,False,1.0,-1.0,10.461258590273893,-10.461258590273893
ATP,1st Round,04/08/2026,Shapovalov D.,Svajda Z.,0.747151390223789,0.5792207792207792,16.793061100300978,1.67,False,1.0,-1.0,9.97735883274055,-9.97735883274055
WTA,The Final,2026-08-13,Rybakina E.,Swiatek I.,0.6677685232406279,0.45669291338582685,21.1075609854801,2.15,False,1.0,-1.0,9.712537120130339,-9.712537120130339
ATP,1st Round,04/08/2026,Draper J.,Atmane T.,0.7830919149431499,0.65625,12.68419149431499,1.5,False,1.0,-1.0,9.224866541319992,-9.224866541319992
WTA,Semifinals,2026-08-13,Rybakina E.,Gauff C.,0.6336238759864495,0.43556701030927836,19.805686567717117,2.25,True,1.0,1.25,8.772381721774249,10.965477152217812
WTA,4th Round,2026-08-08,Pegula J.,Shnaider D.,0.8104650975839834,0.7096069868995633,10.08581106844202,1.38,False,1.0,-1.0,8.68289749877151,-8.68289749877151
WTA,2nd Round,2026-08-05,Krejcikova B.,Samsonova L.,0.7321650414708779,0.5902061855670103,14.195885590386759,1.62,False,1.0,-1.0,8.66038303312903,-8.66038303312903
ATP,1st Round,04/08/2026,Brooksby J.,Walton A.,0.6791897679623546,0.537037037037037,14.215273092531767,1.83,True,1.0,0.8300000000000001,7.676247469967152,6.371285400072737
WTA,2nd Round,2026-08-04,Potapova A.,Ruse E.G.,0.6611850416414407,0.5132978723404255,14.78871693010152,1.91,True,1.0,0.9099999999999999,7.5963901171013255,6.912715006562205
WTA,1st Round,2026-08-03,Joint M.,Starodubtseva Y.,0.5891065821909487,0.43229166666666663,15.681491552428206,2.21,True,1.0,1.21,6.905610958867467,8.355789260229635
ATP,1st Round,04/08/2026,Monfils G.,Majchrzak K.,0.45334994170817666,0.26819126819126826,18.51586735169084,3.6,True,1.0,2.6,6.325377980229613,16.445982748596993
ATP,1st Round,04/08/2026,Altmaier D.,Vukic A.,0.5388221184501847,0.4030612244897959,13.576089396038876,2.63,True,1.0,1.63,5.685712653041923,9.267711624458334
WTA,3rd Round,2026-08-06,Kalinskaya A.,Shnaider D.,0.5688048147393878,0.4485488126649077,12.025600207448012,2.2,False,1.0,-1.0,5.451797223233011,-5.451797223233011
WTA,1st Round,2026-08-03,Bondar A.,Kalinina A.,0.5124826807073407,0.37749999999999995,13.498268070734076,2.63,True,1.0,1.63,5.420991193065894,8.836215644697406
ATP,2nd Round,05/08/2026,Etcheverry T.,Borges N.,0.5157821785395553,0.3844221105527638,13.136006798679151,2.55,False,1.0,-1.0,5.334827250892146,-5.334827250892146
WTA,1st Round,2026-08-03,Korpatsch T.,Zarazua R.,0.5270533601692753,0.4066496163682865,12.040374380098879,2.5,False,1.0,-1.0,5.073045670925282,-5.073045670925282
WTA,1st Round,2026-08-03,Zhang S.,Putintseva Y.,0.478148854715662,0.3502415458937198,12.790730882194218,2.8,True,1.0,1.7999999999999998,4.921340692591455,8.858413246664618
ATP,2nd Round,05/08/2026,Darderi L.,Diallo G.,0.532522956818882,0.4196891191709845,11.283383764789745,2.3,True,1.0,1.2999999999999998,4.860922023670582,6.319198630771756
ATP,2nd Round,05/08/2026,Tabilo A.,Hurkacz H.,0.5358885990454447,0.4248704663212435,11.101813272420124,2.25,False,1.0,-1.0,4.825788201750189,-4.825788201750189
WTA,4th Round,2026-08-09,Anisimova A.,Svitolina E.,0.5285751971836354,0.423076923076923,10.549827410671242,2.3,False,1.0,-1.0,4.5715918779575375,-4.5715918779575375
ATP,4th Round,08/08/2026,Darderi L.,Borges N.,0.4976433671650356,0.38539042821158687,11.225293895344873,2.5,True,1.0,1.5,4.566026307840076,6.849039461760114
WTA,3rd Round,2026-08-07,Joint M.,Samsonova L.,0.42149835562614957,0.2977777777777778,12.372057784837176,3.3,False,1.0,-1.0,4.404609179728426,-4.404609179728426
ATP,3rd Round,06/08/2026,Hanfmann Y.,Borges N.,0.5060938743595709,0.4025641025641025,10.352977179546835,2.38,False,1.0,-1.0,4.332254399166594,-4.332254399166594
WTA,Semifinals,2026-08-13,Svitolina E.,Swiatek I.,0.4472968554027139,0.3463414634146341,10.095539198807979,2.9,False,1.0,-1.0,3.8611670443202155,-3.8611670443202155
ATP,2nd Round,04/08/2026,Shang J.,Rublev A.,0.36050358144364164,0.250996015936255,10.950756550738665,4.0,True,1.0,3.0,3.6551062423343152,10.965318727002945
