player,win_count,tournament_win_probability
Djokovic N.,396,0.198
Zverev A.,198,0.099
Shelton B.,153,0.0765
Medvedev D.,144,0.072
Auger-Aliassime F.,99,0.0495
Norrie C.,81,0.0405
Michelsen A.,67,0.0335
Shapovalov D.,60,0.03
Fritz T.,59,0.0295
De Minaur A.,57,0.0285
Tien L.,53,0.0265
Paul T.,39,0.0195
Mensik J.,38,0.019
Berrettini M.,36,0.018
Lehecka J.,34,0.017
Nakashima B.,31,0.0155
Fils A.,31,0.0155
Van De Zandschulp B.,27,0.0135
Tsitsipas S.,26,0.013
Tirante T.A.,25,0.0125
Jodar R.,25,0.0125
Borges N.,22,0.011
Atmane T.,21,0.0105
Hurkacz H.,20,0.01
Merida Aguilar D.,20,0.01
Tiafoe F.,19,0.0095
Sonego L.,19,0.0095
Hanfmann Y.,19,0.0095
Musetti L.,16,0.008
Vacherot V.,13,0.0065
Cobolli F.,12,0.006
Cerundolo F.,11,0.0055
Ruud C.,11,0.0055
Cerundolo J.M.,10,0.005
Fonseca J.,9,0.0045
Vallejo D.,9,0.0045
Etcheverry T.,8,0.004
Carreno Busta P.,8,0.004
Humbert U.,6,0.003
Zheng M.,6,0.003
Halys Q.,6,0.003
Tabilo A.,5,0.0025
Rublev A.,5,0.0025
Rinderknech A.,4,0.002
Struff J.L.,4,0.002
Faria J.,3,0.0015
Blockx A.,3,0.0015
O Connell C.,3,0.0015
Baez S.,3,0.0015
Hijikata R.,3,0.0015
Altmaier D.,3,0.0015
Kecmanovic M.,3,0.0015
Darderi L.,2,0.001
Landaluce M.,2,0.001
Bellucci M.,2,0.001
Trungelliti M.,2,0.001
Duckworth J.,2,0.001
Fery A.,2,0.001
Navone M.,1,0.0005
Walton A.,1,0.0005
Buse I.,1,0.0005
Arnaldi M.,1,0.0005
Bergs Z.,1,0.0005
Fucsovics M.,0,0.0
Dimitrov G.,0,0.0
Kopriva V.,0,0.0
Royer V.,0,0.0
Shimabukuro S.,0,0.0
Svajda Z.,0,0.0
Monfils G.,0,0.0
Jacquet K.,0,0.0
Wong C.,0,0.0
Choinski J.,0,0.0
Burruchaga R.,0,0.0
Draper J.,0,0.0
Prizmic D.,0,0.0
Ugo Carabelli C.,0,0.0
Mannarino A.,0,0.0
Collignon R.,0,0.0
Khachanov K.,0,0.0
Wolf J.J.,0,0.0
Kovacevic A.,0,0.0
Brooksby J.,0,0.0
Cilic M.,0,0.0
Marozsan F.,0,0.0
Kokkinakis T.,0,0.0
Shang J.,0,0.0
Medjedovic H.,0,0.0
Mejia N.,0,0.0
Machac T.,0,0.0
Van Assche L.,0,0.0
Droguet T.,0,0.0
Shevchenko A.,0,0.0
Majchrzak K.,0,0.0
De Jong J.,0,0.0
Lajal M.,0,0.0
