player,win_count,tournament_win_probability
Zverev A.,1836,0.1836
Auger-Aliassime F.,1811,0.1811
Fils A.,1124,0.1124
Fritz T.,976,0.0976
De Minaur A.,763,0.0763
Nakashima B.,653,0.0653
Jodar R.,584,0.0584
Mensik J.,525,0.0525
Musetti L.,452,0.0452
Paul T.,431,0.0431
Tiafoe F.,390,0.039
Cobolli F.,154,0.0154
Tirante T.A.,139,0.0139
Borges N.,97,0.0097
Faria J.,37,0.0037
O Connell C.,28,0.0028
Hijikata R.,0,0.0
Landaluce M.,0,0.0
Norrie C.,0,0.0
Draper J.,0,0.0
Prizmic D.,0,0.0
Burruchaga R.,0,0.0
Struff J.L.,0,0.0
Choinski J.,0,0.0
Shapovalov D.,0,0.0
Mannarino A.,0,0.0
Ugo Carabelli C.,0,0.0
Kecmanovic M.,0,0.0
Navone M.,0,0.0
Collignon R.,0,0.0
Fucsovics M.,0,0.0
Atmane T.,0,0.0
Dimitrov G.,0,0.0
Baez S.,0,0.0
Halys Q.,0,0.0
Kopriva V.,0,0.0
Hurkacz H.,0,0.0
Shimabukuro S.,0,0.0
Tsitsipas S.,0,0.0
Royer V.,0,0.0
Altmaier D.,0,0.0
Wong C.,0,0.0
Vallejo D.,0,0.0
Jacquet K.,0,0.0
Bellucci M.,0,0.0
Svajda Z.,0,0.0
Monfils G.,0,0.0
Hanfmann Y.,0,0.0
Cerundolo J.M.,0,0.0
Lajal M.,0,0.0
Walton A.,0,0.0
Kokkinakis T.,0,0.0
Machac T.,0,0.0
Carreno Busta P.,0,0.0
Droguet T.,0,0.0
Van Assche L.,0,0.0
Duckworth J.,0,0.0
Majchrzak K.,0,0.0
Van De Zandschulp B.,0,0.0
Shevchenko A.,0,0.0
Michelsen A.,0,0.0
De Jong J.,0,0.0
Wolf J.J.,0,0.0
Berrettini M.,0,0.0
Khachanov K.,0,0.0
Kovacevic A.,0,0.0
Brooksby J.,0,0.0
Cilic M.,0,0.0
Zheng M.,0,0.0
Merida Aguilar D.,0,0.0
Marozsan F.,0,0.0
Trungelliti M.,0,0.0
Mejia N.,0,0.0
Medjedovic H.,0,0.0
Sonego L.,0,0.0
Shang J.,0,0.0
Tabilo A.,0,0.0
Djokovic N.,0,0.0
Blockx A.,0,0.0
Arnaldi M.,0,0.0
Lehecka J.,0,0.0
Darderi L.,0,0.0
Etcheverry T.,0,0.0
Fery A.,0,0.0
Vacherot V.,0,0.0
Medvedev D.,0,0.0
Rinderknech A.,0,0.0
Humbert U.,0,0.0
Fonseca J.,0,0.0
Ruud C.,0,0.0
Rublev A.,0,0.0
Cerundolo F.,0,0.0
Tien L.,0,0.0
Bergs Z.,0,0.0
Buse I.,0,0.0
Shelton B.,0,0.0
