player,win_count,tournament_win_probability
Djokovic N.,400,0.2
Zverev A.,251,0.1255
Auger-Aliassime F.,115,0.0575
Shelton B.,106,0.053
Fritz T.,105,0.0525
Medvedev D.,100,0.05
Dimitrov G.,83,0.0415
Machac T.,77,0.0385
Mensik J.,71,0.0355
De Minaur A.,58,0.029
Fils A.,46,0.023
Michelsen A.,41,0.0205
Shapovalov D.,40,0.02
Tien L.,37,0.0185
Paul T.,32,0.016
Berrettini M.,31,0.0155
Tiafoe F.,27,0.0135
Norrie C.,26,0.013
Lehecka J.,23,0.0115
Monfils G.,20,0.01
Ruud C.,17,0.0085
Kokkinakis T.,17,0.0085
Jodar R.,17,0.0085
Marozsan F.,16,0.008
Cilic M.,14,0.007
Hurkacz H.,14,0.007
Tsitsipas S.,13,0.0065
Musetti L.,13,0.0065
Vacherot V.,12,0.006
Majchrzak K.,11,0.0055
Sonego L.,11,0.0055
Khachanov K.,10,0.005
Humbert U.,10,0.005
Tirante T.A.,10,0.005
Hanfmann Y.,9,0.0045
Griekspoor T.,8,0.004
Fonseca J.,8,0.004
Collignon R.,7,0.0035
Fucsovics M.,6,0.003
Rublev A.,6,0.003
Brooksby J.,6,0.003
Tabilo A.,6,0.003
Nakashima B.,5,0.0025
Cobolli F.,5,0.0025
Mannarino A.,5,0.0025
Landaluce M.,5,0.0025
Merida Aguilar D.,4,0.002
TBD (Qualifier 3),4,0.002
Cerundolo F.,3,0.0015
Buse I.,3,0.0015
Medjedovic H.,3,0.0015
TBD (Qualifier 5),3,0.0015
Fery A.,3,0.0015
Kecmanovic M.,2,0.001
Burruchaga R.,2,0.001
Shang J.,2,0.001
Vallejo D.,2,0.001
TBD (Qualifier 6),2,0.001
Rinderknech A.,2,0.001
TBD (Qualifier 1),2,0.001
Van De Zandschulp B.,2,0.001
Carreno Busta P.,1,0.0005
Bellucci M.,1,0.0005
Ugo Carabelli C.,1,0.0005
Blockx A.,1,0.0005
Atmane T.,1,0.0005
Prizmic D.,1,0.0005
Cerundolo J.M.,1,0.0005
TBD (Qualifier 12),1,0.0005
TBD (Qualifier 8),1,0.0005
Borges N.,1,0.0005
Kopriva V.,1,0.0005
Struff J.L.,0,0.0
Kovacevic A.,0,0.0
TBD (Qualifier 2),0,0.0
Hijikata R.,0,0.0
Svajda Z.,0,0.0
Draper J.,0,0.0
Choinski J.,0,0.0
Navone M.,0,0.0
Walton A.,0,0.0
TBD (Qualifier 13),0,0.0
De Jong J.,0,0.0
Duckworth J.,0,0.0
Altmaier D.,0,0.0
TBD (Qualifier 11),0,0.0
TBD (Qualifier 10),0,0.0
TBD (Qualifier 9),0,0.0
Royer V.,0,0.0
TBD (Qualifier 4),0,0.0
TBD (Qualifier 7),0,0.0
Baez S.,0,0.0
Darderi L.,0,0.0
Arnaldi M.,0,0.0
Etcheverry T.,0,0.0
Bergs Z.,0,0.0
