tour,round,date,bet_on,opponent,model_prob,market_prob,edge_pp,real_decimal_odds,won,stake_flat,pnl_flat,stake_kelly_0.25,pnl_kelly_0.25,event
WTA,3rd Round,18/08/2026,Svitolina E.,Wang Xiy.,0.8880779156188087,0.7333333333333333,15.474458228547538,1.3,False,1.0,-1.0,14.507304589263315,-14.507304589263315,Cincinnati
WTA,2nd Round,16/08/2026,Rybakina E.,Townsend T.,0.8835780053299056,0.7360824742268042,14.749553110310142,1.29,True,1.0,0.29000000000000004,13.971744645508636,4.051805947197505,Cincinnati
WTA,4th Round,19/08/2026,Rybakina E.,Shnaider D.,0.8491004425952717,0.6909090909090908,15.819135168618093,1.4,True,1.0,0.3999999999999999,12.794888739323454,5.1179554957293805,Cincinnati
WTA,2nd Round,16/08/2026,Potapova A.,Stephens S.,0.8133692572671367,0.6521739130434782,16.119534422365856,1.45,False,1.0,-1.0,11.585915366075456,-11.585915366075456,Cincinnati
WTA,Quarterfinals,21/08/2026,Rybakina E.,Swiatek I.,0.6671785781208848,0.4160206718346253,25.115790628625945,2.31,False,1.0,-1.0,10.752003289024602,-10.752003289024602,Cincinnati
WTA,1st Round,14/08/2026,Boulter K.,Volynets K.,0.6611807331046136,0.4656084656084655,19.557226749614802,2.1,True,1.0,1.1,9.149296672468312,10.064226339715145,Cincinnati
ATP,2nd Round,16/08/2026,Auger-Aliassime F.,Tsitsipas S.,0.7141010454513158,0.5616797900262467,15.242125542506912,1.72,True,1.0,0.72,8.693487771998702,6.259311195839065,Cincinnati
WTA,2nd Round,16/08/2026,Siniakova K.,Bouzas Maneiro J.,0.6445345809821286,0.49468085106382986,14.98537299182987,2.0,True,1.0,1.0,7.413816111747411,7.413816111747411,Cincinnati
ATP,1st Round,14/08/2026,Dimitrov G.,Baez S.,0.701511061016067,0.5818181818181818,11.969287919788519,1.64,False,1.0,-1.0,7.155552560743135,-7.155552560743135,Cincinnati
ATP,1st Round,14/08/2026,Kokkinakis T.,Borges N.,0.5176478768410493,0.3255269320843091,19.212094475674018,3.0,False,1.0,-1.0,7.12114960166042,-7.12114960166042,Cincinnati
ATP,1st Round,14/08/2026,Duckworth J.,Wolf J.J.,0.5738142025222759,0.40826873385012924,16.554546867214665,2.38,True,1.0,1.38,6.994115324904011,9.651879148367534,Cincinnati
WTA,2nd Round,15/08/2026,Sakkari M.,Rakhimova K.,0.7278803092336178,0.6225,10.538030923361774,1.53,True,1.0,0.53,6.978828426067402,3.698779065815723,Cincinnati
WTA,Semifinals,22/08/2026,Pegula J.,Swiatek I.,0.500153450538725,0.31870669745958424,18.14467530791407,3.2,True,1.0,2.2,6.6581732273955865,14.647981100270291,Cincinnati
ATP,2nd Round,15/08/2026,Cobolli F.,Kecmanovic M.,0.6587743968934824,0.5423280423280423,11.644635456544005,1.8,True,1.0,0.8,6.360797980597738,5.088638384478191,Cincinnati
WTA,2nd Round,16/08/2026,Zhang S.,Li A.,0.5607002286142855,0.41085271317829464,14.984751543599085,2.5,False,1.0,-1.0,6.358661016856192,-6.358661016856192,Cincinnati
WTA,1st Round,15/08/2026,Lys E.,Kenin S.,0.6718254341213555,0.5613577023498694,11.046773177148616,1.7,False,1.0,-1.0,6.296003164952261,-6.296003164952261,Cincinnati
WTA,1st Round,13/08/2026,Yastremska D.,Maria T.,0.5886290935989291,0.4564643799472295,13.216471365169962,2.1,False,1.0,-1.0,6.078935251698319,-6.078935251698319,Cincinnati
ATP,1st Round,13/08/2026,Shapovalov D.,Mannarino A.,0.6510935040957746,0.5423280423280423,10.876546176773228,1.75,True,1.0,0.75,5.941234761300983,4.455926070975737,Cincinnati
ATP,2nd Round,16/08/2026,Cerundolo F.,Borges N.,0.5767299307459102,0.4473684210526316,12.936150969327858,2.2,False,1.0,-1.0,5.852068295648317,-5.852068295648317,Cincinnati
WTA,1st Round,13/08/2026,Parry D.,Dolehide C.,0.5942558815121782,0.4813829787234043,11.287290278877393,2.0,True,1.0,1.0,5.441052749817821,5.441052749817821,Cincinnati
ATP,1st Round,14/08/2026,Bellucci M.,Svajda Z.,0.5098656905963945,0.38,12.986569059639452,2.54,True,1.0,1.54,5.2365197821126825,8.064240464453531,Cincinnati
WTA,2nd Round,16/08/2026,Tauson C.,Stearns P.,0.6076308904459207,0.5039999999999999,10.363089044592078,2.0,True,1.0,1.0,5.223331171669393,5.223331171669393,Cincinnati
WTA,4th Round,19/08/2026,Kostyuk M.,Andreeva M.,0.560641410284513,0.4450261780104712,11.56152322740418,2.2,True,1.0,1.2000000000000002,5.208139001024053,6.249766801228865,Cincinnati
WTA,2nd Round,15/08/2026,Ostapenko J.,Frech M.,0.6173725004644957,0.5173333333333333,10.003916713116235,1.91,False,1.0,-1.0,5.181586695329541,-5.181586695329541,Cincinnati
WTA,1st Round,14/08/2026,Bondar A.,Bouzas Maneiro J.,0.5154387099693586,0.4040920716112532,11.134663835810537,2.38,False,1.0,-1.0,4.671302102791761,-4.671302102791761,Cincinnati
WTA,1st Round,14/08/2026,Korpatsch T.,Joint M.,0.440960177399409,0.32941176470588235,11.154841269352666,3.0,True,1.0,2.0,4.158603104802529,8.317206209605057,Cincinnati
WTA,2nd Round,16/08/2026,Korpatsch T.,Jovic I.,0.26294614493972734,0.12313003452243958,13.981611041728776,8.5,False,1.0,-1.0,3.986227032566373,-3.986227032566373,Cincinnati
