player,win_count,tournament_win_probability
Sabalenka A.,3918,0.3918
Rybakina E.,1855,0.1855
Pegula J.,1436,0.1436
Anisimova A.,382,0.0382
Gauff C.,346,0.0346
Swiatek I.,281,0.0281
Townsend T.,176,0.0176
Bencic B.,159,0.0159
Andreeva M.,143,0.0143
Valentova T.,110,0.011
Cirstea S.,106,0.0106
Svitolina E.,105,0.0105
Snigur D.,60,0.006
Bejlek S.,58,0.0058
Oliynykova O.,54,0.0054
Kostyuk M.,52,0.0052
Zhang S.,51,0.0051
Kalinskaya A.,51,0.0051
Stearns P.,49,0.0049
Boulter K.,43,0.0043
Samsonova L.,39,0.0039
Gibson T.,38,0.0038
Bartunkova N.,38,0.0038
Noskova L.,35,0.0035
Bucsa C.,34,0.0034
Sonmez Z.,31,0.0031
Krejcikova B.,31,0.0031
Boisson L.,30,0.003
Frech M.,30,0.003
McNally C.,25,0.0025
Korpatsch T.,24,0.0024
Eala A.,21,0.0021
Parry D.,20,0.002
Wang Xin.,18,0.0018
Shnaider D.,16,0.0016
Keys M.,16,0.0016
Mertens E.,11,0.0011
Waltert S.,10,0.001
Kalinina A.,10,0.001
Blinkova A.,10,0.001
Sakkari M.,7,0.0007
Jovic I.,7,0.0007
Timofeeva M.,7,0.0007
Ruse E.G.,6,0.0006
Siniakova K.,6,0.0006
Tauson C.,6,0.0006
Bouzas Maneiro J.,6,0.0006
Arango E.,5,0.0005
Ostapenko J.,5,0.0005
Rakhimova K.,5,0.0005
Kenin S.,4,0.0004
Golubic V.,4,0.0004
Bouzkova M.,2,0.0002
Wang Xiy.,2,0.0002
Stefanini L.,2,0.0002
Chwalinska M.,2,0.0002
Stephens S.,1,0.0001
Potapova A.,1,0.0001
Birrell K.,0,0.0
Marcinko P.,0,0.0
Krueger A.,0,0.0
Osorio M.,0,0.0
Ruzic A.,0,0.0
Linette M.,0,0.0
Bondar A.,0,0.0
Charaeva A.,0,0.0
Kessler M.,0,0.0
Pliskova Ka.,0,0.0
Yastremska D.,0,0.0
Maria T.,0,0.0
Udvardy P.,0,0.0
Volynets K.,0,0.0
Dolehide C.,0,0.0
Kasatkina D.,0,0.0
Vidmanova D.,0,0.0
Starodubtseva Y.,0,0.0
Williams V.,0,0.0
Joint M.,0,0.0
Tagger L.,0,0.0
Cocciaretto E.,0,0.0
Day K.,0,0.0
Lys E.,0,0.0
Stoiana M.,0,0.0
Kraus S.,0,0.0
Vandewinkel H.,0,0.0
Kalieva E.,0,0.0
Putintseva Y.,0,0.0
Parks A.,0,0.0
Dart H.,0,0.0
Sawangkaew M.,0,0.0
Tjen J.,0,0.0
Navarro E.,0,0.0
Li A.,0,0.0
Vekic D.,0,0.0
Fernandez L.,0,0.0
Alexandrova E.,0,0.0
