player,win_count,tournament_win_probability
Sabalenka A.,4378,0.4378
Rybakina E.,1934,0.1934
Gauff C.,566,0.0566
Pegula J.,528,0.0528
Swiatek I.,403,0.0403
Anisimova A.,282,0.0282
Svitolina E.,151,0.0151
Bencic B.,142,0.0142
Krejcikova B.,133,0.0133
Townsend T.,113,0.0113
Cirstea S.,102,0.0102
Andreeva M.,96,0.0096
Tagger L.,83,0.0083
Kostyuk M.,78,0.0078
Kalinskaya A.,64,0.0064
Valentova T.,57,0.0057
Pliskova Ka.,56,0.0056
Keys M.,46,0.0046
Kessler M.,36,0.0036
Oliynykova O.,35,0.0035
Snigur D.,35,0.0035
Boisson L.,34,0.0034
Stearns P.,33,0.0033
Cocciaretto E.,33,0.0033
Boulter K.,31,0.0031
Krueger A.,26,0.0026
Bejlek S.,25,0.0025
Gibson T.,21,0.0021
Linette M.,21,0.0021
Kasatkina D.,21,0.0021
Zhang S.,20,0.002
Putintseva Y.,20,0.002
Osorio M.,19,0.0019
Bartunkova N.,19,0.0019
Samsonova L.,18,0.0018
Frech M.,18,0.0018
Yastremska D.,18,0.0018
Bucsa C.,17,0.0017
Birrell K.,17,0.0017
Eala A.,16,0.0016
Sawangkaew M.,16,0.0016
Siniakova K.,13,0.0013
TBD (Qualifier 3),11,0.0011
Ruzic A.,11,0.0011
Bouzkova M.,11,0.0011
Shnaider D.,10,0.001
Noskova L.,9,0.0009
McNally C.,9,0.0009
Sonmez Z.,9,0.0009
Joint M.,9,0.0009
TBD (Qualifier 4),9,0.0009
Charaeva A.,8,0.0008
Wang Xin.,8,0.0008
TBD (Qualifier 2),8,0.0008
Parry D.,8,0.0008
Jovic I.,8,0.0008
Kalieva E.,7,0.0007
Timofeeva M.,6,0.0006
Sakkari M.,6,0.0006
Mertens E.,6,0.0006
Kalinina A.,6,0.0006
TBD (Qualifier 5),5,0.0005
Tauson C.,5,0.0005
Vidmanova D.,5,0.0005
Stefanini L.,4,0.0004
Parks A.,4,0.0004
Golubic V.,4,0.0004
TBD (Qualifier 1),4,0.0004
Korpatsch T.,4,0.0004
Stoiana M.,4,0.0004
Alexandrova E.,4,0.0004
Ostapenko J.,3,0.0003
Dolehide C.,3,0.0003
Navarro E.,2,0.0002
Chwalinska M.,2,0.0002
Stephens S.,2,0.0002
Kenin S.,2,0.0002
Rakhimova K.,2,0.0002
Day K.,1,0.0001
Waltert S.,1,0.0001
Vekic D.,1,0.0001
Potapova A.,1,0.0001
Tjen J.,1,0.0001
Kraus S.,1,0.0001
Bondar A.,1,0.0001
Starodubtseva Y.,1,0.0001
Marcinko P.,0,0.0
Ruse E.G.,0,0.0
Maria T.,0,0.0
Udvardy P.,0,0.0
Volynets K.,0,0.0
Dart H.,0,0.0
Bouzas Maneiro J.,0,0.0
Williams V.,0,0.0
Fernandez L.,0,0.0
Li A.,0,0.0
