event,bet_on,opponent,hard_elo_decay3_off,hard_elo_decay3_on,opp_hard_elo_decay3_off,opp_hard_elo_decay3_on,model_prob_decay3_off_STANDING,model_prob_decay3_on_CORRECTED,market_prob,new_edge_pp,old_edge_pp,won
US Open,Rybakina E.,Bouzas Maneiro J.,2013.746265535936,2017.349261869044,1506.3311613938126,1511.8991246903825,0.9638303579877464,0.9631804432911749,0.8116883116883117,15.149213160286322,15.214204629943485,True
US Open,Noskova L.,Volynets K.,1780.0898518912095,1783.655045996185,1430.5179278181529,1434.109218363982,0.8866269250054315,0.8866111857486139,0.721868365180467,16.474282056814683,16.475855982496444,True
US Open,Rybakina E.,Osaka N.,2013.746265535936,2017.349261869044,1806.3560319203416,1815.3173976142173,0.7619677973660435,0.7566727331658899,0.5625,19.41727331658899,19.94677973660435,True
US Open,Rybakina E.,Zheng Q.,2013.746265535936,2017.349261869044,1740.1259780959658,1743.468947888455,0.8427153147814596,0.84290842435531,0.7284210526315789,11.448737172373114,11.42942621498807,True
US Open,Badosa P.,Kasatkina D.,1690.0908452489757,1692.7978896256209,1540.144949779005,1543.4466861989374,0.6818242388515189,0.6811402331989441,0.5291005291005291,15.203970409841505,15.272370975098982,True
US Open,Ostapenko J.,Maria T.,1637.105958563102,1643.984150503241,1463.115583903519,1460.4069968437443,0.7098763403093442,0.7202258545855933,0.5803108808290156,13.991497375657769,12.95654594803286,False
US Open,Seidel E.,Starodubtseva Y.,1453.4910558722936,1456.4244519140982,1461.33061251532,1467.420040752766,0.4603183171216493,0.45616668723070586,0.2885032537960954,16.766343343461042,17.181506332555387,False
US Open,Kalinskaya A.,Navarro E.,1711.843638574739,1714.7400789250685,1615.4856591188932,1621.9299017464275,0.6265674876792028,0.6221197224945993,0.5105820105820106,11.153771191258876,11.59854770971922,False
US Open,Parry D.,Golubic V.,1611.6157126234132,1618.3495202707595,1530.0894931327855,1537.0683945194507,0.6207833086132994,0.6204775298972706,0.5172413793103448,10.323615058692582,10.354192930295468,True
US Open,Pliskova Ka.,Shnaider D.,1623.710346604929,1630.8677564279456,1709.411053509355,1715.8159567622988,0.392413554846362,0.3933377355999444,0.2421875,15.11502355999444,15.022605484636198,False
US Open,Ruzic A.,Li A.,1513.2790053455133,1518.628416099234,1565.1146191887426,1569.0714304598528,0.4140876666498598,0.4158880881566103,0.2760084925690021,13.98795955876082,13.807917408085771,False
US Open,Potapova A.,Andreeva M.,1666.2952791124835,1672.2953411636895,1797.3666840735225,1804.565607695151,0.326317419595215,0.32492245321457586,0.1711711711711712,15.375128204340466,15.51462484240438,False
US Open,Frech M.,Jovic I.,1586.2528160707166,1589.8743479592083,1680.132342027733,1686.1170465790992,0.3808271309010571,0.37786833053592916,0.2665289256198347,11.133940491609446,11.429820528122235,False
US Open,Lys E.,Andreeva M.,1595.136812479763,1598.776879541415,1797.3666840735225,1804.565607695151,0.2495457137255972,0.24603087683850514,0.1173245614035087,12.870631543499645,13.222115232208845,False
Canadian Open,Rybakina E.,Li A.,1979.6218838264708,1986.6373076043735,1526.285771318472,1529.9226767820182,0.9369982135145644,0.9384762659824308,0.8272727272727273,11.120353870970357,10.97254862418372,True
Canadian Open,Rybakina E.,Samsonova L.,1979.6218838264708,1986.6373076043735,1562.4296419987609,1564.9076140772677,0.8933081963176799,0.8956514409403026,0.7195652173913043,17.60862235489983,17.374297892637557,True
Canadian Open,Sabalenka A.,Alexandrova E.,2079.8095287154465,2086.7438964283847,1598.381199963954,1600.991312447524,0.9300447298085568,0.9315209045086211,0.8217054263565892,10.981547815203196,10.833930345196771,False
Canadian Open,Rybakina E.,Osaka N.,1979.6218838264708,1986.6373076043735,1798.6485577774158,1807.838012237406,0.7057063489075502,0.7032747151220727,0.493368700265252,20.990601485682074,21.23376486422982,True
Canadian Open,Bucsa C.,Uchijima M.,1556.7295351687749,1559.2945186974025,1365.0470601350548,1369.037656801106,0.7427175603933286,0.741258197784396,0.5575916230366492,18.366657474774673,18.51259373566793,False
Canadian Open,Rybakina E.,Swiatek I.,1979.6218838264708,1986.6373076043735,1849.447168700912,1851.1040639967644,0.6677685232406279,0.6741708154857065,0.4566929133858268,21.747790209987965,21.1075609854801,False
Canadian Open,Rybakina E.,Gauff C.,1979.6218838264708,1986.6373076043735,1875.193219248834,1878.221787028138,0.6336238759864495,0.63859851378668,0.4355670103092783,20.303150347740168,19.80568656771712,True
Canadian Open,Pegula J.,Shnaider D.,1934.3621001753825,1937.050289719163,1662.7054184551216,1669.1569288906062,0.8104650975839834,0.8073783160302797,0.7096069868995633,9.77713291307164,10.08581106844202,False
Canadian Open,Krejcikova B.,Samsonova L.,1754.3449986224052,1754.8414467453683,1562.4296419987609,1564.9076140772677,0.7321650414708779,0.7301010351209924,0.5902061855670103,13.989484955398213,14.19588559038676,False
Canadian Open,Potapova A.,Ruse E.G.,1691.3230929586402,1692.8582644446803,1569.0541750083792,1575.2388144126976,0.6611850416414407,0.6556165370634438,0.5132978723404255,14.231866472301835,14.78871693010152,True
Canadian Open,Joint M.,Starodubtseva Y.,1529.5733340140184,1531.844755492046,1460.0652343614895,1465.8713472271809,0.5891065821909487,0.5845654227373939,0.4322916666666666,15.22737560707273,15.681491552428206,True
Canadian Open,Kalinskaya A.,Shnaider D.,1710.0387097421485,1712.3578692655162,1662.7054184551216,1669.1569288906062,0.5688048147393878,0.5634023014645182,0.4485488126649077,11.48534887996105,12.025600207448012,False
Canadian Open,Bondar A.,Kalinina A.,1499.3114656450211,1504.3819903041235,1491.1215268928563,1499.086908967616,0.5124826807073407,0.5086495771054135,0.3774999999999999,13.114957710541358,13.498268070734076,True
Canadian Open,Korpatsch T.,Zarazua R.,1520.1911794186158,1521.760481631787,1506.8023956391405,1508.3336112406278,0.5270533601692753,0.527103665752264,0.4066496163682865,12.045404938397747,12.04037438009888,False
Canadian Open,Zhang S.,Putintseva Y.,1562.0524972113571,1565.9144635491684,1564.000527841018,1567.4027063931337,0.478148854715662,0.47875680712960633,0.3502415458937198,12.851526123588652,12.790730882194218,True
Canadian Open,Anisimova A.,Svitolina E.,1828.3932482780551,1831.5443465680296,1809.4683112788348,1816.676668131624,0.5285751971836354,0.5232048737436422,0.423076923076923,10.01279506667192,10.549827410671242,False
Canadian Open,Joint M.,Samsonova L.,1529.5733340140184,1531.844755492046,1562.4296419987609,1564.9076140772677,0.4214983556261495,0.42122759426091333,0.2977777777777778,12.344981648313553,12.372057784837176,False
Canadian Open,Svitolina E.,Swiatek I.,1809.4683112788348,1816.676668131624,1849.447168700912,1851.1040639967644,0.4472968554027139,0.454589850350685,0.3463414634146341,10.824838693605088,10.09553919880798,False
Cincinnati,Svitolina E.,Wang Xiy.,1846.6101302289808,1853.6251744961887,1425.627153594818,1427.4602222366043,0.8880779156188087,0.8904430322646446,0.7333333333333333,15.710969893131132,15.474458228547538,False
Cincinnati,Rybakina E.,Townsend T.,2004.453582305227,2011.37298094488,1657.8809466820742,1659.983667451081,0.8835780053299056,0.8866926244299438,0.7360824742268042,15.061015020313961,14.749553110310142,True
Cincinnati,Rybakina E.,Shnaider D.,2004.453582305227,2011.37298094488,1701.257714659095,1707.6058715555153,0.8491004425952717,0.8495422645718332,0.6909090909090908,15.863317366274243,15.819135168618091,True
Cincinnati,Potapova A.,Stephens S.,1694.071763021935,1695.8736403428643,1416.1739627904806,1421.174857049119,0.8133692572671367,0.8107824170489515,0.6521739130434782,15.860850400547333,16.119534422365856,False
Cincinnati,Rybakina E.,Swiatek I.,2004.453582305227,2011.37298094488,1879.542639391089,1881.3866223254945,0.6671785781208848,0.6732489626420378,0.4160206718346253,25.72282908074125,25.115790628625945,False
Cincinnati,Boulter K.,Volynets K.,1558.7804104548566,1561.8718871238475,1441.7709865495044,1445.1841214076903,0.6611807331046136,0.6607877114931356,0.4656084656084655,19.51792458846701,19.5572267496148,True
Cincinnati,Siniakova K.,Bouzas Maneiro J.,1634.7757186610013,1637.5966927364611,1503.6587008914844,1509.027438407686,0.6445345809821286,0.6414086201698392,0.4946808510638298,14.672776910600943,14.98537299182987,True
Cincinnati,Sakkari M.,Rakhimova K.,1635.7851268420593,1638.3209201080442,1458.219442971957,1465.0690134805557,0.7278803092336178,0.7232920711329509,0.6225,10.079207113295086,10.538030923361774,True
Cincinnati,Pegula J.,Swiatek I.,1888.1533584908927,1890.8636147460636,1879.542639391089,1881.3866223254945,0.500153450538725,0.5013005311459631,0.3187066974595842,18.259383368637888,18.14467530791407,True
Cincinnati,Zhang S.,Li A.,1575.9104651004443,1580.1754324246722,1537.8883193677198,1541.7216526503585,0.5607002286142855,0.5612635113115185,0.4108527131782946,15.041079813322394,14.984751543599083,False
Cincinnati,Lys E.,Kenin S.,1618.3522939073794,1621.6348321370533,1461.3831312327188,1463.7101771704442,0.6718254341213555,0.6729248015641266,0.5613577023498694,11.156709921425723,11.046773177148616,False
Cincinnati,Yastremska D.,Maria T.,1543.289790860371,1547.2773555820309,1444.1107568309203,1440.7895891598073,0.5886290935989291,0.5979735628218493,0.4564643799472295,14.150918287461984,13.216471365169962,False
Cincinnati,Parry D.,Dolehide C.,1504.6520202882402,1511.630727324177,1488.2204126003808,1490.1532910870694,0.5942558815121782,0.6006859974074098,0.4813829787234043,11.93030186840055,11.287290278877393,True
Cincinnati,Tauson C.,Stearns P.,1619.03831398121,1622.1063047075647,1551.0877594288372,1557.4899758104552,0.6076308904459207,0.6033550595734001,0.5039999999999999,9.935505957340018,10.363089044592078,True
