match_key,tour,tournament,year,player,corrections,depth,round_label,sim_prob,actual_reached,logged_at
ATP|US Open|2021|on,ATP,US Open,2021,Djokovic N.,on,0,Champion,0.254,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djokovic N.,on,1,Final,0.436,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djokovic N.,on,2,Semifinal,0.594,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djokovic N.,on,3,Quarterfinal,0.69,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djokovic N.,on,4,Round of 16,0.79,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djokovic N.,on,5,Round of 32,0.888,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Djokovic N.,on,6,Round of 64,0.962,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Rune H.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Rune H.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Rune H.,on,2,Semifinal,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Rune H.,on,3,Quarterfinal,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Rune H.,on,4,Round of 16,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Rune H.,on,5,Round of 32,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Rune H.,on,6,Round of 64,0.038,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Griekspoor T.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Griekspoor T.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Griekspoor T.,on,2,Semifinal,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Griekspoor T.,on,3,Quarterfinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Griekspoor T.,on,4,Round of 16,0.018,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Griekspoor T.,on,5,Round of 32,0.03,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Griekspoor T.,on,6,Round of 64,0.364,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Struff J.L.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Struff J.L.,on,1,Final,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Struff J.L.,on,2,Semifinal,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Struff J.L.,on,3,Quarterfinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Struff J.L.,on,4,Round of 16,0.018,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Struff J.L.,on,5,Round of 32,0.068,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Struff J.L.,on,6,Round of 64,0.636,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Caruso S.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Caruso S.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Caruso S.,on,2,Semifinal,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Caruso S.,on,3,Quarterfinal,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Caruso S.,on,4,Round of 16,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Caruso S.,on,5,Round of 32,0.056,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Caruso S.,on,6,Round of 64,0.18,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Nishikori K.,on,0,Champion,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Nishikori K.,on,1,Final,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Nishikori K.,on,2,Semifinal,0.03,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Nishikori K.,on,3,Quarterfinal,0.074,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Nishikori K.,on,4,Round of 16,0.1,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Nishikori K.,on,5,Round of 32,0.536,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Nishikori K.,on,6,Round of 64,0.82,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mcdonald M.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mcdonald M.,on,1,Final,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mcdonald M.,on,2,Semifinal,0.006,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mcdonald M.,on,3,Quarterfinal,0.012,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mcdonald M.,on,4,Round of 16,0.036,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mcdonald M.,on,5,Round of 32,0.208,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mcdonald M.,on,6,Round of 64,0.476,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Goffin D.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Goffin D.,on,1,Final,0.004,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Goffin D.,on,2,Semifinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Goffin D.,on,3,Quarterfinal,0.012,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Goffin D.,on,4,Round of 16,0.026,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Goffin D.,on,5,Round of 32,0.2,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Goffin D.,on,6,Round of 64,0.524,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Karatsev A.,on,0,Champion,0.006,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Karatsev A.,on,1,Final,0.01,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Karatsev A.,on,2,Semifinal,0.034,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Karatsev A.,on,3,Quarterfinal,0.074,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Karatsev A.,on,4,Round of 16,0.266,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Karatsev A.,on,5,Round of 32,0.486,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Karatsev A.,on,6,Round of 64,0.75,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,2,Semifinal,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,3,Quarterfinal,0.002,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,4,Round of 16,0.028,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,5,Round of 32,0.118,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Munar J.,on,6,Round of 64,0.25,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,2,Semifinal,0.008,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,3,Quarterfinal,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,4,Round of 16,0.116,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,5,Round of 32,0.25,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Thompson J.,on,6,Round of 64,0.59,1,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,0,Champion,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,1,Final,0.0,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,2,Semifinal,0.006,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,3,Quarterfinal,0.014,0,2026-08-28T21:54:44.184749+00:00
ATP|US Open|2021|on,ATP,US Open,2021,Mager G.,on,4,Round of 16,0.056,0,2026-08-28T21:54:44.184749+00:00
