event,tour,round,winner,loser,n_books,cross_book_std,cross_book_range,max_over_avg_pct
US Open,ATP,1st Round,Rinderknech A.,Shimabukuro S.,2,0.00366300366300365,0.0073260073260073,2.3809523809523725
US Open,ATP,1st Round,Etcheverry T.,Kopriva V.,2,0.005120420376587387,0.010240840753174774,1.9736842105263275
US Open,ATP,1st Round,Shapovalov D.,Kecmanovic M.,2,0.009799181252619027,0.019598362505238054,1.764705882352935
US Open,ATP,1st Round,Faria J.,Brooksby J.,2,0.002506265664160373,0.005012531328320746,2.010050251256268
US Open,ATP,1st Round,Medvedev D.,Gaston H.,2,0.010380361297041285,0.02076072259408257,0.8928571428571175
US Open,ATP,1st Round,Van Assche L.,Norrie C.,2,0.0059134326612839405,0.011826865322567881,3.571428571428581
US Open,ATP,1st Round,Paul T.,Wong C.,2,0.008564641657780425,0.01712928331556085,1.7391304347826209
US Open,ATP,1st Round,Samuel T.,Machac T.,2,0.015421251636046407,0.030842503272092814,6.329113924050622
US Open,ATP,1st Round,Harris L.,Kennedy J.,2,0.012979051885935733,0.025958103771871466,0.0
US Open,ATP,1st Round,Prizmic D.,Shevchenko A.,2,0.004792910110327342,0.009585820220654684,0.7407407407407307
US Open,ATP,1st Round,Lehecka J.,Carreno Busta P.,2,0.003637141634574237,0.007274283269148474,1.6666666666666607
US Open,ATP,1st Round,Merida Aguilar D.,Fucsovics M.,2,0.00810675979047143,0.01621351958094286,0.8264462809917328
US Open,ATP,1st Round,Wu Y.,Walton A.,2,0.009799181252618971,0.019598362505237943,0.9569377990430672
US Open,ATP,1st Round,Majchrzak K.,Medjedovic H.,2,0.0001627784325087811,0.0003255568650175622,1.1560693641618602
US Open,ATP,1st Round,Munar J.,Atmane T.,2,0.008430953892319237,0.016861907784638475,4.417670682730912
US Open,ATP,1st Round,Sakamoto R.,Vukic A.,2,0.007653061224489777,0.015306122448979553,3.0864197530864113
US Open,ATP,1st Round,Nakashima B.,Baez S.,2,0.01548424748439814,0.03096849496879628,0.8849557522123908
US Open,ATP,1st Round,Berrettini M.,Wawrinka S.,2,0.000534909909909953,0.001069819819819906,0.8064516129032251
US Open,ATP,1st Round,Tabilo A.,Hanfmann Y.,2,0.005551534265698099,0.011103068531396199,3.488372093023262
US Open,ATP,1st Round,Halys Q.,Diaz Acosta F.,2,0.011497553841954944,0.022995107683909888,1.526717557251911
US Open,ATP,1st Round,Trungelliti M.,Shang J.,2,0.0008895638967237607,0.0017791277934475214,2.230483271375472
US Open,ATP,1st Round,Khachanov K.,Burruchaga R.,2,0.00366300366300365,0.0073260073260073,0.8000000000000007
US Open,ATP,1st Round,Tien L.,Borges N.,2,0.015673786784730137,0.031347573569460274,1.3513513513513598
US Open,ATP,1st Round,Hurkacz H.,Dzumhur D.,2,0.0031731077775105088,0.0063462155550210175,5.555555555555536
US Open,ATP,1st Round,Blockx A.,Barrios M.,2,0.012059789505954377,0.024119579011908754,1.6949152542372836
US Open,ATP,1st Round,Svrcina D.,Royer V.,2,0.014414176143877272,0.028828352287754544,2.0408163265306145
US Open,ATP,1st Round,Darderi L.,Wendelken H.,2,0.0017533003300330141,0.0035066006600660282,0.7751937984496138
US Open,ATP,1st Round,Fearnley J.,Landaluce M.,2,0.005012531328320746,0.010025062656641492,2.499999999999991
US Open,ATP,1st Round,Navone M.,Djokovic N.,2,0.00308954873736951,0.00617909747473902,11.111111111111093
US Open,ATP,1st Round,Bublik A.,Wolf J.J.,2,0.010981665393430096,0.02196333078686019,1.4285714285714235
US Open,ATP,1st Round,Rublev A.,Virtanen O.,2,0.003089548737369552,0.006179097474739104,1.7391304347826209
US Open,ATP,1st Round,Tsitsipas S.,Fils A.,2,0.014867814804566212,0.029735629609132425,3.0927835051546504
US Open,ATP,1st Round,Mannarino A.,Tirante T.A.,2,0.014735455238887751,0.029470910477775503,5.519480519480524
US Open,ATP,1st Round,Vacherot V.,Kovacevic A.,2,0.004363924887595849,0.008727849775191698,2.2346368715083775
US Open,ATP,1st Round,Gorzny S.,Collignon R.,2,0.010897313005135842,0.021794626010271684,10.921501706484626
US Open,ATP,1st Round,Rodionov J.,Mpetshi G.,2,0.007518796992481203,0.015037593984962405,2.77777777777779
US Open,ATP,1st Round,Alcaraz C.,Safiullin R.,2,0.005973672999712021,0.011947345999424042,1.6949152542372836
US Open,ATP,1st Round,Duckworth J.,Arnaldi M.,2,0.009898072702125726,0.019796145404251453,2.564102564102577
US Open,ATP,1st Round,Michelsen A.,Cina F.,2,0.0023919206236711066,0.004783841247342213,3.4482758620689724
US Open,ATP,1st Round,Musetti L.,Fery A.,2,0.003916040100250651,0.007832080200501301,1.5748031496062964
US Open,ATP,1st Round,Cerundolo F.,Misolic F.,2,0.011201147791853494,0.022402295583706988,0.952380952380949
US Open,ATP,1st Round,Gea A.,Cerundolo J.M.,2,0.0001627784325087811,0.0003255568650175622,5.1724137931034475
US Open,ATP,1st Round,Struff J.L.,Ugo Carabelli C.,2,0.0021544509119968414,0.004308901823993683,0.694444444444442
US Open,ATP,1st Round,Bellucci M.,Piros Z.,2,0.00366615126847214,0.00733230253694428,4.166666666666674
US Open,ATP,1st Round,Sweeny D.,Moutet C.,2,0.007928118393234651,0.015856236786469302,12.17948717948718
US Open,ATP,1st Round,Schoolkate T.,Basavareddy N.,2,0.0030637254901960953,0.006127450980392191,7.14285714285714
US Open,ATP,1st Round,Fritz T.,Blanch Dar.,2,0.004707752311586155,0.00941550462317231,0.9803921568627416
US Open,ATP,1st Round,Tiafoe F.,Damm M.,2,0.011539086624410888,0.023078173248821776,2.4193548387096753
US Open,ATP,1st Round,Mensik J.,Mochizuki S.,2,0.005640133824993455,0.011280267649986908,0.917431192660545
US Open,ATP,1st Round,Shelton B.,Griekspoor T.,2,0.002186948853615589,0.004373897707231178,0.8928571428571175
US Open,ATP,1st Round,Popyrin A.,Dimitrov G.,2,0.00808208121883533,0.01616416243767066,3.4482758620689724
US Open,ATP,1st Round,Auger-Aliassime F.,Hijikata R.,2,0.005640133824993455,0.011280267649986908,0.917431192660545
US Open,ATP,1st Round,Cobolli F.,Comesana F.,2,0.00810675979047143,0.01621351958094286,2.521008403361358
US Open,ATP,2nd Round,Medvedev D.,Gorzny S.,2,0.004035791707024561,0.008071583414049122,0.9708737864077666
US Open,ATP,2nd Round,Merida Aguilar D.,Rublev A.,2,0.024550872476630597,0.049101744953261195,4.8034934497816595
US Open,ATP,2nd Round,Shelton B.,Hurkacz H.,2,0.0014822134387352248,0.0029644268774704496,0.7194244604316502
US Open,ATP,2nd Round,Etcheverry T.,Fearnley J.,2,0.006006176340833225,0.01201235268166645,4.2424242424242475
US Open,ATP,2nd Round,Lehecka J.,Samuel T.,2,0.006996017651490716,0.013992035302981431,0.7407407407407307
US Open,ATP,2nd Round,Tsitsipas S.,Harris L.,2,0.0014822134387352248,0.0029644268774704496,0.7194244604316502
US Open,ATP,2nd Round,Wu Y.,Duckworth J.,2,0.0032315613710962587,0.0064631227421925175,0.6024096385542244
US Open,ATP,2nd Round,Navone M.,Berrettini M.,2,0.0017006802721088454,0.003401360544217691,5.3097345132743445
US Open,ATP,2nd Round,Michelsen A.,Nakashima B.,2,0.011749989532303329,0.023499979064606658,6.382978723404253
US Open,ATP,2nd Round,Shapovalov D.,Van Assche L.,2,0.0006844201095071445,0.001368840219014289,0.0
US Open,ATP,2nd Round,Rinderknech A.,Munar J.,2,0.0007850535540409043,0.0015701071080818085,1.2658227848101333
US Open,ATP,1st Round,Bergs Z.,Taberner C.,2,0.0027273223149512082,0.0054546446299024165,0.9615384615384581
US Open,ATP,1st Round,De Jong J.,Passaro F.,2,0.015774853894958307,0.031549707789916615,2.366863905325456
US Open,ATP,1st Round,Zverev A.,Sonego L.,2,0.010567219400277938,0.021134438800555877,0.0
US Open,ATP,1st Round,Van De Zandschulp B.,Choinski J.,2,0.00832097544900312,0.01664195089800624,1.6000000000000014
US Open,ATP,1st Round,Bonzi B.,Molcan A.,2,0.008319805194805185,0.01663961038961037,2.1126760563380254
US Open,ATP,1st Round,Svajda Z.,Altmaier D.,2,0.006149561273784909,0.012299122547569818,1.2499999999999956
US Open,ATP,1st Round,Monfils G.,Vallejo D.,2,0.004534755801161527,0.009069511602323055,4.166666666666652
US Open,ATP,1st Round,Bu Y.,Jodar R.,2,0.005714310173612305,0.01142862034722461,7.015457788347201
US Open,ATP,1st Round,De Minaur A.,Guerrieri A.,2,0.005970214059311418,0.011940428118622837,0.0
US Open,ATP,1st Round,Zheng M.,Marozsan F.,2,0.001748914572249738,0.003497829144499476,0.6369426751592355
US Open,ATP,1st Round,Buse I.,Giron M.,2,0.0008924505964848506,0.0017849011929697012,2.564102564102577
US Open,ATP,2nd Round,Sweeny D.,Musetti L.,2,0.01802101947481601,0.03604203894963202,37.362637362637365
US Open,ATP,2nd Round,Gea A.,Svajda Z.,2,0.004977960176318574,0.009955920352637149,5.1401869158878455
US Open,ATP,2nd Round,Bergs Z.,De Jong J.,2,0.007056647848939057,0.014113295697878114,1.449275362318847
US Open,ATP,2nd Round,Van De Zandschulp B.,De Minaur A.,2,0.009524005008312991,0.019048010016625982,4.790419161676662
US Open,ATP,2nd Round,Bonzi B.,Buse I.,2,0.006168788554928444,0.01233757710985689,3.015075376884413
US Open,ATP,2nd Round,Blockx A.,Trungelliti M.,2,0.0058975740359813456,0.011795148071962691,1.7391304347826209
US Open,ATP,2nd Round,Cobolli F.,Schoolkate T.,2,0.01170487568614792,0.02340975137229584,1.680672268907557
US Open,ATP,2nd Round,Tabilo A.,Popyrin A.,2,0.0044534763057765825,0.008906952611553165,2.5316455696202445
US Open,ATP,2nd Round,Mensik J.,Rodionov J.,2,6.603318828052318e-05,0.00013206637656104636,0.8928571428571175
US Open,ATP,2nd Round,Khachanov K.,Auger-Aliassime F.,2,0.006204614394705432,0.012409228789410864,6.707317073170738
US Open,ATP,2nd Round,Darderi L.,Svrcina D.,2,0.006322093343848757,0.012644186687697512,4.216867469879526
US Open,ATP,2nd Round,Cerundolo F.,Struff J.L.,2,0.003290532131257018,0.006581064262514036,1.2820512820512775
US Open,ATP,2nd Round,Alcaraz C.,Faria J.,2,0.006636030326658604,0.013272060653317208,0.0
US Open,ATP,2nd Round,Paul T.,Prizmic D.,2,0.001255332053971825,0.00251066410794365,2.5423728813559254
US Open,ATP,2nd Round,Bublik A.,Mannarino A.,2,0.0008658008658008476,0.0017316017316016952,2.3622047244094446
US Open,ATP,2nd Round,Vacherot V.,Majchrzak K.,2,0.004824752739561067,0.009649505479122134,1.1560693641618602
US Open,ATP,2nd Round,Tiafoe F.,Sakamoto R.,2,0.00832097544900312,0.01664195089800624,0.8064516129032251
US Open,ATP,2nd Round,Fritz T.,Bellucci M.,2,0.007712963491972924,0.015425926983945848,1.8018018018017834
US Open,ATP,3rd Round,Tsitsipas S.,Lehecka J.,2,0.0027674792001167736,0.005534958400233547,3.2653061224489743
US Open,ATP,3rd Round,Michelsen A.,Merida Aguilar D.,2,0.008430953892319237,0.016861907784638475,1.3157894736842035
US Open,ATP,3rd Round,Etcheverry T.,Navone M.,2,0.006322093343848757,0.012644186687697512,4.093567251461994
US Open,ATP,3rd Round,Alcaraz C.,Wu Y.,2,0.0038041053783021694,0.007608210756604339,0.0
US Open,ATP,2nd Round,Zverev A.,Halys Q.,2,0.020625982189628134,0.04125196437925627,0.8771929824561431
US Open,ATP,3rd Round,Medvedev D.,Rinderknech A.,2,0.0013643238969387461,0.0027286477938774922,1.5151515151515138
US Open,ATP,2nd Round,Zheng M.,Bu Y.,2,0.004380293339857233,0.008760586679714466,1.324503311258285
US Open,ATP,2nd Round,Tien L.,Monfils G.,2,0.009099328548274999,0.018198657096549997,0.8547008547008517
US Open,ATP,3rd Round,Paul T.,Bublik A.,2,0.006842619745845602,0.013685239491691203,1.9607843137254832
US Open,ATP,3rd Round,Tiafoe F.,Vacherot V.,2,0.0005365078116661426,0.0010730156233322852,2.0000000000000018
US Open,ATP,3rd Round,Shelton B.,Shapovalov D.,2,0.006604124785943022,0.013208249571886044,1.6393442622950838
US Open,ATP,3rd Round,Cerundolo F.,Fritz T.,2,0.004068079347218839,0.008136158694437678,8.877721943048588
US Open,ATP,3rd Round,Blockx A.,Cobolli F.,2,0.005012531328320802,0.010025062656641603,1.522842639593902
US Open,ATP,3rd Round,Khachanov K.,Bonzi B.,2,0.003918495297805691,0.007836990595611382,2.1126760563380254
US Open,ATP,3rd Round,Darderi L.,Sweeny D.,2,0.003916040100250651,0.007832080200501301,2.3809523809523725
US Open,ATP,3rd Round,Gea A.,Zheng M.,2,0.006322093343848811,0.012644186687697623,3.139013452914785
US Open,ATP,3rd Round,Van De Zandschulp B.,Bergs Z.,2,0.002981376298341276,0.005962752596682552,0.6711409395973256
US Open,ATP,4th Round,Tiafoe F.,Medvedev D.,2,0.010054931932171024,0.020109863864342048,4.166666666666674
US Open,ATP,4th Round,Michelsen A.,Etcheverry T.,2,0.0010293148880105019,0.0020586297760210037,1.5151515151515138
US Open,ATP,4th Round,Alcaraz C.,Paul T.,2,0.011082453453695518,0.022164906907391035,1.680672268907557
US Open,ATP,3rd Round,Tien L.,Mensik J.,2,0.010860848980953353,0.021721697961906705,1.764705882352935
US Open,ATP,3rd Round,Zverev A.,Tabilo A.,2,0.001255332053971825,0.00251066410794365,2.564102564102577
US Open,ATP,4th Round,Shelton B.,Tsitsipas S.,2,0.004137782906429299,0.008275565812858598,0.7518796992481258
US Open,ATP,4th Round,Blockx A.,Cerundolo F.,2,0.008790926442519498,0.017581852885038995,2.515723270440229
US Open,ATP,4th Round,Van De Zandschulp B.,Gea A.,2,0.001748914572249738,0.003497829144499476,2.515723270440229
US Open,ATP,4th Round,Khachanov K.,Tien L.,2,0.0027674792001167736,0.005534958400233547,1.6260162601626105
US Open,ATP,4th Round,Zverev A.,Darderi L.,2,0.001085976269057709,0.002171952538115418,2.752293577981657
US Open,ATP,Quarterfinals,Tiafoe F.,Michelsen A.,2,0.0044534763057765825,0.008906952611553165,2.4844720496894235
US Open,ATP,Quarterfinals,Shelton B.,Alcaraz C.,2,0.0008658008658008615,0.001731601731601723,4.712041884816753
US Open,ATP,Quarterfinals,Khachanov K.,Blockx A.,2,0.0027674792001167736,0.005534958400233547,1.9736842105263275
US Open,ATP,Quarterfinals,Zverev A.,Van De Zandschulp B.,2,0.009171965534575777,0.018343931069151553,0.8928571428571175
US Open,ATP,Semifinals,Zverev A.,Khachanov K.,2,0.014489348370927302,0.028978696741854604,1.6666666666666607
US Open,ATP,Semifinals,Shelton B.,Tiafoe F.,2,0.0006325341246800065,0.001265068249360013,4.477611940298498
US Open,ATP,The Final,Zverev A.,Shelton B.,2,0.0004568578060947792,0.0009137156121895584,1.7964071856287456
US Open,WTA,1st Round,Vekic D.,Gibson T.,2,0.002506265664160373,0.005012531328320746,1.5151515151515138
US Open,WTA,1st Round,Boulter K.,Lee C.Y.,2,0.006322093343848757,0.012644186687697512,0.6024096385542244
US Open,WTA,1st Round,Alexandrova E.,Kessler M.,2,0.013583097146360856,0.027166194292721713,3.0864197530864113
US Open,WTA,1st Round,Pliskova Ka.,Vandewinkel H.,2,0.003768844221105516,0.007537688442211032,3.1746031746031855
US Open,WTA,1st Round,Wang Xin.,Arango E.,2,0.004137782906429299,0.008275565812858598,1.526717557251911
US Open,WTA,1st Round,Stefanini L.,Yastremska D.,2,0.006651436031331586,0.013302872062663174,0.9615384615384581
US Open,WTA,1st Round,Kostyuk M.,Hunter S.,2,0.012448069693986541,0.024896139387973082,1.85185185185186
US Open,WTA,1st Round,Preston T.,Parks A.,2,0.001851362073525542,0.003702724147051084,13.402061855670123
US Open,WTA,1st Round,Fernandez L.A.,Zhang S.,2,0.0007394991126011274,0.0014789982252022549,0.7194244604316502
US Open,WTA,1st Round,Pegula J.,Ruse E.G.,2,0.008049525940418634,0.016099051880837267,0.9345794392523477
US Open,WTA,1st Round,Paolini J.,Erjavec V.,2,0.006378315138102886,0.012756630276205772,0.0
US Open,WTA,1st Round,Rakhimova K.,Krejcikova B.,2,0.0008251388509514235,0.001650277701902847,5.042016806722693
US Open,WTA,1st Round,Iatcenko P.,Zarazua R.,2,0.0008485639686684199,0.0016971279373368398,1.9323671497584627
US Open,WTA,1st Round,Tararudee L.,Kalieva E.,2,0.000889563896723844,0.001779127793447688,1.3986013986013957
US Open,WTA,1st Round,Townsend T.,Chwalinska M.,2,0.0066591374019774885,0.013318274803954977,1.3986013986013957
US Open,WTA,1st Round,Anisimova A.,Krueger A.,2,0.008564641657780425,0.01712928331556085,1.7543859649122862
US Open,WTA,1st Round,Parry D.,Golubic V.,2,0.0144141761438773,0.0288283522877546,4.9450549450549275
US Open,WTA,1st Round,Shnaider D.,Snigur D.,2,0.00010799252691717776,0.0002159850538343555,2.127659574468077
US Open,WTA,1st Round,McNally C.,Koevermans A.,2,0.004649679836331244,0.009299359672662488,2.564102564102577
US Open,WTA,1st Round,Stephens S.,Tauson C.,2,0.006313131313131298,0.012626262626262597,5.863192182410426
US Open,WTA,1st Round,Cirstea S.,Grabher J.,2,0.012448069693986541,0.024896139387973082,0.9345794392523477
US Open,WTA,1st Round,Joint M.,Samsonova L.,2,0.0006325341246800065,0.001265068249360013,6.583072100313481
US Open,WTA,1st Round,Li A.,Ruzic A.,2,0.014344577942082548,0.028689155884165096,2.3076923076922995
US Open,WTA,1st Round,Siniakova K.,Cocciaretto E.,2,0.004722691762985953,0.009445383525971907,3.289473684210531
US Open,WTA,1st Round,Birrell K.,Marcinko P.,2,7.850462293418876e-17,1.1102230246251565e-16,1.104972375690605
US Open,WTA,1st Round,Noskova L.,Volynets K.,2,0.009524005008313019,0.019048010016626038,1.526717557251911
US Open,WTA,1st Round,Kalinskaya A.,Blinkova A.,2,0.008265615041427643,0.016531230082855286,0.7751937984496138
US Open,WTA,1st Round,Podoroska N.,Waltert S.,2,0.0041787081152855066,0.008357416230571013,1.9379844961240345
US Open,WTA,1st Round,Selekhmeteva O.,Ito A.,2,0.006842619745845602,0.013685239491691203,3.8961038961039085
US Open,WTA,1st Round,Timofeeva M.,Zidansek T.,2,0.011914805035443121,0.023829610070886242,1.3513513513513598
US Open,WTA,1st Round,Svitolina E.,Sierra S.,2,0.006636030326658604,0.013272060653317208,0.9433962264151052
US Open,WTA,1st Round,Kenin S.,Williams V.,2,0.009171965534575777,0.018343931069151553,1.8018018018017834
US Open,WTA,1st Round,Bucsa C.,Bejlek S.,2,0.013342921061041846,0.02668584212208369,3.0927835051546504
US Open,WTA,1st Round,Muchova K.,Kraus S.,2,0.006664515020307904,0.013329030040615808,0.917431192660545
US Open,WTA,1st Round,Sawangkaew M.,Udvardy P.,2,0.015514376124023954,0.03102875224804791,3.289473684210531
US Open,WTA,1st Round,Sakatsume H.,Kalinina A.,2,0.002765004402737775,0.00553000880547555,2.941176470588247
US Open,WTA,1st Round,Dart H.,Stearns P.,2,0.0010135633200648864,0.0020271266401297727,3.2258064516129004
US Open,WTA,1st Round,Zheng Q.,Liutova K.,2,0.00842684860998899,0.01685369721997798,1.2903225806451646
US Open,WTA,1st Round,Bouzkova M.,Jacquemot E.,2,0.009921816089216995,0.01984363217843399,0.917431192660545
US Open,WTA,1st Round,Sabalenka A.,Osorio M.,2,0.00382537459245047,0.00765074918490094,0.9708737864077666
US Open,WTA,1st Round,Navarro E.,Boisson L.,2,0.01135651629072676,0.02271303258145352,0.0
US Open,WTA,1st Round,Tagger L.,Korpatsch T.,2,0.00014208315768110547,0.00028416631536221093,0.8196721311475308
US Open,WTA,1st Round,Andreeva M.,Tjen J.,2,0.009171965534575777,0.018343931069151553,1.8018018018017834
US Open,WTA,1st Round,Jeanjean L.,Rus A.,2,0.0021228672785629787,0.0042457345571259575,2.0000000000000018
US Open,WTA,1st Round,Bouzas Maneiro J.,Vidmanova D.,2,0.0006265664160400863,0.0012531328320801727,2.1390374331550666
US Open,WTA,1st Round,Potapova A.,Semenistaja D.,2,0.004205211923332786,0.008410423846665571,0.8264462809917328
US Open,WTA,1st Round,Oliynykova O.,Brantmeier R.,2,0.0006265664160400863,0.0012531328320801727,1.0582010582010692
US Open,WTA,1st Round,Mertens E.,Quevedo K.,2,0.003089548737369552,0.006179097474739104,2.60869565217392
US Open,WTA,1st Round,Putintseva Y.,Bencic B.,2,0.0008317978680768418,0.0016635957361536835,9.649122807017552
US Open,WTA,1st Round,Bondar A.,Havlickova L.,2,0.0042234373583879825,0.008446874716775965,1.2820512820512775
US Open,WTA,1st Round,Starodubtseva Y.,Seidel E.,2,0.0010293148880105019,0.0020586297760210037,9.022556390977442
US Open,WTA,1st Round,Lys E.,Knutson G.,2,0.0044534763057765825,0.008906952611553165,4.294478527607359
US Open,WTA,1st Round,Rybakina E.,Frodin T.,2,0.001536041682027034,0.003072083364054068,1.9230769230769162
US Open,WTA,1st Round,Keys M.,Korneeva A.,2,0.011295845246920178,0.022591690493840355,1.4925373134328401
US Open,WTA,1st Round,Osaka N.,Zakharova A.,2,0.008049525940418634,0.016099051880837267,1.85185185185186
US Open,WTA,1st Round,Swiatek I.,Wang Xiy.,2,0.011201147791853494,0.022402295583706988,0.952380952380949
US Open,WTA,1st Round,Sakkari M.,Montgomery R.,2,0.005149317930441155,0.01029863586088231,0.6289308176100628
US Open,WTA,2nd Round,Townsend T.,Preston T.,2,0.01807042035055073,0.03614084070110146,1.6260162601626105
US Open,WTA,2nd Round,Alexandrova E.,Birrell K.,2,0.006371562709590883,0.012743125419181767,2.4590163934426146
US Open,WTA,2nd Round,Kalinskaya A.,Wang Xin.,2,0.0014088149253569937,0.0028176298507139874,0.694444444444442
US Open,WTA,2nd Round,Muchova K.,Boulter K.,2,0.009171965534575777,0.018343931069151553,0.8928571428571175
US Open,WTA,2nd Round,Rakhimova K.,Selekhmeteva O.,2,0.008430953892319237,0.016861907784638475,1.324503311258285
US Open,WTA,2nd Round,Kostyuk M.,Stephens S.,2,0.009833403118774842,0.019666806237549683,1.8018018018017834
US Open,WTA,2nd Round,Navarro E.,McNally C.,2,0.0030071574243664134,0.006014314848732827,1.744186046511631
US Open,WTA,2nd Round,Pegula J.,Kenin S.,2,0.012419438641373348,0.024838877282746696,0.0
