player,win_count,tournament_win_probability
Zverev A.,1979,0.1979
Medvedev D.,1648,0.1648
Fils A.,745,0.0745
Fritz T.,710,0.071
Shelton B.,616,0.0616
Mensik J.,432,0.0432
Musetti L.,411,0.0411
Lehecka J.,384,0.0384
Tiafoe F.,334,0.0334
Nakashima B.,251,0.0251
Paul T.,244,0.0244
Rublev A.,228,0.0228
Vacherot V.,213,0.0213
Jodar R.,148,0.0148
Norrie C.,145,0.0145
Tien L.,128,0.0128
Ruud C.,126,0.0126
Humbert U.,103,0.0103
Cobolli F.,100,0.01
Michelsen A.,95,0.0095
Fonseca J.,79,0.0079
Rinderknech A.,77,0.0077
Cerundolo F.,76,0.0076
Munar J.,75,0.0075
Cilic M.,75,0.0075
Etcheverry T.,47,0.0047
Monfils G.,35,0.0035
Collignon R.,33,0.0033
Buse I.,33,0.0033
Tsitsipas S.,30,0.003
Marozsan F.,30,0.003
Hanfmann Y.,30,0.003
Tabilo A.,28,0.0028
Shang J.,27,0.0027
Griekspoor T.,27,0.0027
Borges N.,23,0.0023
Droguet T.,21,0.0021
Moutet C.,20,0.002
Khachanov K.,20,0.002
Bergs Z.,19,0.0019
Diallo G.,18,0.0018
Faria J.,17,0.0017
Brooksby J.,16,0.0016
Atmane T.,15,0.0015
Kecmanovic M.,14,0.0014
Deminaur A.,13,0.0013
Hurkacz H.,11,0.0011
Blockx A.,9,0.0009
Cerundolo J.M.,6,0.0006
Tirante T.A.,6,0.0006
Darderi L.,5,0.0005
Kopriva V.,4,0.0004
Mejia N.,4,0.0004
Baez S.,3,0.0003
Merida Aguilar D.,3,0.0003
Altmaier D.,3,0.0003
Vandezandschulp B.,2,0.0002
Arnaldi M.,2,0.0002
Duckworth J.,2,0.0002
Popyrin A.,1,0.0001
Svajda Z.,1,0.0001
Struff J.L.,0,0.0
Sonego L.,0,0.0
Mochizuki S.,0,0.0
Giron M.,0,0.0
Mpetshiperricard G.,0,0.0
Chan D.,0,0.0
Burruchaga R.,0,0.0
Royer V.,0,0.0
Draxl L.,0,0.0
Majchrzak K.,0,0.0
Carrenobusta P.,0,0.0
Draper J.,0,0.0
Damm M.,0,0.0
Fearnley J.,0,0.0
Mannarino A.,0,0.0
Medjedovic H.,0,0.0
Galarneau A.,0,0.0
Walton A.,0,0.0
Bellucci M.,0,0.0
Navone M.,0,0.0
Berrettini M.,0,0.0
Andaluce M.,0,0.0
Fucsovics M.,0,0.0
Hijikata R.,0,0.0
Shapovalov D.,0,0.0
Ugocarabelli C.,0,0.0
O Connell C.,0,0.0
Bonzi B.,0,0.0
Kovacevic A.,0,0.0
Vallejo D.,0,0.0
Jacquet K.,0,0.0
Zheng M.,0,0.0
Shimabukuro S.,0,0.0
Vukic A.,0,0.0
Vanassche L.,0,0.0
