player,win_count,tournament_win_probability
Draper J.,1833,0.1833
Zverev A.,1750,0.175
Medvedev D.,1136,0.1136
Fritz T.,469,0.0469
Shelton B.,433,0.0433
Fils A.,424,0.0424
Shapovalov D.,323,0.0323
Musetti L.,251,0.0251
Michelsen A.,238,0.0238
Mensik J.,234,0.0234
Lehecka J.,227,0.0227
Tiafoe F.,219,0.0219
Nakashima B.,153,0.0153
Rublev A.,147,0.0147
Monfils G.,135,0.0135
Berrettini M.,125,0.0125
Norrie C.,124,0.0124
Munar J.,114,0.0114
Cilic M.,110,0.011
Tien L.,96,0.0096
Paul T.,95,0.0095
Tsitsipas S.,81,0.0081
Griekspoor T.,80,0.008
Vacherot V.,70,0.007
Humbert U.,62,0.0062
Ruud C.,59,0.0059
Brooksby J.,51,0.0051
Blockx A.,48,0.0048
Buse I.,46,0.0046
Cerundolo F.,44,0.0044
Marozsan F.,44,0.0044
Bonzi B.,38,0.0038
Cobolli F.,37,0.0037
Merida Aguilar D.,35,0.0035
Fonseca J.,35,0.0035
Moutet C.,35,0.0035
Hurkacz H.,33,0.0033
Hanfmann Y.,32,0.0032
Rinderknech A.,30,0.003
Majchrzak K.,29,0.0029
Shang J.,29,0.0029
Borges N.,28,0.0028
Etcheverry T.,26,0.0026
Fucsovics M.,25,0.0025
Droguet T.,24,0.0024
Burruchaga R.,24,0.0024
Kecmanovic M.,23,0.0023
Tabilo A.,22,0.0022
Sonego L.,21,0.0021
Jodar R.,16,0.0016
Diallo G.,16,0.0016
Vallejo D.,16,0.0016
Medjedovic H.,14,0.0014
Zheng M.,14,0.0014
Damm M.,11,0.0011
Vukic A.,11,0.0011
Mannarino A.,10,0.001
O'Connell C.,10,0.001
Tirante T.A.,9,0.0009
Faria J.,9,0.0009
Hijikata R.,8,0.0008
Vanassche L.,8,0.0008
Vandezandschulp B.,7,0.0007
Atmane T.,7,0.0007
Kopriva V.,7,0.0007
Carrenobusta P.,7,0.0007
Giron M.,6,0.0006
Bergs Z.,6,0.0006
Kovacevic A.,5,0.0005
Chan D.,5,0.0005
Andaluce M.,5,0.0005
Baez S.,4,0.0004
Collignon R.,4,0.0004
Mejia N.,4,0.0004
Mpetshiperricard G.,4,0.0004
Deminaur A.,3,0.0003
Khachanov K.,3,0.0003
Ugocarabelli C.,3,0.0003
Struff J.L.,2,0.0002
Popyrin A.,2,0.0002
Jacquet K.,2,0.0002
Cerundolo J.M.,2,0.0002
Galarneau A.,2,0.0002
Duckworth J.,2,0.0002
Bellucci M.,2,0.0002
Navone M.,1,0.0001
Fearnley J.,1,0.0001
Mochizuki S.,1,0.0001
Shimabukuro S.,1,0.0001
Darderi L.,1,0.0001
Altmaier D.,1,0.0001
Walton A.,1,0.0001
Royer V.,0,0.0
Draxl L.,0,0.0
Arnaldi M.,0,0.0
Svajda Z.,0,0.0
