player,win_count,tournament_win_probability
Sabalenka A.,4062,0.4062
Rybakina E.,2220,0.222
Pegula J.,888,0.0888
Gauff C.,641,0.0641
Swiatek I.,329,0.0329
Anisimova A.,176,0.0176
Bencic B.,155,0.0155
Svitolina E.,139,0.0139
Townsend T.,123,0.0123
Andreeva M.,111,0.0111
Osaka N.,99,0.0099
Lys E.,73,0.0073
Kessler M.,66,0.0066
Valentova T.,48,0.0048
Krejcikova B.,46,0.0046
Cirstea S.,40,0.004
Pliskova Ka.,40,0.004
Boulter K.,36,0.0036
Kostyuk M.,33,0.0033
Boisson L.,33,0.0033
Frech M.,32,0.0032
Bejlek S.,31,0.0031
Cocciaretto E.,28,0.0028
Bucsa C.,27,0.0027
Stearns P.,27,0.0027
Osorio M.,26,0.0026
Linette M.,26,0.0026
Jovic I.,26,0.0026
Zhang S.,25,0.0025
Noskova L.,25,0.0025
Birrell K.,23,0.0023
Putintseva Y.,22,0.0022
Oliynykova O.,22,0.0022
Gibson T.,19,0.0019
Tjen J.,18,0.0018
Kalinskaya A.,16,0.0016
Keys M.,15,0.0015
Bartunkova N.,14,0.0014
Korneeva A.,14,0.0014
Joint M.,14,0.0014
Wang Xin.,12,0.0012
Samsonova L.,12,0.0012
Sonmez Z.,12,0.0012
Parry D.,11,0.0011
Blinkova A.,11,0.0011
McNally C.,11,0.0011
Kasatkina D.,11,0.0011
Ito A.,9,0.0009
Korpatsch T.,8,0.0008
Ruzic A.,7,0.0007
Bouzkova M.,7,0.0007
Alexandrova E.,6,0.0006
Kudermetova P.,5,0.0005
Jimenez Kasintseva V.,5,0.0005
Sakkari M.,5,0.0005
Siniakova K.,5,0.0005
Tararudee L.,5,0.0005
Jones E.,4,0.0004
Mertens E.,4,0.0004
Zarazua R.,4,0.0004
Arseneault A.,3,0.0003
Parks A.,3,0.0003
Brace C.,3,0.0003
Golubic V.,3,0.0003
Cross K.,3,0.0003
Sramkova R.,2,0.0002
Bouzas Maneiro J.,2,0.0002
Tauson C.,2,0.0002
Shnaider D.,2,0.0002
Eala A.,2,0.0002
Udvardy P.,1,0.0001
Kalinina A.,1,0.0001
Stefanini L.,1,0.0001
Chwalinska M.,1,0.0001
Sierra S.,1,0.0001
Zhao C.,1,0.0001
Wang Xiy.,1,0.0001
Ruse E.G.,1,0.0001
Potapova A.,1,0.0001
Rakhimova K.,1,0.0001
Stephens S.,1,0.0001
Sebov K.,1,0.0001
Day K.,1,0.0001
Williams V.,0,0.0
Ostapenko J.,0,0.0
Jeanjean L.,0,0.0
Andreescu B.,0,0.0
Uchijima M.,0,0.0
Maria T.,0,0.0
Vekic D.,0,0.0
Marino R.,0,0.0
Navarro E.,0,0.0
Fernandez L.,0,0.0
Bondar A.,0,0.0
Starodubtseva Y.,0,0.0
Li A.,0,0.0
