player,hard_elo,clay_elo,grass_elo,overall_elo,hard_matches,clay_matches,grass_matches
Sinner J.,2155.556987453614,1928.6074179649713,1814.790533037001,2214.952835897123,225,73,41
Alcaraz C.,1993.0119455540798,1965.9019985204557,1817.7946544479094,2103.039711156187,174,106,37
Zverev A.,1867.9302693382324,1854.9346673065465,1698.1149060024309,1957.2252044974882,188,117,35
Djokovic N.,1930.5790607537926,1750.2642650323708,1750.6573602219219,1934.5506065481536,128,62,32
Fils A.,1757.1707711847246,1758.190405407971,1514.0899641237506,1863.7548237792923,83,52,12
Draper J.,1826.1981971468638,1631.5399618136612,1622.4190837663193,1819.2478215202684,95,32,27
Auger-Aliassime F.,1818.795997885301,1587.982371164347,1584.8179043324294,1797.2510459790883,200,59,30
Fritz T.,1730.0730760073723,1575.9583850369459,1752.0789042584322,1796.148979339412,210,52,58
Ruud C.,1656.5026433110118,1805.3113914352073,1780.1157161078656,1780.1157161078656,157,138,8
Musetti L.,1715.012941787354,1769.2537953793458,1614.2108893196526,1779.0476999683165,143,93,26
Medvedev D.,1841.2470386685216,1656.2786298085493,1636.6207194874419,1776.3183976740288,238,48,44
Paul T.,1713.1135123711313,1701.2926524982136,1645.7388070393188,1771.919874602498,187,55,46
Tiafoe F.,1701.0849748168491,1599.4150336267237,1639.5829406064956,1762.6578864642336,180,64,34
Rune H.,1739.0317243706838,1746.9188530103454,1554.6886201102457,1754.653012036877,147,76,21
Lehecka J.,1723.7232915172137,1601.1859192725417,1611.1294909005728,1750.3637810219893,130,46,28
De Minaur A.,1776.309649102132,1643.467626786694,1661.859677297408,1745.7718761790338,196,65,44
Cobolli F.,1592.8883589613495,1700.2655531839725,1583.1282220080564,1740.2589188626052,75,64,22
Mensik J.,1750.1783451058618,1658.4202408716194,1497.9668194838425,1735.3616783258415,72,29,16
Shelton B.,1763.8351177744871,1577.4240384727682,1605.1023790744794,1735.3423597893386,138,45,31
Cerundolo F.,1678.5851253979254,1681.9730835764237,1534.1870669526909,1734.7887707855682,95,132,23
Nadal R.,1673.6576470942941,1644.7590851790703,1724.6200269126057,1724.6200269126057,37,25,5
Jodar R.,1514.41967824401,1691.63260185442,1722.4877127021318,1722.4877127021318,11,22,3
Tien L.,1714.6220811511782,1571.8700724313514,1503.0686813974337,1719.810787195071,62,20,10
Korda S.,1697.5821516092637,1550.3574227627378,1565.9009095093675,1718.313111605049,154,38,18
Bublik A.,1676.1198548466893,1613.5203046146257,1666.8728796406608,1716.9130467657437,148,58,47
Davidovich Fokina A.,1649.6356280911564,1576.156059563594,1623.3043959255458,1715.8361052286077,154,66,30
Machac T.,1716.169549318628,1602.6561838707617,1709.0801873306375,1709.0801873306375,84,31,9
Vacherot V.,1641.3273189899528,1538.3328620523994,1695.0328961758598,1695.0328961758598,26,14,0
Fonseca J.,1634.2071846989932,1629.4195943504467,1499.9892686041712,1687.1159671223613,25,40,11
Kyrgios N.,1667.827198334156,1681.3006177054233,1569.4935104131134,1681.3006177054233,37,3,16
Rublev A.,1642.9472810913965,1690.8043272841073,1540.994372928591,1679.596037759905,220,90,21
Dimitrov G.,1703.4213200633972,1600.0956477795437,1641.4069997027339,1679.197830688225,149,51,24
Humbert U.,1675.9984555695385,1466.4934651474289,1562.562427402224,1671.0482085445672,136,38,44
Berrettini M.,1636.629197455714,1662.705100162967,1622.4860561530213,1669.6933255668714,87,44,27
Hurkacz H.,1572.3412011246091,1637.674938125928,1649.4902687977615,1667.0162819188097,150,60,29
Kokkinakis T.,1623.6768062709925,1498.984078313282,1647.1282997701753,1647.1282997701753,69,16,4
Majchrzak K.,1570.7768564846026,1446.5812475882294,1584.6886849984944,1629.2958214053845,45,18,15
Darderi L.,1435.149728328254,1706.1789298708898,1459.106457351272,1627.81775865641,41,85,14
Blockx A.,1627.1087534302778,1639.46428665574,1627.1087534302778,1627.1087534302778,9,15,2
Nakashima B.,1597.778158827208,1496.2727460813667,1576.9296610253048,1625.5278476890094,165,44,38
Rinderknech A.,1582.456991558633,1555.779588065389,1514.3108898994367,1623.8647839089401,118,53,31
Mmoh M.,1619.1575450697796,1619.3589738127757,1619.3589738127757,1619.3589738127757,30,7,2
Michelsen A.,1664.5448167548254,1476.2448118943082,1526.9991042674299,1619.0269735399568,97,28,26
