player,hard_elo,clay_elo,grass_elo,hard_elo_undamped,clay_elo_undamped,grass_elo_undamped,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Sinner J.,2161.9045376523754,2040.857436628618,1961.9926442484877,2154.425861098453,1950.857436628618,1871.9926442484877,2211.9045376523754,216,73,41,1.0,49.0,-0.04297396210580573
Alcaraz C.,2049.979918760896,2049.979918760896,1952.4658821014964,1994.824054360099,1970.8809272364563,1862.4658821014964,2099.979918760896,169,100,37,2.0,138.0,-0.17033831497506857
Zverev A.,1861.4296625833647,1861.4296625833647,1823.450205459196,1835.0429507844283,1856.0802666994077,1733.450205459196,1911.4296625833647,187,117,35,3.0,11.0,-0.07538690300304751
Djokovic N.,1898.952025311079,1853.4177759385989,1854.9968956010366,1898.952025311079,1763.4177759385989,1778.0420958738746,1904.9968956010366,129,62,32,5.0,15.0,-0.10207947129790051
Fils A.,1852.332288670777,1852.332288670777,1747.0281637463409,1812.3326755720602,1772.946380204171,1657.0281637463409,1902.332288670777,94,52,12,21.0,7.0,0.1872264271613827
Fritz T.,1770.112810630279,1692.2712483110604,1770.112810630279,1763.415473037505,1602.2712483110604,1758.5114885747403,1820.112810630279,210,52,58,9.0,9.0,0.07170487411232596
Tiafoe F.,1756.0883480650937,1707.5702140691071,1754.3602752836455,1756.0883480650937,1617.5702140691071,1667.1747139671588,1804.3602752836455,179,64,34,23.0,7.0,0.09113856475715987
Jodar R.,1744.2970359509588,1744.2970359509588,1744.2970359509588,1690.0476402554182,1715.0468925996906,1709.6758199471528,1794.2970359509588,24,22,3,11.0,11.0,0.08698982642463382
Auger-Aliassime F.,1808.2627156996523,1698.0411275304466,1714.1114028187542,1808.2627156996523,1608.0411275304466,1624.1114028187542,1793.9225770030046,196,59,30,4.0,10.0,0.04628061934252459
Shelton B.,1794.3510646704035,1693.4457901963676,1727.6731437694664,1794.3510646704035,1603.4457901963676,1637.6731437694664,1781.1297917951006,148,45,31,6.0,13.0,0.14016395897193812
Nakashima B.,1733.4180756329665,1621.7763248997646,1696.1273745473363,1733.4180756329665,1531.7763248997646,1606.1273745473363,1765.38506897932,166,44,38,22.0,7.0,0.2641836168829651
Draper J.,1769.7579412506147,1711.8072741665835,1711.8072741665835,1769.7579412506147,1652.8089548866817,1649.429921779737,1761.8072741665835,97,32,27,143.0,17.0,-0.2452634610954889
Musetti L.,1710.7914514572265,1766.775406470856,1710.7914514572265,1698.2398328585969,1766.775406470856,1645.0249032083382,1760.7914514572265,150,92,26,15.0,8.0,-0.07754867397723864
Paul T.,1709.7911902746303,1709.7911902746303,1709.7911902746303,1704.9411162863084,1706.443573667235,1660.4450467143995,1759.7911902746303,189,55,46,24.0,10.0,-0.074307815705969
Rune H.,1737.5601694855789,1744.9725018371967,1693.673295576593,1737.5601694855789,1744.9725018371967,1603.673295576593,1751.9371841801049,147,71,21,11.0,317.0,-0.03224538459415782
Ruud C.,1697.4655419874566,1779.1113943936405,1691.222163077637,1652.34844246246,1779.1113943936405,1601.222163077637,1747.4655419874566,153,129,8,14.0,22.0,-0.23475066301093117
Cobolli F.,1692.1092817818778,1692.1092817818778,1692.1092817818778,1637.7815787096365,1680.9813277302676,1621.414982999511,1742.1092817818778,81,65,22,10.0,8.0,0.021314562456132946
De Minaur A.,1745.3529364951082,1687.9232931305778,1687.9232931305778,1745.3529364951082,1650.9973346636898,1672.0100994014717,1737.9232931305778,200,65,44,8.0,11.0,-0.058183919688620134
