player,hard_elo,clay_elo,grass_elo,hard_elo_undamped,clay_elo_undamped,grass_elo_undamped,overall_elo,hard_matches,clay_matches,grass_matches,current_rank,days_since_last_match,recent_form_residual
Sabalenka A.,2086.7438964283847,1931.4474598603435,1819.9081263150938,2086.7438964283847,1841.4474598603435,1729.9081263150938,2037.2559963763097,348,125,60,1,28,-0.1786898626361385
Pegula J.,1937.050289719163,1805.9499033827901,1796.4782706167089,1937.050289719163,1715.9499033827901,1706.4782706167089,1957.5084355324782,285,81,44,3,1,0.038125390087163535
Rybakina E.,1986.6373076043737,1881.2194056489288,1754.3822110678293,2003.4457024246651,1791.2194056489288,1664.3822110678293,1936.6373076043737,251,90,50,2,29,-0.3929162460257165
Muchova K.,1871.228136806164,1790.3883806550325,1765.5668422693348,1871.228136806164,1700.3883806550325,1675.5668422693348,1918.2895467195824,165,52,32,9,22,0.16217575779356053
Gauff C.,1878.221787028138,1867.9332586034977,1734.4975823249506,1878.221787028138,1830.0317187343749,1644.4975823249506,1917.9332586034977,229,100,39,7,24,-0.06107903767510425
Kostyuk M.,1843.1529616044813,1859.8286856289287,1700.6447301132157,1753.1529616044813,1788.562340971085,1610.6447301132157,1909.8286856289287,166,62,28,13,24,0.0846664439503867
Swiatek I.,1851.1040639967644,1878.590082910258,1812.2835092130144,1851.1040639967644,1878.590082910258,1722.2835092130144,1881.689151256901,230,124,37,3,29,-0.14542695207922807
Andreeva M.,1828.0732191270217,1849.9632926064585,1722.755575689579,1771.6897613963827,1849.9632926064585,1632.755575689579,1878.0732191270217,88,67,16,5,32,0.02169400792487608
Noskova L.,1792.9767100219456,1698.8576172160704,1823.6349312999923,1702.9767100219456,1608.8576172160704,1736.0645824908527,1873.6349312999923,112,35,34,12,22,0.35671481191431775
Svitolina E.,1816.676668131624,1825.5754840957904,1701.8115129599705,1801.7636565515054,1825.5754840957904,1611.8115129599705,1866.676668131624,424,158,56,10,1,-0.22908021092848319
Barty A.,1809.4039171973764,1737.5481556192249,1725.5010435079805,1781.56852041228,1647.5481556192249,1635.5010435079805,1859.4039171973764,168,50,41,1,1646,0.13992020456136134
Osaka N.,1807.838012237406,1749.8646971644946,1746.4009464400037,1765.2293271030421,1659.8646971644946,1656.4009464400037,1857.838012237406,240,66,40,13,1,0.06886274669182724
Anisimova A.,1831.5443465680298,1682.9988147025965,1771.1897112409695,1831.5443465680298,1592.9988147025965,1681.1897112409695,1840.6877674284879,159,64,38,6,29,-0.20579246326718525
Mboko V.,1831.8062156713859,1754.9276592938083,1784.6804095258915,1831.8062156713859,1664.9276592938083,1760.0880996101,1834.6804095258915,46,13,2,9,64,-0.11545767373342564
Bencic B.,1778.2222021764428,1755.190618859391,1746.7696635732807,1778.2222021764428,1665.190618859391,1656.7696635732807,1818.66172922961,290,94,73,11,28,0.01156014493492008
Vondrousova M.,1751.4883950364895,1731.5803196938427,1751.4883950364895,1692.65869282195,1641.5803196938427,1690.0557269967617,1801.4883950364895,155,72,30,34,201,-0.013768935308232533
