player,tour,status,hand,backhand,wikipedia_title,raw_plays,height_cm,height_status,birth_year,birth_year_status
Added D.,ATP,resolved,Right-handed,two-handed,Dan Added,Right-handed (two-handed backhand),183.0,resolved,1999,resolved
Agamenone F.,ATP,resolved,Right-handed,two-handed,Franco Agamenone,Right-handed (two-handed backhand),191.0,resolved,1993,resolved
Ajdukovic D.,ATP,resolved,Right-handed,two-handed,Duje Ajduković,Right-handed (two-handed backhand)<ref>{{Cite web |url=https://www.atptour.com/en/players/duje-ajdukovic/a0cj/overview |title=Duje Ajdukovic &#124; Overview |website=ATP Tour |access-date=19 July 2021 |archive-date=21 July 2021 |archive-url=https://web.archive.org/web/20210721153434/https://www.atptour.com/en/players/duje-ajdukovic/a0cj/overview |url-status=live}}</ref>,188.0,resolved,2001,resolved
Albot R.,ATP,resolved,Right-handed,two-handed,Radu Albot,Right-handed <br />(two-handed backhand),175.0,resolved,1989,resolved
Alcaraz C.,ATP,resolved,Right-handed,two-handed,Carlos Alcaraz,Right-handed (two-handed backhand),183.0,resolved,2003,resolved
Altmaier D.,ATP,resolved,Right-handed,one-handed,Daniel Altmaier,Right-handed (one-handed backhand),188.0,resolved,1998,resolved
Alvarez Valdes L.C.,ATP,unresolved_name,,,,,,,,
Alvarez Varona N.,ATP,resolved,Right-handed,two-handed,Nicolás Álvarez Varona,Right-handed (two-handed backhand),188.0,resolved,2001,resolved
Alves M.,ATP,no_infobox,,,Michelle Alves,,180.0,resolved,1978,resolved
Anderson K.,ATP,unresolved_name,,,,,,,,
Andreev A.,ATP,resolved,Right-handed,two-handed,Adrian Andreev,Right-handed (two-handed backhand),180.0,resolved,2001,resolved
Andreozzi G.,ATP,resolved,Right-handed,two-handed,Guido Andreozzi,Right-handed <br/>(two-handed backhand),183.0,resolved,1991,resolved
Andujar P.,ATP,resolved,Right-handed,two-handed,Pablo Andújar,Right-handed (two-handed backhand),180.0,resolved,1986,resolved
Arnaldi M.,ATP,resolved,Right-handed,two-handed,Matteo Arnaldi,Right-handed (two-handed backhand),185.0,resolved,2001,resolved
Arseneault N.,ATP,resolved,Left-handed,two-handed,Nicolas Arseneault,Left-handed (two-handed backhand),183.0,resolved,2007,resolved
Atmane T.,ATP,resolved,Left-handed,two-handed,Térence Atmane,Left-handed (two-handed backhand),193.0,resolved,2002,resolved
Auger-Aliassime F.,ATP,resolved,Right-handed,two-handed,Félix Auger-Aliassime,Right-handed (two-handed backhand),193.0,resolved,2000,resolved
Baadi T.,ATP,resolved,Right-handed,two-handed,Taha Baadi,Right-handed (two-handed backhand),183.0,resolved,2001,resolved
Baez S.,ATP,resolved,Right-handed,two-handed,Sebastián Báez,Right-handed (two-handed backhand),170.0,resolved,2000,resolved
Bagnis F.,ATP,resolved,Left-handed,two-handed,Facundo Bagnis,Left-handed (two-handed backhand),183.0,resolved,1990,resolved
Bailly G.,ATP,resolved,Right-handed,two-handed,Gilles-Arnaud Bailly,Right-handed (two-handed backhand),180.0,resolved,2005,resolved
Bailly G.A.,ATP,resolved,Right-handed,two-handed,Gilles-Arnaud Bailly,Right-handed (two-handed backhand),180.0,resolved,2005,resolved
Balazs A.,ATP,resolved,Right-handed,two-handed,Attila Balázs,Right-handed (two-handed backhand),180.0,resolved,1988,resolved
Balshaw F.,ATP,resolved,Right-handed,one-handed,Felix Balshaw,Right-handed (one-handed backhand),191.0,resolved,2006,resolved
Barranco Cosano J.,ATP,resolved,Left-handed,two-handed,Javier Barranco Cosano,Left-handed (two handed-backhand),178.0,resolved,1998,resolved
Barrena A.,ATP,resolved,Right-handed,two-handed,Alex Barrena,Right-handed (two-handed backhand),175.0,resolved,2002,resolved
Barrere G.,ATP,resolved,Right-handed,two-handed,Grégoire Barrère,Right-handed (two-handed backhand),183.0,resolved,1994,resolved
Barrientos N.,ATP,resolved,Right-handed,two-handed,Nicolás Barrientos,Right-handed (two-handed backhand),175.0,resolved,1987,resolved
Barrios M.,ATP,no_infobox,,,Mario Barrios,,182.9,resolved,1995,resolved
Barrios Vera T.,ATP,resolved,Right-handed,two-handed,Tomás Barrios Vera,Right-handed (two-handed backhand),191.0,resolved,1997,resolved
Basavareddy N.,ATP,resolved,Right-handed,two-handed,Nishesh Basavareddy,Right-handed (two-handed backhand),180.3,resolved,2005,resolved
Basic M.,ATP,resolved,Right-handed,two-handed,Mirza Bašić,Right-handed (two-handed backhand),188.0,resolved,1991,resolved
Basilashvili N.,ATP,resolved,Right-handed,two-handed,Nikoloz Basilashvili,Right-handed (two-handed backhand),185.0,resolved,1992,resolved
Basing M.,ATP,resolved,Right-handed,two-handed,Max Basing,Right-handed (two-handed backhand),180.0,resolved,2002,resolved
Bautista Agut R.,ATP,resolved,Right-handed,two-handed,Roberto Bautista Agut,Right-handed (two-handed backhand),183.0,resolved,1988,resolved
Becroft I.,ATP,resolved,Right-handed,two-handed,Isaac Becroft,Right-handed (two-handed backhand),180.0,resolved,2000,resolved
Bedene A.,ATP,unresolved_name,,,,,,,,
Bellier A.,ATP,resolved,Left-handed,one-handed,Antoine Bellier,Left-handed (one-handed backhand),195.0,resolved,1996,resolved
Bellucci M.,ATP,resolved,Left-handed,two-handed,Mattia Bellucci,Left-handed (two-handed backhand),175.0,resolved,2001,resolved
Bellucci T.,ATP,resolved,Left-handed,two-handed,Thomaz Bellucci,Left-handed (two-handed backhand),188.0,resolved,1987,resolved
Benchetrit E.,ATP,resolved,Right-handed,two-handed,Elliot Benchetrit,Right-handed (two-handed backhand),193.0,resolved,1998,resolved
Bennani K.,ATP,resolved,Right-handed,two-handed,Karim Bennani (tennis),Right-handed (two-handed backhand),183.0,resolved,2007,resolved
Bennani R.,ATP,resolved,Right-handed,two-handed,Reda Bennani,Right-handed (two-handed backhand),178.0,resolved,2007,resolved
Berankis R.,ATP,resolved,Right-handed,two-handed,Ričardas Berankis,Right-handed (two-handed backhand),175.0,resolved,1990,resolved
Bergs Z.,ATP,resolved,Right-handed,two-handed,Zizou Bergs,Right-handed (two-handed backhand),185.0,resolved,1999,resolved
Bernet H.,ATP,resolved,Right-handed,one-handed,Henry Bernet,Right-handed (one-handed backhand),191.0,resolved,2007,resolved
Berrettini J.,ATP,missing_plays_field,,,Jacopo Berrettini,,191.0,resolved,1998,resolved
Berrettini M.,ATP,resolved,Right-handed,two-handed,Matteo Berrettini,Right-handed (two-handed backhand),196.0,resolved,1996,resolved
Bertola R.,ATP,resolved,Right-handed,one-handed,Rémy Bertola,Right-handed (one-handed backhand),175.0,resolved,1998,resolved
Bhambri Y.,ATP,resolved,Right-handed,two-handed,Yuki Bhambri,Right-handed (two-handed backhand),185.0,resolved,1992,resolved
Blancaneaux G.,ATP,resolved,Right-handed,two-handed,Geoffrey Blancaneaux,Right-handed (two handed-backhand),180.0,resolved,1998,resolved
Blanch D.,ATP,resolved,Left-handed,two-handed,Darwin Blanch,Left-handed (two-handed backhanded),193.0,resolved,2007,resolved
Blanch Dar.,ATP,unresolved_name,,,,,,,,
Blanchet U.,ATP,resolved,Right-handed,two-handed,Ugo Blanchet,Right-handed (two-handed backhand),175.0,resolved,1999,resolved
Blockx A.,ATP,resolved,Right-handed,two-handed,Alexander Blockx,Right-handed (two-handed backhand),193.0,resolved,2005,resolved
Blumberg W.,ATP,resolved,Right-handed,two-handed,William Blumberg,Right-handed (two-handed backhand),188.0,resolved,1998,resolved
Boitan G.A.,ATP,unresolved_name,,,,,,,,
Bolt A.,ATP,resolved,Left-handed,two-handed,Alex Bolt,Left-handed (two-handed backhand),183.0,resolved,1993,resolved
Bonadio R.,ATP,resolved,Right-handed,one-handed,Riccardo Bonadio,Right-handed (one-handed backhand),180.0,resolved,1993,resolved
Bonzi B.,ATP,resolved,Right-handed,two-handed,Benjamin Bonzi,Right-handed (two-handed backhand),183.0,resolved,1996,resolved
Boogaard T.,ATP,resolved,Right-handed,two-handed,Thijs Boogaard,Right-handed (two-handed backhand),183.0,resolved,2008,resolved
Borg L.,ATP,resolved,Right-handed,two-handed,Leo Borg,Right-handed (two-handed backhand),183.0,resolved,2003,resolved
Borges N.,ATP,resolved,Right-handed,two-handed,Nuno Borges (tennis),Right-handed (two-handed backhand),185.0,resolved,1997,resolved
Bourgue M.,ATP,resolved,Right-handed,two-handed,Mathias Bourgue,Right-handed (two-handed backhand),188.0,resolved,1994,resolved
