player,win_count,tournament_win_probability
Sabalenka A.,4099,0.4099
Rybakina E.,2285,0.2285
Pegula J.,817,0.0817
Gauff C.,622,0.0622
Swiatek I.,296,0.0296
Anisimova A.,184,0.0184
Svitolina E.,167,0.0167
Bencic B.,145,0.0145
Townsend T.,123,0.0123
Andreeva M.,119,0.0119
Osaka N.,101,0.0101
Valentova T.,66,0.0066
Kessler M.,56,0.0056
Pliskova Ka.,47,0.0047
Stearns P.,44,0.0044
Krejcikova B.,43,0.0043
Bejlek S.,39,0.0039
Kostyuk M.,38,0.0038
Cirstea S.,37,0.0037
Boulter K.,34,0.0034
Cocciaretto E.,34,0.0034
Oliynykova O.,33,0.0033
Boisson L.,32,0.0032
Keys M.,31,0.0031
Bucsa C.,29,0.0029
Frech M.,28,0.0028
Putintseva Y.,25,0.0025
Osorio M.,24,0.0024
Noskova L.,23,0.0023
Ruzic A.,21,0.0021
McNally C.,20,0.002
Tjen J.,20,0.002
Sonmez Z.,19,0.0019
Kalinskaya A.,17,0.0017
Parry D.,17,0.0017
Zhang S.,15,0.0015
Samsonova L.,15,0.0015
Jovic I.,14,0.0014
Zarazua R.,13,0.0013
Bartunkova N.,12,0.0012
Korneeva A.,12,0.0012
Wang Xin.,12,0.0012
Korpatsch T.,10,0.001
Gibson T.,10,0.001
Birrell K.,10,0.001
Jimenezkasintseva V.,9,0.0009
Kalinina A.,9,0.0009
Inette M.,8,0.0008
Kasatkina D.,8,0.0008
Jones E.,7,0.0007
Mertens E.,7,0.0007
Ito A.,7,0.0007
Tararudee L.,7,0.0007
Sakkari M.,6,0.0006
Joint M.,6,0.0006
Kudermetova P.,6,0.0006
Shnaider D.,6,0.0006
Ys E.,6,0.0006
Parks A.,5,0.0005
Tauson C.,4,0.0004
Arseneault A.,4,0.0004
Bouzasmaneiro J.,3,0.0003
Eala A.,3,0.0003
Ostapenko J.,3,0.0003
Sramkova R.,3,0.0003
Brace C.,3,0.0003
Blinkova A.,3,0.0003
Chwalinska M.,2,0.0002
Ruse E.G.,2,0.0002
Rakhimova K.,2,0.0002
Bouzkova M.,2,0.0002
Udvardy P.,2,0.0002
Cross K.,1,0.0001
Starodubtseva Y.,1,0.0001
Day K.,1,0.0001
Zhao C.,1,0.0001
Sebov K.,1,0.0001
Andreescu B.,1,0.0001
Stefanini L.,1,0.0001
Alexandrova E.,1,0.0001
Wang Xiy.,1,0.0001
Williams V.,0,0.0
Jeanjean L.,0,0.0
Potapova A.,0,0.0
Uchijima M.,0,0.0
Siniakova K.,0,0.0
Vekic D.,0,0.0
Golubic V.,0,0.0
Sierra S.,0,0.0
Stephens S.,0,0.0
Maria T.,0,0.0
Marino R.,0,0.0
Fernandez L.,0,0.0
Navarro E.,0,0.0
Bondar A.,0,0.0
Li A.,0,0.0
