player,win_count,tournament_win_probability,upcoming_opponent,upcoming_match_win_probability
Alcaraz C.,117,0.39,Safiullin R.,0.9290338923638062
Zverev A.,36,0.12,Sonego L.,0.8264371035199825
Auger-Aliassime F.,27,0.09,Hijikata R.,0.806996356585576
Medvedev D.,17,0.056666666666666664,Gaston H.,0.8762779824916236
Shelton B.,16,0.05333333333333334,Griekspoor T.,0.7587356154968359
De Minaur A.,13,0.043333333333333335,Guerrieri A.,0.7933264760231931
Musetti L.,11,0.03666666666666667,Fery A.,0.6726045607101723
Tiafoe F.,11,0.03666666666666667,Damm M.,0.779374965093345
Tien L.,8,0.02666666666666667,Borges N.,0.6191627617540015
Cobolli F.,7,0.023333333333333334,Comesana F.,0.7482892787575045
Jodar R.,5,0.016666666666666666,Bu Y.,0.8372859615337916
Fritz T.,5,0.016666666666666666,Blanch D.,0.8555087776856373
Mensik J.,4,0.013333333333333334,Mochizuki S.,0.8366854360541974
Michelsen A.,4,0.013333333333333334,Cina F.,0.7808099533952982
Cerundolo F.,3,0.01,Misolic F.,0.7190031902500837
Nakashima B.,3,0.01,Baez S.,0.7472598470297791
Paul T.,3,0.01,Wong C.,0.7460977131213956
Lehecka J.,2,0.006666666666666667,Carreno Busta P.,0.7319855675006706
Tsitsipas S.,2,0.006666666666666667,Fils A.,0.20084872256098907
Svrcina D.,1,0.0033333333333333335,Royer V.,0.5552726355134838
Bergs Z.,1,0.0033333333333333335,Taberner C.,0.6419305691549947
Van De Zandschulp B.,1,0.0033333333333333335,Choinski J.,0.732601017421535
Monfils G.,1,0.0033333333333333335,Vallejo D.,0.5631258166454242
Vacherot V.,1,0.0033333333333333335,Kovacevic A.,0.5892129811476847
Merida Aguilar D.,1,0.0033333333333333335,Fucsovics M.,0.6419188705989529
Sonego L.,0,0.0,Zverev A.,0.17356289648001755
Halys Q.,0,0.0,Diaz Acosta F.,0.681574138515897
Diaz Acosta F.,0,0.0,Halys Q.,0.318425861484103
Dimitrov G.,0,0.0,Popyrin A.,0.7047457753076962
Popyrin A.,0,0.0,Dimitrov G.,0.2952542246923038
Hanfmann Y.,0,0.0,Tabilo A.,0.4540590130728917
Tabilo A.,0,0.0,Hanfmann Y.,0.5459409869271084
