player,opponent,market_probability,model_probability,difference
Auger-Aliassime F.,Shevchenko A.,0.9433962264150945,0.5313205260481202,-0.4120757003669743
Shevchenko A.,Auger-Aliassime F.,0.05660377358490567,0.4686794739518798,0.41207570036697416
Hurkacz H.,Ruud C.,0.6563245823389022,0.27447710523306335,-0.3818474771058389
Ruud C.,Hurkacz H.,0.3436754176610979,0.7255228947669367,0.3818474771058388
Navone M.,Cobolli F.,0.23809523809523808,0.5943732831572095,0.3562780450619714
Cobolli F.,Navone M.,0.7619047619047619,0.4056267168427905,-0.35627804506197136
Marozsan F.,Tirante T.A.,0.6563245823389022,0.3129560856475535,-0.3433684966913487
Tirante T.A.,Marozsan F.,0.3436754176610979,0.6870439143524465,0.3433684966913486
Blockx A.,Zverev A.,0.13580246913580246,0.4779703621543028,0.3421678930185003
Zverev A.,Blockx A.,0.8641975308641975,0.5220296378456972,-0.34216789301850026
De Jong J.,Hijikata R.,0.28118393234672306,0.5790747686402207,0.2978908362934976
Hijikata R.,De Jong J.,0.7188160676532769,0.42092523135977933,-0.29789083629349755
Gaubas V.,Jacquet K.,0.2982456140350877,0.584809456030743,0.28656384199565527
Jacquet K.,Gaubas V.,0.7017543859649122,0.41519054396925703,-0.2865638419956552
Basing M.,Mochizuki S.,0.3181818181818181,0.5962542807843678,0.2780724626025497
Mochizuki S.,Basing M.,0.6818181818181818,0.4037457192156322,-0.2780724626025496
Llamas Ruiz P.,Svajda Z.,0.2982456140350877,0.5614789949488406,0.26323338091375287
Svajda Z.,Llamas Ruiz P.,0.7017543859649122,0.43852100505115943,-0.2632333809137528
Paul T.,Muller A.,0.9357454772301934,0.6781053594874484,-0.257640117742745
Muller A.,Paul T.,0.06425452276980662,0.32189464051255157,0.257640117742745
Kokkinakis T.,Bublik A.,0.2982456140350877,0.5194680130899783,0.22122239905489055
Bublik A.,Kokkinakis T.,0.7017543859649122,0.48053198691002175,-0.2212223990548905
De Minaur A.,Burruchaga R.,0.9357454772301934,0.721275023630375,-0.21447045359981842
Burruchaga R.,De Minaur A.,0.06425452276980662,0.278724976369625,0.2144704535998184
Borges N.,Boyer T.,0.7291666666666667,0.5202425268720422,-0.20892413979462454
Boyer T.,Borges N.,0.27083333333333337,0.4797574731279578,0.20892413979462443
Dzumhur D.,Fery A.,0.2198198198198198,0.4276217990306158,0.20780197921079602
Fery A.,Dzumhur D.,0.7801801801801801,0.5723782009693842,-0.2078019792107959
Cerundolo J.M.,Davidovich Fokina A.,0.2198198198198198,0.41288296293110444,0.19306314311128464
Davidovich Fokina A.,Cerundolo J.M.,0.7801801801801801,0.5871170370688956,-0.19306314311128447
Samuel T.,Mensik J.,0.3181818181818181,0.510219071690955,0.19203725350913692
Mensik J.,Samuel T.,0.6818181818181818,0.48978092830904496,-0.1920372535091368
Arnaldi M.,Halys Q.,0.43152454780361754,0.619586544467536,0.18806199666391848
Halys Q.,Arnaldi M.,0.5684754521963824,0.380413455532464,-0.18806199666391843
Collignon R.,Fils A.,0.43152454780361754,0.6132781555780543,0.18175360777443678
Fils A.,Collignon R.,0.5684754521963824,0.3867218444219457,-0.18175360777443672
Trungelliti M.,Damm M.,0.23809523809523808,0.41299461196837095,0.17489937387313287
Damm M.,Trungelliti M.,0.7619047619047619,0.587005388031629,-0.1748993738731328
Pinnington Jones J.,Nakashima B.,0.2198198198198198,0.38954249350649417,0.16972267368667437
Nakashima B.,Pinnington Jones J.,0.7801801801801801,0.6104575064935058,-0.16972267368667426
Harris B.,Khachanov K.,0.25595238095238093,0.4172751709610246,0.1613227900086437
Khachanov K.,Harris B.,0.744047619047619,0.5827248290389754,-0.16132279000864358
Royer V.,Wendelken H.,0.5483028720626633,0.40385868365292976,-0.1444441884097335
Wendelken H.,Royer V.,0.4516971279373368,0.5961413163470702,0.14444418840973344
Djokovic N.,Wu Y.,0.9128630705394192,0.7734895917434982,-0.139373478795921
Wu Y.,Djokovic N.,0.08713692946058092,0.22651040825650184,0.13937347879592094
Atmane T.,Tiafoe F.,0.21052631578947367,0.34935276178012653,0.13882644599065286
Tiafoe F.,Atmane T.,0.7894736842105263,0.6506472382198735,-0.13882644599065286
Kecmanovic M.,Sinner J.,0.045888232621535664,0.18021783979722952,0.13432960717569387
Sinner J.,Kecmanovic M.,0.9541117673784643,0.8197821602027705,-0.13432960717569375
Molcan A.,Altmaier D.,0.47368421052631576,0.6045798797071936,0.13089566918087786
Altmaier D.,Molcan A.,0.5263157894736842,0.3954201202928064,-0.1308956691808778
Kypson P.,McDonald M.,0.28118393234672306,0.4019274283926167,0.12074349604589363
McDonald M.,Kypson P.,0.7188160676532769,0.5980725716073834,-0.12074349604589352
Mannarino A.,Droguet T.,0.6203473945409429,0.5000486272715223,-0.12029876726942057
Droguet T.,Mannarino A.,0.3796526054590571,0.4999513727284776,0.12029876726942051
Sonego L.,Etcheverry T.,0.5263157894736842,0.6454746540071788,0.11915886453349467
Etcheverry T.,Sonego L.,0.47368421052631576,0.35452534599282115,-0.11915886453349461
Tarvet O.,Rinderknech A.,0.43152454780361754,0.537418503712848,0.10589395590923051
Rinderknech A.,Tarvet O.,0.5684754521963824,0.46258149628715195,-0.10589395590923045
Cilic M.,Medvedev D.,0.28118393234672306,0.38676058266567914,0.10557665031895608
Medvedev D.,Cilic M.,0.7188160676532769,0.6132394173343209,-0.10557665031895602
Kopriva V.,Choinski J.,0.586734693877551,0.6914900084850852,0.10475531460753429
Choinski J.,Kopriva V.,0.413265306122449,0.30850999151491476,-0.10475531460753423
Buse I.,Nava E.,0.586734693877551,0.6844932535709823,0.09775855969343139
Nava E.,Buse I.,0.413265306122449,0.31550674642901766,-0.09775855969343134
Brooksby J.,Vukic A.,0.6563245823389022,0.5625720241414014,-0.09375255819750083
Vukic A.,Brooksby J.,0.3436754176610979,0.4374279758585986,0.09375255819750072
Munar J.,Cerundolo F.,0.25595238095238093,0.34876568992419676,0.09281330897181583
Cerundolo F.,Munar J.,0.744047619047619,0.6512343100758032,-0.09281330897181572
Bautista Agut R.,Fonseca J.,0.25595238095238093,0.33347616171315175,0.07752378076077082
Fonseca J.,Bautista Agut R.,0.744047619047619,0.6665238382868482,-0.07752378076077071
Shelton B.,Virtanen O.,0.7894736842105263,0.7196584820830982,-0.06981520212742809
Virtanen O.,Shelton B.,0.21052631578947367,0.2803415179169017,0.06981520212742803
Fritz T.,Lajovic D.,0.9128630705394192,0.8434437527150644,-0.06941931782435473
Lajovic D.,Fritz T.,0.08713692946058092,0.15655624728493556,0.06941931782435463
Walton A.,Prizmic D.,0.4516971279373368,0.3836773378882058,-0.068019790049131
Prizmic D.,Walton A.,0.5483028720626633,0.6163226621117942,0.06801979004913095
Tien L.,Svrcina D.,0.8641975308641975,0.7973092973643061,-0.06688823349989137
Svrcina D.,Tien L.,0.13580246913580246,0.20269070263569383,0.06688823349989137
Sweeny D.,Dimitrov G.,0.23809523809523808,0.3016344259446642,0.06353918784942614
Dimitrov G.,Sweeny D.,0.7619047619047619,0.6983655740553358,-0.06353918784942603
Faria J.,Shimabukuro S.,0.47368421052631576,0.5361343065107803,0.06245009598446455
Shimabukuro S.,Faria J.,0.5263157894736842,0.4638656934892197,-0.06245009598446449
Wawrinka S.,Berrettini M.,0.2198198198198198,0.2817283061951342,0.06190848637531443
Berrettini M.,Wawrinka S.,0.7801801801801801,0.7182716938048658,-0.06190848637531432
Hanfmann Y.,Mpetshi G.,0.413265306122449,0.46784882393304883,0.054583517810599835
Mpetshi G.,Hanfmann Y.,0.586734693877551,0.5321511760669512,-0.05458351781059978
Majchrzak K.,Tabilo A.,0.6563245823389022,0.6029881908698671,-0.05333639146903513
Tabilo A.,Majchrzak K.,0.3436754176610979,0.3970118091301329,0.053336391469035016
Humbert U.,Bergs Z.,0.6368038740920097,0.5942752207050184,-0.0425286533869913
Bergs Z.,Humbert U.,0.36319612590799033,0.40572477929498163,0.0425286533869913
Van De Zandschulp B.,Kovacevic A.,0.6203473945409429,0.5833186122662765,-0.03702878227466644
Kovacevic A.,Van De Zandschulp B.,0.3796526054590571,0.41668138773372354,0.03702878227466644
Baez S.,Struff J.L.,0.2982456140350877,0.3278577912684453,0.029612177233357573
Struff J.L.,Baez S.,0.7017543859649122,0.6721422087315547,-0.029612177233357517
Giron M.,Moutet C.,0.5483028720626633,0.521164382224777,-0.027138489837886248
Moutet C.,Giron M.,0.4516971279373368,0.478835617775223,0.027138489837886193
Gaston H.,Tsitsipas S.,0.3436754176610979,0.3201450674622913,-0.02353035019880656
Tsitsipas S.,Gaston H.,0.6563245823389022,0.6798549325377087,0.02353035019880645
Griekspoor T.,Duckworth J.,0.6563245823389022,0.6338439463635367,-0.022480635975365537
Duckworth J.,Griekspoor T.,0.3436754176610979,0.3661560536364633,0.022480635975365426
Darderi L.,Quinn E.,0.36319612590799033,0.38378281522830826,0.02058668932031793
Quinn E.,Darderi L.,0.6368038740920097,0.6162171847716917,-0.02058668932031793
Gill F.,Jodar R.,0.1716867469879518,0.18826080082619223,0.016574053838240427
Jodar R.,Gill F.,0.8283132530120482,0.8117391991738078,-0.0165740538382404
Popyrin A.,Lehecka J.,0.23809523809523808,0.252914482438538,0.014819244343299898
Lehecka J.,Popyrin A.,0.7619047619047619,0.747085517561462,-0.014819244343299842
Rublev A.,Safiullin R.,0.6563245823389022,0.6482650709243147,-0.008059511414587495
Safiullin R.,Rublev A.,0.3436754176610979,0.35173492907568527,0.008059511414587384
Ofner S.,Medjedovic H.,0.3436754176610979,0.33758452362194813,-0.006090894039149752
Medjedovic H.,Ofner S.,0.6563245823389022,0.6624154763780519,0.006090894039149641
Norrie C.,Zheng M.,0.6025316455696202,0.6074082935453227,0.0048766479757024195
Zheng M.,Norrie C.,0.39746835443037976,0.3925917064546774,-0.004876647975702364
Michelsen A.,Fearnley J.,0.586734693877551,0.5886731929686166,0.001938499091065693
Fearnley J.,Michelsen A.,0.413265306122449,0.41132680703138336,-0.0019384990910656374
Mejia N.,Vallejo D.,0.43152454780361754,0.43261126490013657,0.0010867170965190298
Vallejo D.,Mejia N.,0.5684754521963824,0.5673887350998634,-0.0010867170965189743
