player,win_count,tournament_win_probability
Ruud C.,1173,0.1173
Djokovic N.,1072,0.1072
Fritz T.,1049,0.1049
Sinner J.,925,0.0925
Tien L.,709,0.0709
Jodar R.,651,0.0651
Fonseca J.,366,0.0366
De Minaur A.,243,0.0243
Berrettini M.,235,0.0235
Kokkinakis T.,203,0.0203
Shelton B.,200,0.02
Zverev A.,186,0.0186
Blockx A.,165,0.0165
Dimitrov G.,156,0.0156
Tiafoe F.,153,0.0153
Paul T.,133,0.0133
Bublik A.,124,0.0124
Medvedev D.,118,0.0118
Tirante T.A.,110,0.011
Navone M.,98,0.0098
Lehecka J.,84,0.0084
Majchrzak K.,83,0.0083
Collignon R.,71,0.0071
Buse I.,69,0.0069
Davidovich Fokina A.,63,0.0063
Hurkacz H.,62,0.0062
Khachanov K.,59,0.0059
Humbert U.,57,0.0057
Rublev A.,55,0.0055
Arnaldi M.,54,0.0054
Griekspoor T.,53,0.0053
Prizmic D.,50,0.005
Kopriva V.,45,0.0045
Molcan A.,43,0.0043
Norrie C.,43,0.0043
Cerundolo F.,42,0.0042
Medjedovic H.,42,0.0042
Nakashima B.,40,0.004
Bautista Agut R.,38,0.0038
Fucsovics M.,34,0.0034
Michelsen A.,33,0.0033
Droguet T.,32,0.0032
Diallo G.,29,0.0029
Struff J.L.,27,0.0027
Carreno Busta P.,27,0.0027
Mannarino A.,26,0.0026
Llamas Ruiz P.,26,0.0026
Auger-Aliassime F.,25,0.0025
Quinn E.,25,0.0025
Atmane T.,21,0.0021
De Jong J.,21,0.0021
Tsitsipas S.,20,0.002
Faria J.,20,0.002
Cobolli F.,19,0.0019
Brooksby J.,18,0.0018
Wu Y.,17,0.0017
Moutet C.,16,0.0016
Bergs Z.,16,0.0016
Sonego L.,15,0.0015
Shevchenko A.,15,0.0015
Cilic M.,15,0.0015
Ugo Carabelli C.,15,0.0015
Giron M.,15,0.0015
Wendelken H.,14,0.0014
Merida Aguilar D.,13,0.0013
Cerundolo J.M.,13,0.0013
Altmaier D.,12,0.0012
Fery A.,12,0.0012
Gaubas V.,11,0.0011
Vallejo D.,11,0.0011
Damm M.,11,0.0011
Svajda Z.,10,0.001
Tarvet O.,10,0.001
Rinderknech A.,10,0.001
Landaluce M.,10,0.001
Muller A.,10,0.001
Tabilo A.,10,0.001
Mpetshi Perricard G.,10,0.001
Svrcina D.,9,0.0009
Fils A.,8,0.0008
Basing M.,8,0.0008
Burruchaga R.,7,0.0007
Sweeny D.,7,0.0007
Harris B.,7,0.0007
Mcdonald M.,7,0.0007
Bonzi B.,6,0.0006
Pinnington Jones J.,6,0.0006
Borges N.,6,0.0006
Duckworth J.,6,0.0006
Samuel T.,6,0.0006
Mensik J.,5,0.0005
Shimabukuro S.,5,0.0005
Zheng M.,5,0.0005
Kecmanovic M.,5,0.0005
Gill F.,4,0.0004
Kwon S.W.,4,0.0004
Marozsan F.,4,0.0004
Walton A.,4,0.0004
Virtanen O.,4,0.0004
Hanfmann Y.,4,0.0004
Jacquet K.,4,0.0004
Safiullin R.,4,0.0004
Halys Q.,3,0.0003
Munar J.,3,0.0003
Choinski J.,3,0.0003
Vukic A.,3,0.0003
Shapovalov D.,3,0.0003
Nava E.,3,0.0003
Baez S.,3,0.0003
Boyer T.,3,0.0003
Hijikata R.,3,0.0003
Etcheverry T. M.,3,0.0003
Fearnley J.,3,0.0003
Mochizuki S.,2,0.0002
Popyrin A.,2,0.0002
Wawrinka S.,2,0.0002
Mejia N.,2,0.0002
Trungelliti M.,2,0.0002
Van De Zandschulp B.,2,0.0002
Van Assche L.,1,0.0001
Dzumhur D.,1,0.0001
Lajovic D.,1,0.0001
Kovacevic A.,1,0.0001
Darderi L.,0,0.0
Gaston H.,0,0.0
Ofner S.,0,0.0
Kypson P.,0,0.0
Royer V.,0,0.0
