player,win_count,tournament_win_probability
Ruud C.,1178,0.1178
Djokovic N.,1080,0.108
Fritz T.,1016,0.1016
Sinner J.,929,0.0929
Tien L.,731,0.0731
Jodar R.,667,0.0667
Fonseca J.,324,0.0324
De Minaur A.,258,0.0258
Berrettini M.,220,0.022
Zverev A.,196,0.0196
Kokkinakis T.,191,0.0191
Dimitrov G.,181,0.0181
Shelton B.,179,0.0179
Tiafoe F.,168,0.0168
Bublik A.,164,0.0164
Blockx A.,135,0.0135
Medvedev D.,119,0.0119
Paul T.,118,0.0118
Tirante T.A.,112,0.0112
Navone M.,101,0.0101
Lehecka J.,94,0.0094
Majchrzak K.,92,0.0092
Collignon R.,82,0.0082
Humbert U.,79,0.0079
Buse I.,68,0.0068
Molcan A.,61,0.0061
Griekspoor T.,59,0.0059
Khachanov K.,56,0.0056
Hurkacz H.,54,0.0054
Kopriva V.,53,0.0053
Nakashima B.,53,0.0053
Davidovich Fokina A.,52,0.0052
Medjedovic H.,50,0.005
Prizmic D.,44,0.0044
Arnaldi M.,40,0.004
Norrie C.,39,0.0039
Cerundolo F.,38,0.0038
Rublev A.,32,0.0032
Struff J.L.,32,0.0032
Llamas Ruiz P.,30,0.003
Fucsovics M.,29,0.0029
Cilic M.,28,0.0028
Diallo G.,27,0.0027
Michelsen A.,27,0.0027
Bautista Agut R.,27,0.0027
Quinn E.,26,0.0026
Droguet T.,26,0.0026
Mannarino A.,26,0.0026
Auger-Aliassime F.,25,0.0025
Giron M.,22,0.0022
Cobolli F.,21,0.0021
Bergs Z.,20,0.002
De Jong J.,20,0.002
Tsitsipas S.,20,0.002
Carreno Busta P.,19,0.0019
Sonego L.,18,0.0018
Tabilo A.,17,0.0017
Atmane T.,16,0.0016
Wu Y.,16,0.0016
Cerundolo J.M.,16,0.0016
Faria J.,15,0.0015
Mpetshi Perricard G.,15,0.0015
Gaubas V.,14,0.0014
Fery A.,13,0.0013
Mensik J.,13,0.0013
Mcdonald M.,12,0.0012
Damm M.,12,0.0012
Shevchenko A.,12,0.0012
Hanfmann Y.,12,0.0012
Basing M.,11,0.0011
Bonzi B.,11,0.0011
Fearnley J.,10,0.001
Ugo Carabelli C.,9,0.0009
Altmaier D.,9,0.0009
Harris B.,9,0.0009
Burruchaga R.,9,0.0009
Vallejo D.,9,0.0009
Fils A.,8,0.0008
Brooksby J.,8,0.0008
Wendelken H.,7,0.0007
Landaluce M.,7,0.0007
Walton A.,7,0.0007
Svajda Z.,7,0.0007
Pinnington Jones J.,6,0.0006
Moutet C.,6,0.0006
Merida Aguilar D.,6,0.0006
Muller A.,6,0.0006
Shimabukuro S.,6,0.0006
Svrcina D.,5,0.0005
Etcheverry T. M.,5,0.0005
Darderi L.,5,0.0005
Ofner S.,5,0.0005
Shapovalov D.,4,0.0004
Nava E.,4,0.0004
Tarvet O.,4,0.0004
Rinderknech A.,4,0.0004
Kwon S.W.,4,0.0004
Van De Zandschulp B.,4,0.0004
Halys Q.,4,0.0004
Munar J.,4,0.0004
Sweeny D.,4,0.0004
Duckworth J.,4,0.0004
Virtanen O.,4,0.0004
Dzumhur D.,4,0.0004
Marozsan F.,4,0.0004
Samuel T.,3,0.0003
Hijikata R.,3,0.0003
Gill F.,3,0.0003
Safiullin R.,3,0.0003
Vukic A.,3,0.0003
Borges N.,2,0.0002
Boyer T.,2,0.0002
Mochizuki S.,2,0.0002
Kypson P.,2,0.0002
Choinski J.,2,0.0002
Mejia N.,2,0.0002
Kecmanovic M.,2,0.0002
Trungelliti M.,2,0.0002
Kovacevic A.,1,0.0001
Gaston H.,1,0.0001
Popyrin A.,1,0.0001
Lajovic D.,1,0.0001
Zheng M.,1,0.0001
Jacquet K.,1,0.0001
Royer V.,1,0.0001
Baez S.,0,0.0
Van Assche L.,0,0.0
Wawrinka S.,0,0.0
