player,win_count,tournament_win_probability
Jovic I.,74,0.074
Swiatek I.,59,0.059
Keys M.,57,0.057
Sabalenka A.,53,0.053
Krejcikova B.,49,0.049
Anisimova A.,46,0.046
Ostapenko J.,41,0.041
Pegula J.,33,0.033
Noskova L.,33,0.033
Stearns P.,29,0.029
Vekic D.,25,0.025
Chwalinska M.,24,0.024
Svitolina E.,22,0.022
Rybakina E.,21,0.021
Alexandrova E.,20,0.02
Bencic B.,18,0.018
Navarro E.,17,0.017
Cristian J.,17,0.017
Townsend T.,17,0.017
Pliskova Ka.,14,0.014
Boulter K.,14,0.014
Lys E.,13,0.013
Badosa P.,13,0.013
Bartunkova N.,12,0.012
Bouzkova M.,11,0.011
Gauff C.,11,0.011
Montgomery R.,10,0.01
Tomljanovic A.,9,0.009
Samsonova L.,9,0.009
Boisson L.,9,0.009
Ruzic A.,8,0.008
Muchova K.,8,0.008
Gibson T.,8,0.008
Kalinskaya A.,7,0.007
Osaka N.,7,0.007
Mertens E.,7,0.007
Starodubtseva Y.,7,0.007
Sierra S.,7,0.007
Parry D.,7,0.007
Andreescu B.,6,0.006
Bondar A.,6,0.006
Oliynykova O.,6,0.006
Bejlek S.,6,0.006
Kasatkina D.,6,0.006
Haddad Maia B.,5,0.005
Eala A.,5,0.005
Sonmez Z.,5,0.005
Maria T.,5,0.005
Vandewinkel H.,4,0.004
Cocciaretto E.,4,0.004
Bouzas Maneiro J.,4,0.004
Ruse E.G.,4,0.004
Erjavec V.,4,0.004
Marcinko P.,4,0.004
McNally C.,4,0.004
Shnaider D.,4,0.004
Xu M.,4,0.004
Linette M.,4,0.004
Wang Xin.,4,0.004
Paolini J.,3,0.003
Zakharova A.,3,0.003
Siegemund L.,3,0.003
Ito A.,2,0.002
Kessler M.,2,0.002
Krueger A.,2,0.002
Williams S.,2,0.002
Gjorcheska L.,2,0.002
Valentova T.,2,0.002
Udvardy P.,2,0.002
Putintseva Y.,2,0.002
Yastremska D.,2,0.002
Tauson C.,2,0.002
Siniakova K.,2,0.002
Dudeney A.,2,0.002
Arango E.,2,0.002
Potapova A.,2,0.002
Seidel E.,1,0.001
Kudermetova P.,1,0.001
Korneeva A.,1,0.001
Begu I.,1,0.001
Parks A.,1,0.001
Jones F.,1,0.001
Jimenez Kasintseva V.,1,0.001
Jacquemot E.,1,0.001
Tjen J.,1,0.001
Kostovic T.,1,0.001
Fernandez L.,1,0.001
Gasanova A.,1,0.001
Kostyuk M.,1,0.001
Podoroska N.,1,0.001
Bolkvadze M.,1,0.001
Selekhmeteva O.,1,0.001
Sakkari M.,1,0.001
Tagger L.,1,0.001
Frech M.,1,0.001
Liu C.,1,0.001
Golubic V.,1,0.001
Rakhimova K.,1,0.001
Joint M.,1,0.001
Korpatsch T.,0,0.0
Vidmanova D.,0,0.0
Li A.,0,0.0
Stojsavljevic M.,0,0.0
Tararudee L.,0,0.0
Sawangkaew M.,0,0.0
Semenistaja D.,0,0.0
Dart H.,0,0.0
Zhang S.,0,0.0
Zheng Q.,0,0.0
Sorribes Tormo S.,0,0.0
Klugman H.,0,0.0
Andreeva M.,0,0.0
Zarazua R.,0,0.0
Kalinina A.,0,0.0
Shymanovich I.,0,0.0
Blinkova A.,0,0.0
Snigur D.,0,0.0
Jeanjean L.,0,0.0
Kraus S.,0,0.0
Day K.,0,0.0
Osorio M.,0,0.0
Waltert S.,0,0.0
Cirstea S.,0,0.0
Birrell K.,0,0.0
Swan K.,0,0.0
Kenin S.,0,0.0
Grant T.C.,0,0.0
Timofeeva M.,0,0.0
