player,win_count,tournament_win_probability
Sabalenka A.,3788,0.3788
Rybakina E.,1447,0.1447
Pegula J.,857,0.0857
Gauff C.,521,0.0521
Swiatek I.,479,0.0479
Anisimova A.,241,0.0241
Svitolina E.,241,0.0241
Townsend T.,183,0.0183
Kostyuk M.,161,0.0161
Pliskova Ka.,156,0.0156
Cirstea S.,142,0.0142
Osaka N.,139,0.0139
Kessler M.,127,0.0127
Andreeva M.,110,0.011
Krejcikova B.,103,0.0103
Keys M.,87,0.0087
Bejlek S.,78,0.0078
Osorio M.,69,0.0069
Lys E.,67,0.0067
Noskova L.,65,0.0065
Bencic B.,64,0.0064
Kalinskaya A.,59,0.0059
Linette M.,55,0.0055
Zhang S.,50,0.005
Samsonova L.,49,0.0049
Bartunkova N.,48,0.0048
Frech M.,44,0.0044
Shnaider D.,37,0.0037
Kasatkina D.,36,0.0036
Ruzic A.,35,0.0035
Cocciaretto E.,34,0.0034
McNally C.,33,0.0033
Mertens E.,29,0.0029
Sonmez Z.,26,0.0026
Joint M.,24,0.0024
Jovic I.,24,0.0024
Tauson C.,21,0.0021
Ruse E.G.,18,0.0018
Golubic V.,18,0.0018
Eala A.,17,0.0017
Tararudee L.,16,0.0016
Sakkari M.,16,0.0016
Korneeva A.,14,0.0014
Parks A.,13,0.0013
Potapova A.,13,0.0013
Gibson T.,13,0.0013
Sebov K.,12,0.0012
Zarazua R.,12,0.0012
Siniakova K.,11,0.0011
Alexandrova E.,11,0.0011
Bouzas Maneiro J.,10,0.001
Cross K.,9,0.0009
Sramkova R.,9,0.0009
Rakhimova K.,9,0.0009
Kudermetova P.,7,0.0007
Bondar A.,7,0.0007
Ostapenko J.,7,0.0007
Vekic D.,5,0.0005
Bouzkova M.,5,0.0005
Navarro E.,4,0.0004
Day K.,4,0.0004
Stephens S.,3,0.0003
Uchijima M.,2,0.0002
Chwalinska M.,2,0.0002
Li A.,2,0.0002
Udvardy P.,2,0.0002
Stearns P.,0,0.0
Blinkova A.,0,0.0
Kalinina A.,0,0.0
Oliynykova O.,0,0.0
Brace C.,0,0.0
Boulter K.,0,0.0
Arseneault A.,0,0.0
Wang Xiy.,0,0.0
Williams V.,0,0.0
Birrell K.,0,0.0
Bucsa C.,0,0.0
Ito A.,0,0.0
Parry D.,0,0.0
Stefanini L.,0,0.0
Wang Xin.,0,0.0
Sierra S.,0,0.0
Marino R.,0,0.0
Maria T.,0,0.0
Valentova T.,0,0.0
Starodubtseva Y.,0,0.0
Korpatsch T.,0,0.0
Jimenez Kasintseva V.,0,0.0
Jones E.,0,0.0
Andreescu B.,0,0.0
Putintseva Y.,0,0.0
Jeanjean L.,0,0.0
Boisson L.,0,0.0
Tjen J.,0,0.0
Zhao C.,0,0.0
Fernandez L.,0,0.0
