player,win_count,tournament_win_probability
Sabalenka A.,3978,0.3978
Rybakina E.,1911,0.1911
Pegula J.,1267,0.1267
Gauff C.,824,0.0824
Swiatek I.,618,0.0618
Svitolina E.,354,0.0354
Anisimova A.,284,0.0284
Kostyuk M.,213,0.0213
Osaka N.,202,0.0202
Bencic B.,143,0.0143
Eala A.,91,0.0091
Shnaider D.,72,0.0072
Alexandrova E.,27,0.0027
Korneeva A.,7,0.0007
Samsonova L.,6,0.0006
Fernandez L.,3,0.0003
Oliynykova O.,0,0.0
Rakhimova K.,0,0.0
Birrell K.,0,0.0
Williams V.,0,0.0
Wang Xiy.,0,0.0
Bejlek S.,0,0.0
Bouzas Maneiro J.,0,0.0
Golubic V.,0,0.0
Arseneault A.,0,0.0
Ito A.,0,0.0
Uchijima M.,0,0.0
Sebov K.,0,0.0
Bucsa C.,0,0.0
Stefanini L.,0,0.0
Osorio M.,0,0.0
Kudermetova P.,0,0.0
Stearns P.,0,0.0
Ruse E.G.,0,0.0
Blinkova A.,0,0.0
Sramkova R.,0,0.0
Brace C.,0,0.0
Kessler M.,0,0.0
Cocciaretto E.,0,0.0
Gibson T.,0,0.0
Cross K.,0,0.0
Boulter K.,0,0.0
Day K.,0,0.0
Parry D.,0,0.0
Bondar A.,0,0.0
Kalinina A.,0,0.0
Pliskova Ka.,0,0.0
Putintseva Y.,0,0.0
Starodubtseva Y.,0,0.0
Joint M.,0,0.0
Frech M.,0,0.0
Zhang S.,0,0.0
Bartunkova N.,0,0.0
Andreescu B.,0,0.0
Jones E.,0,0.0
Jeanjean L.,0,0.0
Tararudee L.,0,0.0
Tjen J.,0,0.0
Boisson L.,0,0.0
Ruzic A.,0,0.0
Zhao C.,0,0.0
Linette M.,0,0.0
Jimenez Kasintseva V.,0,0.0
Parks A.,0,0.0
Kasatkina D.,0,0.0
Wang Xin.,0,0.0
Stephens S.,0,0.0
Sierra S.,0,0.0
McNally C.,0,0.0
Maria T.,0,0.0
Sonmez Z.,0,0.0
Marino R.,0,0.0
Korpatsch T.,0,0.0
Zarazua R.,0,0.0
Lys E.,0,0.0
Udvardy P.,0,0.0
Townsend T.,0,0.0
Valentova T.,0,0.0
Potapova A.,0,0.0
Vekic D.,0,0.0
Li A.,0,0.0
Tauson C.,0,0.0
Siniakova K.,0,0.0
Kalinskaya A.,0,0.0
Ostapenko J.,0,0.0
Keys M.,0,0.0
Chwalinska M.,0,0.0
Bouzkova M.,0,0.0
Andreeva M.,0,0.0
Navarro E.,0,0.0
Jovic I.,0,0.0
Sakkari M.,0,0.0
Krejcikova B.,0,0.0
Mertens E.,0,0.0
Noskova L.,0,0.0
Cirstea S.,0,0.0
